* Measurement data measured by REW V5.20.13
* Source: EXCL: Headset (KM-HIFI-384KHZ), MICROPHONE (Master Volume), 0, volume: 1.000
* Format: 256k Log Swept Sine, 1 sweep at -13.0 dBFS with no timing reference
* Dated: Aug 12, 2023 12:20:58 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: Aug 12
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	94.685	-149.0545
20.299999	94.727	-149.4535
20.600000	94.796	-150.0745
20.900000	94.864	-150.9915
21.200001	94.901	-152.1413
21.400000	94.899	-152.9343
21.799999	94.842	-154.3842
22.000000	94.797	-154.9584
22.400000	94.709	-155.7397
22.700001	94.670	-156.1019
23.000000	94.667	-156.4384
23.299999	94.690	-156.8866
23.600000	94.722	-157.4986
24.000000	94.753	-158.5383
24.299999	94.756	-159.3817
24.700001	94.739	-160.4498
25.000000	94.722	-161.1659
25.400000	94.708	-162.0448
25.799999	94.704	-162.9380
26.200001	94.699	-163.8940
26.500000	94.685	-164.6150
26.900000	94.656	-165.4960
27.200001	94.633	-166.0575
27.600000	94.618	-166.7025
28.000000	94.625	-167.3628
28.500000	94.645	-168.4119
29.000000	94.624	-169.6699
29.500000	94.538	-170.7888
30.000000	94.427	-171.4304
30.400000	94.364	-171.6341
30.700001	94.347	-171.7360
31.100000	94.354	-171.9971
31.500000	94.368	-172.4899
32.000000	94.358	-173.3313
32.500000	94.305	-174.1447
33.000000	94.241	-174.7621
33.500000	94.192	-175.2713
34.000000	94.157	-175.8354
34.500000	94.119	-176.4830
35.000000	94.069	-177.1231
35.500000	94.016	-177.6860
36.000000	93.971	-178.1932
36.500000	93.933	-178.6897
37.000000	93.898	-179.1818
37.500000	93.866	-179.6582
38.200001	93.829	179.6643
38.700001	93.799	179.1437
39.500000	93.730	178.3524
40.000000	93.680	177.9705
40.599998	93.630	177.6021
41.200001	93.592	177.2006
41.799999	93.548	176.7065
42.500000	93.469	176.1408
43.099998	93.389	175.8111
43.700001	93.324	175.5942
44.400002	93.268	175.2934
45.000000	93.219	174.9329
45.500000	93.167	174.6452
46.200001	93.095	174.3721
46.799999	93.057	174.1861
47.500000	93.032	173.8166
48.200001	92.997	173.2705
48.700001	92.957	172.8720
49.400002	92.891	172.3986
50.000000	92.834	172.0620
50.799999	92.760	171.6907
51.500000	92.700	171.4468
52.200001	92.650	171.2401
53.000000	92.598	170.9931
53.799999	92.545	170.7474
54.500000	92.497	170.5455
55.200001	92.447	170.3547
56.000000	92.390	170.1500
57.000000	92.318	169.8481
58.000000	92.229	169.5546
59.000000	92.145	169.4351
60.000000	92.092	169.2800
60.799999	92.048	169.0607
61.500000	92.002	168.8912
62.200001	91.957	168.7740
63.000000	91.912	168.6709
64.000000	91.859	168.5405
65.000000	91.805	168.3991
66.000000	91.746	168.2811
67.000000	91.689	168.1905
68.000000	91.637	168.0694
69.000000	91.581	167.9002
70.000000	91.516	167.7711
71.000000	91.457	167.7206
72.000000	91.407	167.6710
73.000000	91.354	167.6162
74.000000	91.301	167.6072
75.000000	91.255	167.6171
76.199997	91.204	167.5737
77.500000	91.142	167.5026
78.800003	91.082	167.4745
80.000000	91.033	167.4344
81.199997	90.982	167.3980
82.500000	90.929	167.3846
83.800003	90.878	167.3685
85.000000	90.829	167.3512
86.199997	90.778	167.3755
87.500000	90.730	167.4413
88.500000	90.699	167.4867
90.000000	90.650	167.5319
91.199997	90.605	167.5840
92.500000	90.556	167.6722
93.800003	90.511	167.7368
95.000000	90.471	167.7524
96.199997	90.430	167.7595
97.500000	90.391	167.7777
98.800003	90.356	167.7996
100.000000	90.324	167.8315
101.500000	90.283	167.9033
103.000000	90.240	168.0087
104.400002	90.201	168.1154
106.000000	90.158	168.2374
107.500000	90.125	168.3417
109.000000	90.095	168.4070
110.599998	90.055	168.4733
112.000000	90.018	168.5812
113.800003	89.979	168.7147
115.000000	89.955	168.7901
117.199997	89.916	168.9173
118.000000	89.902	168.9598
120.599998	89.857	169.1524
122.000000	89.835	169.2532
124.099998	89.802	169.3774
125.000000	89.789	169.4211
126.500000	89.766	169.4896
128.000000	89.744	169.5708
131.500000	89.688	169.7886
132.000000	89.680	169.8194
134.000000	89.647	169.9379
136.000000	89.618	170.0396
138.000000	89.592	170.1222
140.000000	89.566	170.2095
143.000000	89.524	170.4068
145.000000	89.500	170.5368
147.500000	89.468	170.6713
150.000000	89.439	170.7906
152.500000	89.412	170.9087
155.000000	89.387	171.0907
157.500000	89.362	171.2626
160.000000	89.332	171.4057
162.500000	89.303	171.5433
165.000000	89.278	171.6971
167.500000	89.254	171.8524
170.000000	89.227	171.9887
172.500000	89.201	172.1232
175.000000	89.180	172.2455
177.500000	89.159	172.3632
180.000000	89.141	172.4831
182.500000	89.124	172.6005
185.000000	89.103	172.7237
187.500000	89.079	172.8712
190.000000	89.054	173.0170
192.500000	89.033	173.1470
195.000000	89.014	173.2697
197.500000	88.996	173.3918
200.000000	88.979	173.5138
203.000000	88.956	173.6689
206.000000	88.932	173.8283
209.000000	88.908	173.9782
212.000000	88.883	174.1269
214.000000	88.867	174.2346
218.000000	88.836	174.4713
220.000000	88.820	174.6023
224.000000	88.787	174.8814
227.000000	88.765	175.0941
230.000000	88.742	175.3039
233.000000	88.721	175.5201
236.000000	88.702	175.7560
240.000000	88.683	176.0984
243.000000	88.674	176.3604
247.000000	88.669	176.6844
250.000000	88.670	176.9035
254.000000	88.673	177.1664
258.000000	88.674	177.3895
262.000000	88.672	177.5861
265.000000	88.670	177.7256
269.000000	88.664	177.9038
272.000000	88.660	178.0397
276.000000	88.654	178.2316
280.000000	88.650	178.4249
285.000000	88.643	178.6761
290.000000	88.637	178.9143
295.000000	88.633	179.1255
300.000000	88.632	179.3255
304.000000	88.632	179.4663
307.000000	88.631	179.5715
311.000000	88.628	179.7152
315.000000	88.623	179.8542
320.000000	88.617	-179.9765
325.000000	88.610	-179.8002
330.000000	88.601	-179.6191
335.000000	88.591	-179.4383
340.000000	88.584	-179.2546
345.000000	88.578	-179.0764
350.000000	88.572	-178.9007
355.000000	88.565	-178.7278
360.000000	88.558	-178.5556
365.000000	88.552	-178.3889
370.000000	88.545	-178.2261
375.000000	88.537	-178.0612
382.000000	88.525	-177.8348
387.000000	88.517	-177.6718
395.000000	88.502	-177.3992
400.000000	88.494	-177.2248
406.000000	88.483	-177.0158
412.000000	88.472	-176.8030
418.000000	88.462	-176.5910
425.000000	88.450	-176.3409
431.000000	88.441	-176.1202
437.000000	88.433	-175.9001
444.000000	88.421	-175.6535
450.000000	88.408	-175.4499
455.000000	88.396	-175.2713
462.000000	88.379	-174.9906
468.000000	88.365	-174.7291
475.000000	88.353	-174.4152
482.000000	88.344	-174.0995
487.000000	88.339	-173.8744
494.000000	88.335	-173.5686
500.000000	88.332	-173.3168
508.000000	88.329	-172.9968
515.000000	88.327	-172.7388
522.000000	88.323	-172.5022
530.000000	88.309	-172.2428
538.000000	88.284	-171.9336
545.000000	88.262	-171.5780
552.000000	88.249	-171.1622
560.000000	88.250	-170.6777
570.000000	88.262	-170.1406
580.000000	88.277	-169.6909
590.000000	88.287	-169.2865
600.000000	88.291	-168.8952
608.000000	88.292	-168.5734
615.000000	88.292	-168.2841
622.000000	88.291	-167.9920
630.000000	88.290	-167.6519
640.000000	88.289	-167.2088
650.000000	88.290	-166.7493
660.000000	88.293	-166.2773
670.000000	88.297	-165.8000
680.000000	88.301	-165.3182
690.000000	88.307	-164.8278
700.000000	88.316	-164.3299
710.000000	88.327	-163.8350
720.000000	88.339	-163.3375
730.000000	88.353	-162.8272
740.000000	88.369	-162.3071
750.000000	88.385	-161.7857
762.000000	88.409	-161.1611
775.000000	88.437	-160.4737
788.000000	88.470	-159.7760
800.000000	88.503	-159.1338
812.000000	88.540	-158.4925
825.000000	88.584	-157.8000
838.000000	88.633	-157.1113
850.000000	88.682	-156.4772
862.000000	88.735	-155.8506
875.000000	88.797	-155.1798
885.000000	88.847	-154.6717
900.000000	88.927	-153.9285
912.000000	88.996	-153.3483
925.000000	89.072	-152.7403
938.000000	89.153	-152.1546
950.000000	89.230	-151.6327
962.000000	89.311	-151.1287
975.000000	89.401	-150.6045
988.000000	89.493	-150.1115
1000.000000	89.580	-149.6850
1015.000000	89.690	-149.1860
1030.000000	89.801	-148.7232
1044.000000	89.905	-148.3228
1060.000000	90.025	-147.9009
1075.000000	90.136	-147.5402
1090.000000	90.248	-147.2055
1106.000000	90.366	-146.8742
1120.000000	90.468	-146.6049
1138.000000	90.600	-146.2818
1150.000000	90.688	-146.0813
1172.000000	90.850	-145.7501
1180.000000	90.910	-145.6434
1206.000000	91.106	-145.3487
1220.000000	91.212	-145.2313
1241.000000	91.371	-145.1180
1250.000000	91.438	-145.0921
1265.000000	91.547	-145.0787
1280.000000	91.651	-145.0999
1315.000000	91.877	-145.2485
1320.000000	91.907	-145.2772
1340.000000	92.021	-145.4022
1360.000000	92.128	-145.5340
1380.000000	92.228	-145.6594
1400.000000	92.322	-145.7749
1430.000000	92.456	-145.9256
1450.000000	92.540	-146.0069
1475.000000	92.642	-146.0897
1500.000000	92.741	-146.1518
1525.000000	92.839	-146.1984
1550.000000	92.936	-146.2331
1575.000000	93.032	-146.2549
1600.000000	93.128	-146.2659
1625.000000	93.224	-146.2694
1650.000000	93.321	-146.2689
1675.000000	93.419	-146.2668
1700.000000	93.519	-146.2649
1725.000000	93.620	-146.2666
1750.000000	93.722	-146.2752
1775.000000	93.824	-146.2912
1800.000000	93.928	-146.3134
1825.000000	94.032	-146.3436
1850.000000	94.137	-146.3859
1875.000000	94.244	-146.4417
1900.000000	94.352	-146.5131
1925.000000	94.460	-146.6014
1950.000000	94.569	-146.7070
1975.000000	94.678	-146.8318
2000.000000	94.787	-146.9778
2030.000000	94.918	-147.1795
2060.000000	95.049	-147.4088
2090.000000	95.179	-147.6706
2120.000000	95.308	-147.9676
2140.000000	95.393	-148.1848
2180.000000	95.561	-148.6659
2200.000000	95.643	-148.9294
2240.000000	95.804	-149.4999
2270.000000	95.921	-149.9657
2300.000000	96.034	-150.4651
2330.000000	96.143	-150.9970
2360.000000	96.248	-151.5589
2400.000000	96.379	-152.3520
2430.000000	96.471	-152.9771
2470.000000	96.586	-153.8469
2500.000000	96.664	-154.5230
2540.000000	96.758	-155.4515
2580.000000	96.840	-156.4043
2620.000000	96.909	-157.3712
2650.000000	96.953	-158.1001
2690.000000	97.001	-159.0717
2720.000000	97.029	-159.7975
2760.000000	97.056	-160.7552
2800.000000	97.072	-161.6955
2850.000000	97.077	-162.8350
2900.000000	97.067	-163.9219
2950.000000	97.042	-164.9483
3000.000000	97.005	-165.9061
3040.000000	96.968	-166.6211
3070.000000	96.938	-167.1274
3110.000000	96.894	-167.7617
3150.000000	96.847	-168.3504
3200.000000	96.785	-169.0253
3250.000000	96.721	-169.6342
3300.000000	96.655	-170.1811
3350.000000	96.590	-170.6718
3400.000000	96.525	-171.1142
3450.000000	96.463	-171.5148
3500.000000	96.404	-171.8834
3550.000000	96.347	-172.2290
3600.000000	96.293	-172.5589
3650.000000	96.241	-172.8788
3700.000000	96.190	-173.1924
3750.000000	96.139	-173.5034
3820.000000	96.068	-173.9373
3870.000000	96.016	-174.2478
3950.000000	95.931	-174.7434
4000.000000	95.875	-175.0484
4060.000000	95.805	-175.4015
4120.000000	95.732	-175.7317
4180.000000	95.655	-176.0333
4250.000000	95.563	-176.3462
4310.000000	95.484	-176.5794
4370.000000	95.406	-176.7816
4440.000000	95.317	-176.9835
4500.000000	95.244	-177.1339
4550.000000	95.187	-177.2488
4620.000000	95.112	-177.4018
4680.000000	95.052	-177.5345
4750.000000	94.989	-177.7050
4820.000000	94.930	-177.9061
4870.000000	94.890	-178.0732
4940.000000	94.835	-178.3422
5000.000000	94.789	-178.6062
5080.000000	94.726	-179.0099
5150.000000	94.666	-179.4083
5220.000000	94.600	-179.8364
5300.000000	94.513	179.6564
5380.000000	94.414	179.1581
5450.000000	94.317	178.7637
5520.000000	94.212	178.4439
5600.000000	94.088	178.2023
5700.000000	93.943	178.0847
5800.000000	93.822	178.0898
5900.000000	93.725	178.1172
6000.000000	93.645	178.1158
6080.000000	93.588	178.0909
6150.000000	93.542	178.0550
6220.000000	93.500	178.0088
6300.000000	93.456	177.9452
6400.000000	93.407	177.8483
6500.000000	93.365	177.7263
6600.000000	93.330	177.5714
6700.000000	93.302	177.3723
6800.000000	93.279	177.1190
6900.000000	93.261	176.8023
7000.000000	93.245	176.4182
7100.000000	93.229	175.9663
7200.000000	93.213	175.4303
7300.000000	93.194	174.7816
7400.000000	93.163	174.0132
7500.000000	93.115	173.1393
7620.000000	93.030	171.9800
7750.000000	92.899	170.6272
7880.000000	92.720	169.2179
8000.000000	92.508	167.9197
8120.000000	92.249	166.6869
8250.000000	91.916	165.5052
8380.000000	91.535	164.5640
8500.000000	91.148	163.9659
8620.000000	90.737	163.6605
8750.000000	90.276	163.6783
8850.000000	89.919	163.9365
9000.000000	89.393	164.6908
9120.000000	88.990	165.5637
9250.000000	88.577	166.7170
9380.000000	88.192	168.0173
9500.000000	87.861	169.2880
9620.000000	87.550	170.5849
9750.000000	87.230	172.0311
9880.000000	86.929	173.6030
10000.000000	86.692	175.1756
10150.000000	86.483	177.0474
10300.000000	86.352	178.4948
10440.000000	86.268	179.3694
10600.000000	86.194	179.7988
10750.000000	86.128	179.6458
10900.000000	86.043	178.9668
11060.000000	85.909	177.7228
11200.000000	85.735	176.2935
11380.000000	85.409	174.2394
11500.000000	85.126	172.9123
11720.000000	84.487	170.9818
11800.000000	84.226	170.5334
12060.000000	83.334	170.2683
12200.000000	82.866	170.9025
12410.000000	82.241	172.7682
12500.000000	82.017	173.8227
12650.000000	81.713	175.7325
12800.000000	81.492	177.5474
13150.000000	80.943	-179.2803
13200.000000	80.832	-178.6778
13400.000000	80.437	-175.4034
13600.000000	80.210	-171.9284
13800.000000	80.036	-168.9588
14000.000000	79.838	-166.1771
14300.000000	79.518	-161.8495
14500.000000	79.321	-158.8676
14750.000000	79.113	-155.2153
15000.000000	78.964	-151.8598
15250.000000	78.899	-149.0717
15500.000000	78.954	-147.2454
15750.000000	79.162	-146.9345
16000.000000	79.548	-148.9258
16250.000000	80.081	-154.5424
16500.000000	80.545	-165.4167
16750.000000	80.501	178.2958
17000.000000	79.587	160.0781
17250.000000	77.855	144.9755
17500.000000	75.724	135.1994
17750.000000	73.636	129.9041
18000.000000	71.783	127.4734
18250.000000	70.099	126.8439
18500.000000	68.408	127.8447
18750.000000	66.540	131.3154
19000.000000	64.416	138.8237
19250.000000	62.146	151.4828
19500.000000	60.032	168.3317
19750.000000	58.350	-174.4039
