* Measurement data measured by REW V5.20.13
* Source: EXCL: Headset (KM-HIFI-384KHZ), MICROPHONE (Master Volume), 0, volume: 1.000
* Format: 256k Log Swept Sine, 1 sweep at -13.0 dBFS with no timing reference
* Dated: Aug 12, 2023 12:20:32 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: Aug 12
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	94.604	-159.2923
20.299999	94.571	-160.1020
20.600000	94.539	-160.7961
20.900000	94.517	-161.3959
21.200001	94.509	-161.9536
21.400000	94.513	-162.3415
21.799999	94.532	-163.2156
22.000000	94.542	-163.7224
22.400000	94.550	-164.8763
22.700001	94.535	-165.8117
23.000000	94.497	-166.7268
23.299999	94.440	-167.5445
23.600000	94.374	-168.2196
24.000000	94.290	-168.8862
24.299999	94.245	-169.2679
24.700001	94.215	-169.7504
25.000000	94.209	-170.1813
25.400000	94.206	-170.8966
25.799999	94.190	-171.7128
26.200001	94.157	-172.5049
26.500000	94.129	-173.0326
26.900000	94.098	-173.6614
27.200001	94.086	-174.1342
27.600000	94.077	-174.8507
28.000000	94.061	-175.6956
28.500000	94.005	-176.8140
29.000000	93.913	-177.7726
29.500000	93.812	-178.4701
30.000000	93.725	-178.9948
30.400000	93.667	-179.3744
30.700001	93.628	-179.6500
31.100000	93.579	-179.9999
31.500000	93.539	179.6606
32.000000	93.500	179.1867
32.500000	93.463	178.5897
33.000000	93.406	177.9191
33.500000	93.327	177.3233
34.000000	93.244	176.9003
34.500000	93.179	176.5940
35.000000	93.134	176.2830
35.500000	93.099	175.8976
36.000000	93.063	175.4481
36.500000	93.023	174.9592
37.000000	92.975	174.4493
37.500000	92.914	173.9576
38.200001	92.815	173.4107
38.700001	92.748	173.1356
39.500000	92.660	172.7322
40.000000	92.608	172.4472
40.599998	92.539	172.1115
41.200001	92.471	171.8198
41.799999	92.407	171.5413
42.500000	92.336	171.1883
43.099998	92.273	170.8745
43.700001	92.208	170.5708
44.400002	92.129	170.2547
45.000000	92.064	170.0555
45.500000	92.018	169.9385
46.200001	91.973	169.7515
46.799999	91.939	169.4850
47.500000	91.882	169.1213
48.200001	91.810	168.8560
48.700001	91.760	168.7302
49.400002	91.692	168.5727
50.000000	91.628	168.4709
50.799999	91.549	168.4497
51.500000	91.498	168.4340
52.200001	91.452	168.2982
53.000000	91.382	168.0837
53.799999	91.304	167.9496
54.500000	91.244	167.8776
55.200001	91.188	167.8001
56.000000	91.126	167.7183
57.000000	91.054	167.6924
58.000000	90.997	167.6714
59.000000	90.933	167.5872
60.000000	90.854	167.6363
60.799999	90.803	167.7513
61.500000	90.767	167.8134
62.200001	90.732	167.8251
63.000000	90.688	167.8007
64.000000	90.627	167.7556
65.000000	90.568	167.7266
66.000000	90.512	167.6954
67.000000	90.457	167.6641
68.000000	90.402	167.6564
69.000000	90.346	167.6932
70.000000	90.294	167.7721
71.000000	90.248	167.8578
72.000000	90.203	167.9332
73.000000	90.159	168.0058
74.000000	90.118	168.0696
75.000000	90.078	168.1340
76.199997	90.035	168.2191
77.500000	89.989	168.3112
78.800003	89.945	168.4244
80.000000	89.904	168.5356
81.199997	89.864	168.6569
82.500000	89.820	168.7979
83.800003	89.780	168.9654
85.000000	89.752	169.0980
86.199997	89.721	169.1496
87.500000	89.675	169.2320
88.500000	89.643	169.3524
90.000000	89.603	169.5193
91.199997	89.575	169.6339
92.500000	89.545	169.7405
93.800003	89.512	169.8646
95.000000	89.486	170.0063
96.199997	89.464	170.1436
97.500000	89.440	170.2896
98.800003	89.418	170.4348
100.000000	89.399	170.5537
101.500000	89.372	170.6860
103.000000	89.343	170.8084
104.400002	89.319	170.9269
106.000000	89.296	171.0543
107.500000	89.275	171.1674
109.000000	89.254	171.3117
110.599998	89.233	171.4928
112.000000	89.215	171.6339
113.800003	89.189	171.7647
115.000000	89.171	171.8411
117.199997	89.150	171.9774
118.000000	89.147	172.0157
120.599998	89.130	172.1164
122.000000	89.111	172.2505
124.099998	89.087	172.5052
125.000000	89.076	172.6050
126.500000	89.058	172.7555
128.000000	89.041	172.8917
131.500000	89.011	173.1525
132.000000	89.006	173.1875
134.000000	88.990	173.3259
136.000000	88.977	173.4478
138.000000	88.965	173.5657
140.000000	88.955	173.6980
143.000000	88.938	173.8914
145.000000	88.922	174.0215
147.500000	88.905	174.1931
150.000000	88.895	174.3625
152.500000	88.885	174.5281
155.000000	88.868	174.6809
157.500000	88.850	174.8346
160.000000	88.839	174.9498
162.500000	88.828	175.0596
165.000000	88.816	175.1877
167.500000	88.804	175.3249
170.000000	88.791	175.4603
172.500000	88.780	175.5971
175.000000	88.771	175.7195
177.500000	88.761	175.8203
180.000000	88.751	175.9307
182.500000	88.744	176.0532
185.000000	88.737	176.1700
187.500000	88.730	176.2723
190.000000	88.721	176.3710
192.500000	88.710	176.4908
195.000000	88.702	176.6167
197.500000	88.694	176.7294
200.000000	88.686	176.8341
203.000000	88.677	176.9496
206.000000	88.668	177.0510
209.000000	88.658	177.1402
212.000000	88.647	177.2481
214.000000	88.639	177.3413
218.000000	88.623	177.5250
220.000000	88.615	177.6053
224.000000	88.600	177.7666
227.000000	88.592	177.8820
230.000000	88.584	177.9873
233.000000	88.576	178.0934
236.000000	88.565	178.2118
240.000000	88.549	178.3682
243.000000	88.539	178.4700
247.000000	88.525	178.6058
250.000000	88.513	178.7102
254.000000	88.497	178.8492
258.000000	88.482	178.9916
262.000000	88.465	179.1323
265.000000	88.450	179.2393
269.000000	88.431	179.3856
272.000000	88.415	179.5031
276.000000	88.393	179.6704
280.000000	88.368	179.8416
285.000000	88.331	-179.9290
290.000000	88.289	-179.6390
295.000000	88.245	-179.2597
300.000000	88.204	-178.7661
304.000000	88.176	-178.2572
307.000000	88.161	-177.8015
311.000000	88.164	-177.1169
315.000000	88.202	-176.4376
320.000000	88.297	-175.7963
325.000000	88.412	-175.5589
330.000000	88.505	-175.6563
335.000000	88.561	-175.9041
340.000000	88.583	-176.1371
345.000000	88.585	-176.3178
350.000000	88.576	-176.4544
355.000000	88.558	-176.5309
360.000000	88.533	-176.5480
365.000000	88.504	-176.5089
370.000000	88.470	-176.4042
375.000000	88.438	-176.2084
382.000000	88.412	-175.8187
387.000000	88.410	-175.5503
395.000000	88.416	-175.2070
400.000000	88.420	-175.0347
