* Measurement data measured by REW V5.20.13
* Source: Headset (KM-HIFI-384KHZ), MICROPHONE (Master Volume), L, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -13.0 dBFS with no timing reference
* Dated: Jul 20, 2023 3:11:00 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Meteor L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	103.578	-169.0144
20.299999	103.590	-169.7787
20.600000	103.603	-170.5347
20.900000	103.615	-171.2866
21.200001	103.625	-172.0314
21.400000	103.631	-172.5184
21.799999	103.640	-173.4617
22.000000	103.644	-173.9163
22.400000	103.654	-174.7957
22.700001	103.664	-175.4409
23.000000	103.675	-176.0856
23.299999	103.686	-176.7348
23.600000	103.696	-177.3865
24.000000	103.705	-178.2494
24.299999	103.709	-178.8827
24.700001	103.714	-179.7034
25.000000	103.718	179.6954
25.400000	103.724	178.9021
25.799999	103.730	178.1073
26.200001	103.734	177.3092
26.500000	103.735	176.7131
26.900000	103.735	175.9291
27.200001	103.734	175.3523
27.600000	103.732	174.5969
28.000000	103.731	173.8516
28.500000	103.729	172.9275
29.000000	103.727	172.0120
29.500000	103.724	171.1101
30.000000	103.720	170.2234
30.400000	103.717	169.5230
30.700001	103.715	169.0026
31.100000	103.711	168.3157
31.500000	103.707	167.6378
32.000000	103.702	166.8031
32.500000	103.696	165.9796
33.000000	103.689	165.1664
33.500000	103.682	164.3665
34.000000	103.673	163.5801
34.500000	103.666	162.7991
35.000000	103.657	162.0145
35.500000	103.646	161.2288
36.000000	103.631	160.4568
36.500000	103.614	159.7103
37.000000	103.599	158.9848
37.500000	103.586	158.2636
38.200001	103.567	157.2415
38.700001	103.552	156.5088
39.500000	103.524	155.3579
40.000000	103.505	154.6537
40.599998	103.483	153.8202
41.200001	103.461	152.9992
41.799999	103.438	152.1900
42.500000	103.412	151.2535
43.099998	103.389	150.4536
43.700001	103.365	149.6604
44.400002	103.335	148.7496
45.000000	103.310	147.9818
45.500000	103.288	147.3482
46.200001	103.258	146.4686
46.799999	103.231	145.7254
47.500000	103.200	144.8770
48.200001	103.170	144.0407
48.700001	103.149	143.4425
49.400002	103.118	142.6091
50.000000	103.089	141.9184
50.799999	103.053	141.0420
51.500000	103.027	140.2854
52.200001	103.005	139.5065
53.000000	102.978	138.5883
53.799999	102.947	137.6558
54.500000	102.917	136.8362
55.200001	102.884	136.0219
56.000000	102.842	135.1118
57.000000	102.789	134.0087
58.000000	102.739	132.9137
59.000000	102.685	131.8190
60.000000	102.628	130.7557
60.799999	102.584	129.9292
61.500000	102.545	129.2145
62.200001	102.507	128.5044
63.000000	102.463	127.6993
64.000000	102.407	126.7055
65.000000	102.351	125.7261
66.000000	102.295	124.7595
67.000000	102.238	123.8054
68.000000	102.182	122.8613
69.000000	102.125	121.9267
70.000000	102.067	121.0041
71.000000	102.008	120.0954
72.000000	101.949	119.2003
73.000000	101.890	118.3171
74.000000	101.832	117.4455
75.000000	101.773	116.5852
76.199997	101.703	115.5656
77.500000	101.627	114.4774
78.800003	101.551	113.4050
80.000000	101.481	112.4279
81.199997	101.410	111.4645
82.500000	101.334	110.4380
83.800003	101.257	109.4293
85.000000	101.186	108.5172
86.199997	101.115	107.6207
87.500000	101.037	106.6645
88.500000	100.976	105.9398
90.000000	100.886	104.8683
91.199997	100.813	104.0233
92.500000	100.736	103.1237
93.800003	100.660	102.2411
95.000000	100.591	101.4435
96.199997	100.521	100.6685
97.500000	100.447	99.8551
98.800003	100.374	99.0545
100.000000	100.308	98.3099
101.500000	100.222	97.3661
103.000000	100.136	96.4352
104.400002	100.058	95.5660
106.000000	99.972	94.5834
107.500000	99.890	93.6815
109.000000	99.806	92.8080
110.599998	99.714	91.9034
112.000000	99.632	91.1226
113.800003	99.523	90.1315
115.000000	99.449	89.5014
117.199997	99.323	88.4327
118.000000	99.280	88.0566
120.599998	99.132	86.8936
122.000000	99.049	86.3414
124.099998	98.931	85.6088
125.000000	98.886	85.3234
126.500000	98.821	84.8779
128.000000	98.774	84.4454
131.500000	98.722	83.1341
132.000000	98.717	82.8882
134.000000	98.682	81.7919
136.000000	98.623	80.6234
138.000000	98.541	79.4919
140.000000	98.444	78.4536
143.000000	98.287	77.0867
145.000000	98.184	76.2905
147.500000	98.063	75.3600
150.000000	97.947	74.4455
152.500000	97.832	73.5670
155.000000	97.718	72.8073
157.500000	97.622	72.1913
160.000000	97.556	71.5455
162.500000	97.502	70.7137
165.000000	97.434	69.7787
167.500000	97.348	68.8752
170.000000	97.255	68.0456
172.500000	97.161	67.2763
175.000000	97.070	66.5500
177.500000	96.982	65.8619
180.000000	96.897	65.2204
182.500000	96.817	64.6145
185.000000	96.739	64.0251
187.500000	96.666	63.4417
190.000000	96.596	62.8675
192.500000	96.528	62.3069
195.000000	96.463	61.7576
197.500000	96.398	61.2209
200.000000	96.335	60.6999
203.000000	96.263	60.0899
206.000000	96.192	59.4916
209.000000	96.124	58.9081
212.000000	96.057	58.3405
214.000000	96.013	57.9749
218.000000	95.927	57.2775
220.000000	95.886	56.9416
224.000000	95.806	56.2926
227.000000	95.749	55.8314
230.000000	95.696	55.3917
233.000000	95.645	54.9716
236.000000	95.597	54.5715
240.000000	95.539	54.0637
243.000000	95.501	53.6915
247.000000	95.459	53.1920
250.000000	95.431	52.8066
254.000000	95.394	52.2823
258.000000	95.357	51.7627
262.000000	95.325	51.2529
265.000000	95.305	50.8626
269.000000	95.279	50.3130
272.000000	95.258	49.8864
276.000000	95.225	49.3177
280.000000	95.188	48.7672
285.000000	95.138	48.1160
290.000000	95.088	47.5173
295.000000	95.040	46.9691
300.000000	94.993	46.4603
304.000000	94.955	46.0840
307.000000	94.928	45.8208
311.000000	94.893	45.4963
315.000000	94.858	45.2050
320.000000	94.814	44.8824
325.000000	94.771	44.6300
330.000000	94.735	44.4841
335.000000	94.710	44.4613
340.000000	94.707	44.5565
345.000000	94.740	44.7084
350.000000	94.817	44.7792
355.000000	94.929	44.5987
360.000000	95.047	44.0730
365.000000	95.142	43.2582
370.000000	95.200	42.3086
375.000000	95.225	41.3625
382.000000	95.225	40.1671
387.000000	95.212	39.4179
395.000000	95.182	38.3691
400.000000	95.162	37.7828
406.000000	95.138	37.1380
412.000000	95.116	36.5416
418.000000	95.096	35.9783
425.000000	95.075	35.3563
431.000000	95.059	34.8419
437.000000	95.044	34.3391
444.000000	95.026	33.7717
450.000000	95.011	33.3022
455.000000	94.999	32.9187
462.000000	94.982	32.3933
468.000000	94.968	31.9576
475.000000	94.952	31.4603
482.000000	94.935	30.9765
487.000000	94.923	30.6400
494.000000	94.905	30.1804
500.000000	94.889	29.7946
508.000000	94.868	29.2936
515.000000	94.850	28.8686
522.000000	94.830	28.4554
530.000000	94.808	28.0008
538.000000	94.785	27.5610
545.000000	94.765	27.1837
552.000000	94.745	26.8181
560.000000	94.722	26.4191
570.000000	94.691	25.9417
580.000000	94.659	25.4856
590.000000	94.625	25.0663
600.000000	94.592	24.6802
608.000000	94.566	24.3850
615.000000	94.543	24.1367
622.000000	94.519	23.8998
630.000000	94.493	23.6429
640.000000	94.460	23.3402
650.000000	94.427	23.0619
660.000000	94.395	22.8045
670.000000	94.363	22.5699
680.000000	94.330	22.3654
690.000000	94.299	22.1826
700.000000	94.269	22.0200
710.000000	94.239	21.8780
720.000000	94.211	21.7528
730.000000	94.183	21.6458
740.000000	94.157	21.5601
750.000000	94.133	21.4948
762.000000	94.105	21.4417
775.000000	94.078	21.4110
788.000000	94.055	21.3987
800.000000	94.036	21.4054
812.000000	94.021	21.4264
825.000000	94.008	21.4724
838.000000	93.998	21.5383
850.000000	93.993	21.6118
862.000000	93.991	21.6929
875.000000	93.993	21.7821
885.000000	93.998	21.8502
900.000000	94.010	21.9623
912.000000	94.023	22.0530
925.000000	94.041	22.1442
938.000000	94.062	22.2295
950.000000	94.085	22.3014
962.000000	94.111	22.3660
975.000000	94.143	22.4238
988.000000	94.177	22.4633
1000.000000	94.210	22.4827
1015.000000	94.253	22.4881
1030.000000	94.299	22.4706
1044.000000	94.343	22.4268
1060.000000	94.394	22.3500
1075.000000	94.442	22.2575
1090.000000	94.491	22.1395
1106.000000	94.542	21.9844
1120.000000	94.585	21.8286
1138.000000	94.639	21.6050
1150.000000	94.673	21.4451
1172.000000	94.733	21.1272
1180.000000	94.753	21.0051
1206.000000	94.815	20.5913
1220.000000	94.846	20.3606
1241.000000	94.887	20.0129
1250.000000	94.904	19.8644
1265.000000	94.930	19.6174
1280.000000	94.953	19.3713
1315.000000	95.001	18.8057
1320.000000	95.007	18.7277
1340.000000	95.032	18.4277
1360.000000	95.054	18.1493
1380.000000	95.075	17.8817
1400.000000	95.096	17.6239
1430.000000	95.126	17.2698
1450.000000	95.147	17.0524
1475.000000	95.176	16.7952
1500.000000	95.207	16.5448
1525.000000	95.239	16.3136
1550.000000	95.274	16.0977
1575.000000	95.312	15.8864
1600.000000	95.354	15.6744
1625.000000	95.399	15.4599
1650.000000	95.446	15.2433
1675.000000	95.497	15.0230
