* Measurement data measured by REW V5.20.13
* Source: Headset (KM-HIFI-384KHZ), MICROPHONE (Master Volume), R, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -13.0 dBFS with no timing reference
* Dated: Jul 20, 2023 3:06:11 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Meteor R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	102.446	-168.0293
20.299999	102.459	-168.8233
20.600000	102.471	-169.5992
20.900000	102.482	-170.3591
21.200001	102.494	-171.1087
21.400000	102.501	-171.6056
21.799999	102.514	-172.5919
22.000000	102.519	-173.0788
22.400000	102.527	-174.0304
22.700001	102.532	-174.7177
23.000000	102.537	-175.3817
23.299999	102.544	-176.0301
23.600000	102.551	-176.6705
24.000000	102.560	-177.5154
24.299999	102.565	-178.1327
24.700001	102.570	-178.9100
25.000000	102.577	-179.4501
25.400000	102.596	179.8646
25.799999	102.630	179.1451
26.200001	102.671	178.3078
26.500000	102.694	177.5910
26.900000	102.705	176.5721
27.200001	102.694	175.8391
27.600000	102.663	175.0052
28.000000	102.634	174.3748
28.500000	102.632	173.7426
29.000000	102.668	173.0042
29.500000	102.709	172.0127
30.000000	102.723	170.8731
30.400000	102.713	169.9902
30.700001	102.700	169.3816
31.100000	102.683	168.6262
31.500000	102.670	167.8912
32.000000	102.653	166.9577
32.500000	102.627	166.0401
33.000000	102.595	165.2097
33.500000	102.569	164.4781
34.000000	102.557	163.7828
34.500000	102.555	163.0525
35.000000	102.556	162.2652
35.500000	102.553	161.4449
36.000000	102.543	160.6290
36.500000	102.530	159.8399
37.000000	102.517	159.0781
37.500000	102.505	158.3284
38.200001	102.488	157.2777
38.700001	102.474	156.5317
39.500000	102.448	155.3708
40.000000	102.432	154.6617
40.599998	102.413	153.8166
41.200001	102.393	152.9785
41.799999	102.372	152.1512
42.500000	102.347	151.1946
43.099998	102.324	150.3801
43.700001	102.300	149.5775
44.400002	102.272	148.6548
45.000000	102.248	147.8651
45.500000	102.227	147.2054
46.200001	102.195	146.2896
46.799999	102.167	145.5188
47.500000	102.134	144.6292
48.200001	102.101	143.7406
48.700001	102.077	143.1089
49.400002	102.043	142.2364
50.000000	102.015	141.4989
50.799999	101.979	140.5207
51.500000	101.947	139.6692
52.200001	101.914	138.8287
53.000000	101.876	137.8851
53.799999	101.838	136.9582
54.500000	101.803	136.1602
55.200001	101.767	135.3738
56.000000	101.726	134.4897
57.000000	101.674	133.4006
58.000000	101.621	132.3113
59.000000	101.566	131.2266
60.000000	101.510	130.1656
60.799999	101.466	129.3287
61.500000	101.427	128.6003
62.200001	101.388	127.8790
63.000000	101.344	127.0673
64.000000	101.288	126.0667
65.000000	101.232	125.0755
66.000000	101.175	124.0965
67.000000	101.116	123.1323
68.000000	101.057	122.1822
69.000000	100.999	121.2429
70.000000	100.941	120.3136
71.000000	100.882	119.3944
72.000000	100.823	118.4888
73.000000	100.764	117.5967
74.000000	100.703	116.7193
75.000000	100.644	115.8563
76.199997	100.572	114.8296
77.500000	100.492	113.7304
78.800003	100.413	112.6534
80.000000	100.339	111.6774
81.199997	100.267	110.7154
82.500000	100.188	109.6935
83.800003	100.109	108.6909
85.000000	100.036	107.7802
86.199997	99.964	106.8814
87.500000	99.885	105.9226
88.500000	99.824	105.1963
90.000000	99.734	104.1209
91.199997	99.661	103.2716
92.500000	99.582	102.3681
93.800003	99.503	101.4868
95.000000	99.430	100.6912
96.199997	99.358	99.9102
97.500000	99.280	99.0776
98.800003	99.203	98.2560
100.000000	99.134	97.5007
101.500000	99.049	96.5576
103.000000	98.964	95.6301
104.400002	98.885	94.7915
106.000000	98.796	93.8596
107.500000	98.710	93.0016
109.000000	98.619	92.1761
110.599998	98.524	91.3419
112.000000	98.445	90.5883
