* Measurement data measured by REW V5.20.13
* Source: Headset (KM-HIFI-384KHZ), MICROPHONE (Master Volume), R, volume: 0.320
* Format: 256k Log Swept Sine, 1 sweep at -13.0 dBFS with no timing reference
* Dated: Jul 16, 2023 2:16:25 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: Jul 16
* Smoothing: None
* Frequency Step: 0.36621097 Hz
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
0.366211 37.600 75.5561
0.732422 47.271 40.7671
1.098633 54.273 23.4283
1.464844 59.575 10.4288
1.831055 63.722 -1.2597
2.197266 67.015 -12.3785
2.563477 69.645 -23.0498
2.929688 71.749 -33.2249
3.295899 73.430 -42.8202
3.662110 74.771 -51.7600
4.028321 75.840 -59.9904
4.394532 76.695 -67.4841
4.760743 77.386 -74.2465
5.126954 77.958 -80.3223
5.493164 78.448 -85.7983
5.859375 78.879 -90.7918
6.225586 79.267 -95.4217
6.591797 79.615 -99.7740
6.958008 79.921 -103.8815
7.324219 80.187 -107.7312
7.690430 80.420 -111.2959
8.056641 80.628 -114.5682
8.422852 80.821 -117.5782
8.789063 81.006 -120.3821
9.155274 81.182 -123.0339
9.521485 81.344 -125.5614
9.887696 81.492 -127.9652
10.253907 81.624 -130.2355
10.620118 81.743 -132.3716
10.986329 81.852 -134.3874
11.352540 81.952 -136.3020
11.718751 82.042 -138.1281
12.084962 82.124 -139.8680
12.451173 82.198 -141.5228
12.817384 82.267 -143.1026
13.183595 82.333 -144.6266
13.549806 82.395 -146.1127
13.916017 82.451 -147.5651
14.282228 82.500 -148.9726
14.648439 82.545 -150.3205
15.014650 82.589 -151.6069
15.380861 82.635 -152.8502
15.747072 82.684 -154.0806
16.113283 82.733 -155.3207
16.479493 82.775 -156.5686
16.845704 82.809 -157.7971
17.211915 82.834 -158.9685
17.578126 82.854 -160.0570
17.944337 82.876 -161.0649
18.310548 82.904 -162.0223
18.676759 82.938 -162.9696
19.042970 82.973 -163.9338
19.409181 83.004 -164.9140
19.775392 83.027 -165.8846
20.141603 83.044 -166.8152
20.507814 83.059 -167.6926
20.874025 83.075 -168.5307
21.240236 83.096 -169.3604
21.606447 83.117 -170.2058
21.972658 83.134 -171.0668
22.338869 83.145 -171.9193
22.705080 83.151 -172.7352
23.071291 83.158 -173.5060
23.437502 83.169 -174.2513
23.803713 83.185 -175.0044
24.169924 83.201 -175.7861
24.536135 83.213 -176.5874
24.902346 83.219 -177.3753
25.268557 83.221 -178.1186
25.634768 83.225 -178.8131
26.000979 83.235 -179.4860
26.367190 83.250 179.8250
26.733401 83.264 179.1020
27.099612 83.273 178.3621
27.465823 83.273 177.6454
27.832033 83.271 176.9841
28.198244 83.271 176.3772
28.564455 83.279 175.7889
28.930666 83.293 175.1742
29.296877 83.306 174.5112
29.663088 83.312 173.8163
30.029299 83.309 173.1313
30.395510 83.299 172.4940
30.761721 83.290 171.9142
31.127932 83.285 171.3711
31.494143 83.286 170.8310
31.860354 83.290 170.2704
32.226565 83.295 169.6854
32.592776 83.297 169.0851
32.958987 83.297 168.4783
33.325198 83.295 167.8681
33.691409 83.290 167.2578
34.057620 83.281 166.6590
34.423831 83.268 166.0910
34.790042 83.256 165.5672
35.156253 83.249 165.0799
35.522464 83.249 164.5978
35.888675 83.256 164.0836
36.254886 83.263 163.5190
36.621097 83.264 162.9183
36.987308 83.258 162.3186
37.353519 83.246 161.7532
37.719730 83.235 161.2288
38.085941 83.227 160.7236
38.452152 83.222 160.2086
38.818363 83.215 159.6750
39.184573 83.202 159.1458
39.550784 83.184 158.6607
39.916995 83.167 158.2456
40.283206 83.159 157.8881
40.649417 83.164 157.5370
41.015628 83.182 157.1295
41.381839 83.203 156.6257
41.748050 83.218 156.0302
42.114261 83.221 155.3860
42.480472 83.210 154.7511
42.846683 83.189 154.1705
43.212894 83.165 153.6598
43.579105 83.145 153.2049
43.945316 83.130 152.7758
44.311527 83.121 152.3441
44.677738 83.115 151.8951
45.043949 83.108 151.4293
45.410160 83.100 150.9565
45.776371 83.090 150.4870
46.142582 83.080 150.0253
46.508793 83.071 149.5692
46.875004 83.062 149.1121
47.241215 83.054 148.6490
47.607426 83.044 148.1797
47.973637 83.033 147.7103
48.339848 83.020 147.2489
48.706059 83.007 146.8011
49.072270 82.994 146.3661
49.438481 82.983 145.9364
49.804692 82.973 145.5031
50.170902 82.963 145.0617
50.537113 82.951 144.6149
50.903324 82.939 144.1702
51.269535 82.925 143.7342
51.635746 82.911 143.3076
52.001957 82.898 142.8854
52.368168 82.886 142.4619
52.734379 82.873 142.0360
53.100590 82.860 141.6124
53.466801 82.846 141.1963
53.833012 82.832 140.7880
54.199223 82.820 140.3810
54.565434 82.808 139.9685
54.931645 82.796 139.5509
55.297856 82.781 139.1379
55.664067 82.765 138.7418
56.030278 82.751 138.3647
56.396489 82.741 137.9932
56.762700 82.734 137.6044
57.128911 82.727 137.1829
57.495122 82.715 136.7344
57.861333 82.698 136.2850
58.227544 82.675 135.8650
58.593755 82.651 135.4894
58.959966 82.630 135.1481
59.326177 82.614 134.8139
59.692388 82.603 134.4617
60.058599 82.591 134.0840
60.424810 82.578 133.6907
60.791021 82.562 133.2976
61.157232 82.544 132.9131
61.523442 82.527 132.5345
61.889653 82.510 132.1558
62.255864 82.493 131.7757
62.622075 82.474 131.4001
62.988286 82.455 131.0358
63.354497 82.438 130.6815
63.720708 82.423 130.3278
64.086919 82.409 129.9644
64.453130 82.395 129.5889
64.819341 82.379 129.2099
65.185552 82.362 128.8393
65.551763 82.344 128.4832
65.917974 82.327 128.1371
66.284185 82.312 127.7910
66.650396 82.298 127.4381
67.016607 82.283 127.0808
67.382818 82.266 126.7278
67.749029 82.248 126.3862
68.115240 82.232 126.0551
68.481451 82.216 125.7269
68.847662 82.202 125.3932
69.213873 82.188 125.0509
69.580084 82.173 124.7029
69.946295 82.157 124.3542
70.312506 82.140 124.0074
70.678717 82.123 123.6618
71.044928 82.105 123.3162
71.411139 82.086 122.9719
71.777350 82.066 122.6327
72.143561 82.046 122.3021
72.509771 82.027 121.9799
72.875982 82.008 121.6625
73.242193 81.990 121.3452
73.608404 81.973 121.0255
73.974615 81.957 120.7032
74.340826 81.940 120.3790
74.707037 81.923 120.0527
75.073248 81.906 119.7243
75.439459 81.887 119.3963
75.805670 81.868 119.0738
76.171881 81.849 118.7614
76.538092 81.830 118.4584
76.904303 81.813 118.1566
77.270514 81.798 117.8453
77.636725 81.783 117.5194
78.002936 81.765 117.1855
78.369147 81.744 116.8581
78.735358 81.723 116.5484
79.101569 81.704 116.2537
79.467780 81.688 115.9569
79.833991 81.673 115.6386
80.200202 81.656 115.2944
80.566413 81.634 114.9423
80.932624 81.607 114.6133
81.298835 81.578 114.3310
81.665046 81.552 114.0933
82.031257 81.535 113.8720
82.397468 81.523 113.6303
82.763679 81.515 113.3468
83.129890 81.504 113.0264
83.496101 81.488 112.6939
83.862311 81.468 112.3741
84.228522 81.447 112.0760
84.594733 81.428 111.7914
84.960944 81.410 111.5052
85.327155 81.393 111.2093
85.693366 81.373 110.9071
86.059577 81.353 110.6082
86.425788 81.331 110.3194
86.791999 81.309 110.0400
87.158210 81.289 109.7650
87.524421 81.269 109.4897
87.890632 81.249 109.2130
88.256843 81.229 108.9356
88.623054 81.209 108.6574
88.989265 81.190 108.3775
89.355476 81.170 108.0964
89.721687 81.149 107.8176
90.087898 81.128 107.5451
90.454109 81.108 107.2794
90.820320 81.090 107.0156
91.186531 81.072 106.7463
91.552742 81.055 106.4685
91.918953 81.037 106.1863
92.285164 81.017 105.9078
92.651375 80.998 105.6382
93.017586 80.979 105.3750
93.383797 80.961 105.1104
93.750008 80.943 104.8386
94.116219 80.925 104.5617
94.482430 80.904 104.2887
94.848641 80.883 104.0280
95.214851 80.862 103.7796
95.581062 80.843 103.5352
95.947273 80.825 103.2843
96.313484 80.807 103.0228
96.679695 80.788 102.7561
97.045906 80.767 102.4938
97.412117 80.745 102.2422
97.778328 80.724 101.9989
98.144539 80.705 101.7559
98.510750 80.685 101.5065
98.876961 80.666 101.2516
99.243172 80.644 100.9987
99.609383 80.622 100.7561
99.975594 80.601 100.5253
100.341805 80.582 100.2995
100.708016 80.564 100.0673
101.074227 80.548 99.8206
101.440438 80.530 99.5596
101.806649 80.511 99.2933
102.172860 80.488 99.0338
102.539071 80.464 98.7898
102.905282 80.441 98.5620
103.271493 80.420 98.3441
103.637704 80.400 98.1270
104.003915 80.381 97.9039
104.370126 80.362 97.6739
104.736337 80.343 97.4410
105.102548 80.322 97.2115
105.468759 80.301 96.9893
105.834970 80.281 96.7742
106.201180 80.262 96.5612
106.567391 80.245 96.3439
106.933602 80.227 96.1176
107.299813 80.209 95.8826
107.666024 80.190 95.6443
108.032235 80.169 95.4106
108.398446 80.147 95.1870
108.764657 80.126 94.9734
109.130868 80.106 94.7643
109.497079 80.086 94.5529
109.863290 80.067 94.3361
110.229501 80.048 94.1173
110.595712 80.027 93.9028
110.961923 80.007 93.6962
111.328134 79.988 93.4937
111.694345 79.970 93.2865
112.060556 79.952 93.0674
112.426767 79.934 92.8379
112.792978 79.912 92.6087
113.159189 79.889 92.3923
113.525400 79.866 92.1938
113.891611 79.845 92.0062
114.257822 79.826 91.8156
114.624033 79.809 91.6115
114.990244 79.790 91.3947
115.356455 79.770 91.1760
115.722666 79.748 90.9660
116.088877 79.726 90.7672
116.455088 79.707 90.5720
116.821299 79.688 90.3705
117.187510 79.669 90.1599
117.553720 79.649 89.9469
117.919931 79.627 89.7419
118.286142 79.606 89.5487
118.652353 79.587 89.3593
119.018564 79.570 89.1600
119.384775 79.553 88.9421
119.750986 79.533 88.7110
120.117197 79.509 88.4842
120.483408 79.483 88.2799
120.849619 79.457 88.1049
121.215830 79.434 87.9492
121.582041 79.415 87.7931
121.948252 79.398 87.6194
122.314463 79.381 87.4243
122.680674 79.361 87.2179
123.046885 79.338 87.0172
123.413096 79.313 86.8346
123.779307 79.288 86.6718
124.145518 79.266 86.5205
124.511729 79.246 86.3682
124.877940 79.228 86.2064
125.244151 79.209 86.0334
125.610362 79.189 85.8542
125.976573 79.167 85.6755
126.342784 79.144 85.5027
126.708995 79.121 85.3370
127.075206 79.098 85.1771
127.441417 79.076 85.0207
127.807628 79.053 84.8664
128.173839 79.031 84.7136
128.540049 79.009 84.5623
128.906260 78.987 84.4121
129.272471 78.965 84.2618
129.638682 78.944 84.1103
130.004893 78.922 83.9567
130.371104 78.900 83.8008
130.737315 78.878 83.6434
131.103526 78.856 83.4858
131.469737 78.832 83.3300
131.835948 78.808 83.1790
132.202159 78.784 83.0351
132.568370 78.759 82.8988
132.934581 78.735 82.7689
133.300792 78.712 82.6426
133.667003 78.688 82.5194
134.033214 78.663 82.4029
134.399425 78.638 82.2998
134.765636 78.614 82.2161
135.131847 78.592 82.1506
135.498058 78.574 82.0924
135.864269 78.559 82.0250
136.230480 78.545 81.9363
136.596691 78.529 81.8279
136.962902 78.509 81.7167
137.329113 78.485 81.6266
137.695324 78.460 81.5734
138.061535 78.438 81.5547
138.427746 78.421 81.5511
138.793957 78.407 81.5393
139.160168 78.395 81.5085
139.526379 78.382 81.4672
139.892589 78.366 81.4359
140.258800 78.349 81.4315
140.625011 78.336 81.4552
140.991222 78.328 81.4918
141.357433 78.324 81.5223
141.723644 78.325 81.5373
142.089855 78.326 81.5411
142.456066 78.329 81.5440
142.822277 78.336 81.5491
143.188488 78.347 81.5470
143.554699 78.363 81.5210
143.920910 78.381 81.4598
144.287121 78.400 81.3658
144.653332 78.417 81.2517
145.019543 78.434 81.1289
145.385754 78.452 80.9974
145.751965 78.472 80.8452
146.118176 78.494 80.6587
146.484387 78.513 80.4341
146.850598 78.528 80.1819
147.216809 78.539 79.9194
147.583020 78.546 79.6588
147.949231 78.552 79.4003
148.315442 78.557 79.1353
148.681653 78.561 78.8562
149.047864 78.561 78.5648
149.414075 78.557 78.2722
149.780286 78.550 77.9900
150.146497 78.541 77.7220
150.512708 78.533 77.4611
150.878918 78.525 77.1959
151.245129 78.516 76.9199
151.611340 78.504 76.6376
