* Measurement data measured by REW V5.20.13
* Source: Headset (KM-HIFI-384KHZ), MICROPHONE (Master Volume), R, volume: 0.320
* Format: 256k Log Swept Sine, 1 sweep at -13.0 dBFS with no timing reference
* Dated: Jul 16, 2023 2:13:11 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: Jul 16
* Smoothing: None
* Frequency Step: 0.36621097 Hz
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
0.366211 37.667 -5.1030
0.732422 45.996 -6.0746
1.098633 52.437 -8.0638
1.464844 57.501 -11.5478
1.831055 61.624 -16.4507
2.197266 65.042 -22.5801
2.563477 67.890 -29.6763
2.929688 70.254 -37.4480
3.295899 72.196 -45.5992
3.662110 73.767 -53.8448
4.028321 75.017 -61.9220
4.394532 75.992 -69.6019
4.760743 76.744 -76.7045
5.126954 77.324 -83.1185
5.493164 77.781 -88.8179
5.859375 78.159 -93.8641
6.225586 78.490 -98.3812
6.591797 78.789 -102.5080
6.958008 79.061 -106.3496
7.324219 79.306 -109.9530
7.690430 79.524 -113.3192
8.056641 79.722 -116.4386
8.422852 79.908 -119.3248
8.789063 80.090 -122.0268
9.155274 80.267 -124.6102
9.521485 80.435 -127.1214
9.887696 80.585 -129.5639
10.253907 80.714 -131.9008
10.620118 80.822 -134.0851
10.986329 80.916 -136.0934
11.352540 81.005 -137.9433
11.718751 81.092 -139.6810
12.084962 81.176 -141.3519
12.451173 81.253 -142.9773
12.817384 81.321 -144.5554
13.183595 81.379 -146.0790
13.549806 81.429 -147.5505
13.916017 81.469 -148.9764
14.282228 81.498 -150.3473
14.648439 81.515 -151.6265
15.014650 81.528 -152.7670
15.380861 81.548 -153.7547
15.747072 81.591 -154.6464
16.113283 81.663 -155.5630
16.479493 81.754 -156.6299
16.845704 81.847 -157.9022
17.211915 81.919 -159.3305
17.578126 81.961 -160.7906
17.944337 81.977 -162.1526
18.310548 81.984 -163.3481
18.676759 81.996 -164.3966
19.042970 82.022 -165.3754
19.409181 82.058 -166.3578
19.775392 82.094 -167.3656
20.141603 82.124 -168.3688
20.507814 82.147 -169.3235
20.874025 82.169 -170.2126
21.240236 82.195 -171.0557
21.606447 82.223 -171.8877
21.972658 82.249 -172.7258
22.338869 82.271 -173.5570
22.705080 82.287 -174.3549
23.071291 82.301 -175.1084
23.437502 82.319 -175.8368
23.803713 82.339 -176.5774
24.169924 82.358 -177.3553
24.536135 82.369 -178.1617
24.902346 82.370 -178.9591
25.268557 82.364 -179.7078
25.634768 82.357 179.6066
26.000979 82.354 178.9655
26.367190 82.359 178.3328
26.733401 82.368 177.6801
27.099612 82.379 176.9999
27.465823 82.388 176.3010
27.832033 82.395 175.5947
28.198244 82.400 174.8868
28.564455 82.403 174.1810
28.930666 82.403 173.4848
29.296877 82.402 172.8093
29.663088 82.401 172.1588
30.029299 82.401 171.5229
30.395510 82.403 170.8836
30.761721 82.403 170.2335
31.127932 82.399 169.5905
31.494143 82.389 168.9891
31.860354 82.382 168.4491
32.226565 82.383 167.9463
32.592776 82.396 167.4151
32.958987 82.414 166.7917
33.325198 82.423 166.0673
33.691409 82.412 165.3093
34.057620 82.381 164.6264
34.423831 82.344 164.0980
34.790042 82.318 163.7136
35.156253 82.316 163.3712
35.522464 82.334 162.9462
35.888675 82.355 162.3793
36.254886 82.362 161.7156
36.621097 82.350 161.0652
36.987308 82.328 160.5205
37.353519 82.314 160.0887
37.719730 82.317 159.6881
38.085941 82.335 159.2142
38.452152 82.353 158.6201
38.818363 82.357 157.9493
39.184573 82.344 157.2982
39.550784 82.320 156.7448
39.916995 82.302 156.2943
40.283206 82.296 155.8817
40.649417 82.302 155.4261
41.015628 82.309 154.8920
41.381839 82.306 154.3087
41.748050 82.293 153.7401
42.114261 82.275 153.2326
42.480472 82.259 152.7834
42.846683 82.252 152.3484
43.212894 82.251 151.8817
43.579105 82.248 151.3698
43.945316 82.240 150.8370
44.311527 82.225 150.3205
44.677738 82.209 149.8403
45.043949 82.196 149.3876
45.410160 82.186 148.9367
45.776371 82.178 148.4685
46.142582 82.169 147.9844
46.508793 82.157 147.5007
46.875004 82.143 147.0326
47.241215 82.130 146.5815
47.607426 82.120 146.1362
47.973637 82.110 145.6838
48.339848 82.101 145.2201
48.706059 82.090 144.7507
49.072270 82.077 144.2846
49.438481 82.062 143.8274
49.804692 82.047 143.3803
50.170902 82.031 142.9433
50.537113 82.016 142.5172
50.903324 82.001 142.1013
51.269535 81.987 141.6899
51.635746 81.975 141.2733
52.001957 81.963 140.8448
52.368168 81.949 140.4078
52.734379 81.931 139.9773
53.100590 81.912 139.5696
53.466801 81.894 139.1895
53.833012 81.881 138.8225
54.199223 81.873 138.4423
54.565434 81.868 138.0270
54.931645 81.860 137.5745
55.297856 81.847 137.1036
55.664067 81.829 136.6418
56.030278 81.808 136.2082
56.396489 81.787 135.8040
56.762700 81.770 135.4154
57.128911 81.755 135.0258
57.495122 81.741 134.6264
57.861333 81.728 134.2197
58.227544 81.713 133.8133
58.593755 81.698 133.4130
58.959966 81.683 133.0190
59.326177 81.669 132.6278
59.692388 81.655 132.2367
60.058599 81.641 131.8458
60.424810 81.626 131.4573
60.791021 81.611 131.0730
61.157232 81.596 130.6927
61.523442 81.581 130.3153
61.889653 81.565 129.9395
62.255864 81.550 129.5650
62.622075 81.534 129.1920
62.988286 81.517 128.8212
63.354497 81.500 128.4531
63.720708 81.483 128.0877
64.086919 81.466 127.7245
64.453130 81.449 127.3621
64.819341 81.433 126.9985
65.185552 81.416 126.6326
65.551763 81.398 126.2652
65.917974 81.380 125.8988
66.284185 81.362 125.5353
66.650396 81.344 125.1743
67.016607 81.326 124.8141
67.382818 81.308 124.4534
67.749029 81.290 124.0942
68.115240 81.271 123.7413
68.481451 81.252 123.3979
68.847662 81.235 123.0621
69.213873 81.220 122.7260
69.580084 81.205 122.3807
69.946295 81.191 122.0232
70.312506 81.174 121.6591
70.678717 81.155 121.3004
71.044928 81.135 120.9575
71.411139 81.114 120.6335
71.777350 81.096 120.3223
72.143561 81.080 120.0124
72.509771 81.067 119.6932
72.875982 81.053 119.3591
73.242193 81.039 119.0100
73.608404 81.022 118.6518
73.974615 81.003 118.2939
74.340826 80.981 117.9476
74.707037 80.957 117.6216
75.073248 80.934 117.3176
75.439459 80.914 117.0275
75.805670 80.897 116.7372
76.171881 80.881 116.4337
76.538092 80.866 116.1132
76.904303 80.849 115.7825
77.270514 80.830 115.4542
77.636725 80.810 115.1373
78.002936 80.790 114.8323
78.369147 80.772 114.5325
78.735358 80.755 114.2298
79.101569 80.738 113.9205
79.467780 80.721 113.6056
79.833991 80.703 113.2875
80.200202 80.685 112.9675
80.566413 80.666 112.6452
80.932624 80.646 112.3227
81.298835 80.624 112.0055
81.665046 80.601 111.7009
82.031257 80.578 111.4126
82.397468 80.556 111.1374
82.763679 80.537 110.8664
83.129890 80.520 110.5900
83.496101 80.504 110.3035
83.862311 80.487 110.0080
84.228522 80.470 109.7078
84.594733 80.452 109.4068
84.960944 80.433 109.1069
85.327155 80.414 108.8090
85.693366 80.394 108.5151
86.059577 80.374 108.2273
86.425788 80.353 107.9463
86.791999 80.334 107.6698
87.158210 80.315 107.3935
87.524421 80.297 107.1147
87.890632 80.278 106.8350
88.256843 80.258 106.5583
88.623054 80.238 106.2881
88.989265 80.220 106.0233
89.355476 80.202 105.7585
89.721687 80.184 105.4881
90.087898 80.167 105.2107
90.454109 80.148 104.9305
90.820320 80.128 104.6541
91.186531 80.108 104.3850
91.552742 80.088 104.1210
91.918953 80.070 103.8562
92.285164 80.051 103.5858
92.651375 80.032 103.3106
93.017586 80.011 103.0368
93.383797 79.989 102.7715
93.750008 79.967 102.5177
94.116219 79.947 102.2720
94.482430 79.928 102.0270
94.848641 79.909 101.7767
95.214851 79.891 101.5204
95.581062 79.872 101.2628
95.947273 79.852 101.0092
96.313484 79.832 100.7623
96.679695 79.813 100.5196
97.045906 79.795 100.2760
97.412117 79.777 100.0280
97.778328 79.759 99.7759
98.144539 79.740 99.5233
98.510750 79.721 99.2737
98.876961 79.701 99.0283
99.243172 79.682 98.7855
99.609383 79.663 98.5425
99.975594 79.645 98.2982
100.341805 79.626 98.0536
100.708016 79.606 97.8101
101.074227 79.587 97.5679
101.440438 79.567 97.3266
101.806649 79.547 97.0858
102.172860 79.527 96.8473
102.539071 79.506 96.6141
102.905282 79.486 96.3883
103.271493 79.466 96.1679
103.637704 79.448 95.9473
104.003915 79.430 95.7203
104.370126 79.413 95.4844
104.736337 79.394 95.2432
105.102548 79.374 95.0035
105.468759 79.354 94.7717
105.834970 79.333 94.5488
106.201180 79.314 94.3305
106.567391 79.296 94.1104
106.933602 79.278 93.8848
107.299813 79.259 93.6546
107.666024 79.240 93.4243
108.032235 79.220 93.1980
108.398446 79.200 92.9775
108.764657 79.180 92.7618
109.130868 79.160 92.5494
109.497079 79.140 92.3403
109.863290 79.121 92.1355
110.229501 79.102 91.9351
110.595712 79.084 91.7365
110.961923 79.067 91.5351
111.328134 79.049 91.3270
111.694345 79.032 91.1126
112.060556 79.013 90.8967
112.426767 78.993 90.6854
112.792978 78.972 90.4815
113.159189 78.952 90.2825
113.525400 78.933 90.0819
113.891611 78.914 89.8748
114.257822 78.895 89.6619
114.624033 78.873 89.4501
114.990244 78.851 89.2471
115.356455 78.829 89.0557
115.722666 78.808 88.8710
116.088877 78.789 88.6840
116.455088 78.772 88.4875
116.821299 78.754 88.2812
117.187510 78.734 88.0713
117.553720 78.714 87.8645
117.919931 78.694 87.6635
118.286142 78.674 87.4658
118.652353 78.655 87.2673
119.018564 78.635 87.0677
119.384775 78.614 86.8720
119.750986 78.593 86.6866
120.117197 78.572 86.5137
120.483408 78.552 86.3488
120.849619 78.535 86.1830
121.215830 78.518 86.0097
121.582041 78.501 85.8291
121.948252 78.482 85.6470
122.314463 78.463 85.4700
122.680674 78.443 85.3004
123.046885 78.424 85.1351
123.413096 78.405 84.9693
123.779307 78.387 84.8005
124.145518 78.367 84.6302
124.511729 78.347 84.4622
124.877940 78.327 84.2989
125.244151 78.307 84.1395
125.610362 78.287 83.9822
125.976573 78.268 83.8255
126.342784 78.248 83.6698
126.708995 78.229 83.5158
127.075206 78.210 83.3630
127.441417 78.192 83.2092
127.807628 78.174 83.0524
128.173839 78.156 82.8934
128.540049 78.137 82.7360
128.906260 78.117 82.5847
129.272471 78.098 82.4412
129.638682 78.079 82.3033
130.004893 78.061 82.1660
130.371104 78.043 82.0252
130.737315 78.025 81.8803
131.103526 78.006 81.7350
131.469737 77.986 81.5950
131.835948 77.965 81.4647
132.202159 77.944 81.3445
132.568370 77.924 81.2311
132.934581 77.905 81.1193
133.300792 77.887 81.0055
133.667003 77.868 80.8902
134.033214 77.849 80.7779
134.399425 77.829 80.6738
134.765636 77.811 80.5804
135.131847 77.794 80.4945
135.498058 77.779 80.4089
135.864269 77.766 80.3170
136.230480 77.754 80.2173
136.596691 77.741 80.1143
136.962902 77.728 80.0151
137.329113 77.716 79.9236
137.695324 77.705 79.8365
138.061535 77.696 79.7469
138.427746 77.687 79.6492
138.793957 77.678 79.5458
139.160168 77.668 79.4458
139.526379 77.656 79.3593
139.892589 77.646 79.2896
140.258800 77.638 79.2298
140.625011 77.633 79.1678
140.991222 77.630 79.0941
141.357433 77.626 79.0085
141.723644 77.622 78.9182
142.089855 77.617 78.8319
142.456066 77.613 78.7517
142.822277 77.611 78.6715
143.188488 77.611 78.5817
143.554699 77.612 78.4763
143.920910 77.612 78.3565
144.287121 77.612 78.2284
144.653332 77.612 78.0970
145.019543 77.612 77.9622
145.385754 77.613 77.8190
145.751965 77.615 77.6621
146.118176 77.616 77.4897
146.484387 77.617 77.3046
146.850598 77.616 77.1116
147.216809 77.613 76.9148
147.583020 77.609 76.7165
147.949231 77.604 76.5186
148.315442 77.598 76.3238
148.681653 77.591 76.1338
149.047864 77.584 75.9483
149.414075 77.578 75.7636
149.780286 77.571 75.5751
150.146497 77.564 75.3812
150.512708 77.555 75.1844
150.878918 77.545 74.9909
151.245129 77.533 74.8053
151.611340 77.522 74.6276
