* Measurement data measured by REW V5.20.13
* Source: Headset (KM-HIFI-384KHZ), MICROPHONE (Master Volume), R, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -13.0 dBFS with no timing reference
* Dated: Aug 6, 2023 11:41:10 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: Aug 6
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	90.655	-152.3714
20.299999	90.651	-153.3459
20.600000	90.635	-154.2438
20.900000	90.612	-155.0440
21.200001	90.591	-155.7618
21.400000	90.580	-156.2179
21.799999	90.562	-157.1098
22.000000	90.553	-157.5544
22.400000	90.529	-158.4290
22.700001	90.506	-159.0387
23.000000	90.485	-159.5838
23.299999	90.470	-160.0773
23.600000	90.466	-160.5590
24.000000	90.474	-161.2621
24.299999	90.483	-161.8778
24.700001	90.483	-162.8011
25.000000	90.468	-163.5066
25.400000	90.431	-164.3628
25.799999	90.393	-165.0720
26.200001	90.370	-165.7062
26.500000	90.364	-166.2208
26.900000	90.356	-167.0349
27.200001	90.336	-167.7266
27.600000	90.279	-168.6476
28.000000	90.189	-169.3978
28.500000	90.065	-169.9651
29.000000	89.963	-170.2323
29.500000	89.882	-170.3585
30.000000	89.810	-170.2776
30.400000	89.778	-169.9595
30.700001	89.789	-169.6032
31.100000	89.870	-169.1912
31.500000	90.010	-169.1413
32.000000	90.196	-169.8621
32.500000	90.303	-171.2472
33.000000	90.299	-172.6651
33.500000	90.231	-173.6374
34.000000	90.176	-174.1477
34.500000	90.171	-174.5449
35.000000	90.197	-175.1290
35.500000	90.214	-175.9448
36.000000	90.199	-176.8339
36.500000	90.160	-177.6397
37.000000	90.113	-178.3105
37.500000	90.070	-178.8934
38.200001	90.017	-179.6751
38.700001	89.975	179.7860
39.500000	89.904	179.0585
40.000000	89.868	178.6796
40.599998	89.836	178.2168
41.200001	89.804	177.6986
41.799999	89.764	177.1745
42.500000	89.710	176.6350
43.099998	89.668	176.2240
43.700001	89.631	175.8086
44.400002	89.586	175.2979
45.000000	89.542	174.8680
45.500000	89.504	174.5365
46.200001	89.455	174.1012
46.799999	89.415	173.7230
47.500000	89.367	173.2670
48.200001	89.315	172.8286
48.700001	89.277	172.5414
49.400002	89.226	172.1729
50.000000	89.186	171.8700
50.799999	89.137	171.4545
51.500000	89.091	171.0866
52.200001	89.043	170.7489
53.000000	88.989	170.4128
53.799999	88.941	170.1155
54.500000	88.906	169.8651
55.200001	88.872	169.5901
56.000000	88.828	169.2822
57.000000	88.781	168.9976
58.000000	88.753	168.5552
59.000000	88.686	167.9538
60.000000	88.595	167.5854
60.799999	88.539	167.3359
61.500000	88.490	167.0634
62.200001	88.436	166.7993
63.000000	88.375	166.5475
64.000000	88.309	166.2680
65.000000	88.251	166.0038
66.000000	88.198	165.7598
67.000000	88.149	165.5415
68.000000	88.106	165.3221
69.000000	88.060	165.0618
70.000000	88.003	164.7840
