* Measurement data measured by REW V5.20.13
* Source: Headset (KM-HIFI-384KHZ), MICROPHONE (Master Volume), R, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -13.0 dBFS with no timing reference
* Dated: Aug 6, 2023 11:49:09 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: Aug 6
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	74.337	-166.1617
20.299999	74.297	-166.1126
20.600000	74.301	-166.0743
20.900000	74.337	-166.1863
21.200001	74.385	-166.5260
21.400000	74.411	-166.8632
21.799999	74.439	-167.6988
22.000000	74.438	-168.1357
22.400000	74.412	-168.9291
22.700001	74.382	-169.4157
23.000000	74.354	-169.8208
23.299999	74.332	-170.1850
23.600000	74.314	-170.5390
24.000000	74.295	-171.0245
24.299999	74.280	-171.4012
24.700001	74.256	-171.9112
25.000000	74.236	-172.2924
25.400000	74.204	-172.7878
25.799999	74.165	-173.2430
26.200001	74.125	-173.6294
26.500000	74.099	-173.8750
26.900000	74.074	-174.1790
27.200001	74.061	-174.4277
27.600000	74.045	-174.8197
28.000000	74.021	-175.2585
28.500000	73.972	-175.7621
29.000000	73.918	-176.1319
29.500000	73.872	-176.4294
30.000000	73.826	-176.7414
30.400000	73.778	-176.9595
30.700001	73.737	-177.0500
31.100000	73.686	-177.0411
31.500000	73.654	-176.9399
32.000000	73.645	-176.8652
32.500000	73.643	-176.9678
33.000000	73.624	-177.1450
33.500000	73.597	-177.2502
34.000000	73.583	-177.3294
34.500000	73.575	-177.5404
35.000000	73.544	-177.8598
35.500000	73.483	-178.0366
36.000000	73.431	-177.9110
36.500000	73.429	-177.6528
37.000000	73.473	-177.6051
37.500000	73.519	-177.8948
38.200001	73.528	-178.5049
38.700001	73.510	-178.8083
39.500000	73.500	-179.1491
40.000000	73.499	-179.4338
40.599998	73.481	-179.8193
41.200001	73.447	179.8748
41.799999	73.412	179.6614
42.500000	73.374	179.4492
43.099998	73.341	179.2771
43.700001	73.307	179.1289
44.400002	73.270	178.9759
45.000000	73.241	178.8394
45.500000	73.218	178.7173
46.200001	73.185	178.5417
46.799999	73.158	178.3949
47.500000	73.127	178.2327
48.200001	73.097	178.0859
48.700001	73.076	177.9940
49.400002	73.048	177.8805
50.000000	73.026	177.7869
50.799999	72.997	177.6588
51.500000	72.971	177.5501
52.200001	72.943	177.4488
53.000000	72.911	177.3396
53.799999	72.880	177.2416
54.500000	72.855	177.1617
55.200001	72.831	177.0804
56.000000	72.806	177.0023
57.000000	72.783	176.9132
58.000000	72.761	176.7457
59.000000	72.721	176.6004
60.000000	72.680	176.5702
60.799999	72.652	176.5610
61.500000	72.629	176.5468
62.200001	72.606	176.5289
63.000000	72.580	176.4973
64.000000	72.548	176.4490
65.000000	72.516	176.4026
66.000000	72.488	176.3546
67.000000	72.461	176.3073
68.000000	72.435	176.2626
69.000000	72.408	176.2267
70.000000	72.382	176.2019
71.000000	72.355	176.1817
72.000000	72.328	176.1659
73.000000	72.302	176.1537
74.000000	72.276	176.1395
75.000000	72.251	176.1261
76.199997	72.222	176.1119
77.500000	72.191	176.1003
78.800003	72.161	176.0925
80.000000	72.131	176.0872
81.199997	72.102	176.0886
82.500000	72.069	176.0981
83.800003	72.038	176.1151
85.000000	72.011	176.1282
86.199997	71.985	176.1381
87.500000	71.955	176.1495
88.500000	71.932	176.1605
90.000000	71.896	176.1872
91.199997	71.867	176.2166
92.500000	71.837	176.2491
93.800003	71.805	176.2814
95.000000	71.775	176.3192
96.199997	71.745	176.3640
97.500000	71.713	176.4131
98.800003	71.679	176.4603
100.000000	71.647	176.5112
101.500000	71.606	176.5858
103.000000	71.565	176.6639
104.400002	71.525	176.7397
106.000000	71.477	176.8399
107.500000	71.431	176.9483
109.000000	71.382	177.0649
110.599998	71.322	177.1962
112.000000	71.264	177.3260
113.800003	71.180	177.5325
115.000000	71.120	177.7117
117.199997	70.997	178.1823
118.000000	70.949	178.4132
120.599998	70.762	179.4632
122.000000	70.643	-179.6207
124.099998	70.488	-177.5841
125.000000	70.448	-176.4406
126.500000	70.458	-174.2030
128.000000	70.608	-171.7787
131.500000	71.499	-168.3004
132.000000	71.648	-168.2964
134.000000	72.155	-169.4560
136.000000	72.451	-171.6423
138.000000	72.561	-173.8223
140.000000	72.561	-175.5508
143.000000	72.481	-177.2891
145.000000	72.413	-178.0351
147.500000	72.331	-178.6718
150.000000	72.255	-179.0947
152.500000	72.189	-179.3782
155.000000	72.131	-179.5652
157.500000	72.079	-179.6835
160.000000	72.031	-179.7569
162.500000	71.988	-179.8008
165.000000	71.950	-179.8197
167.500000	71.915	-179.8161
170.000000	71.883	-179.7953
172.500000	71.853	-179.7636
175.000000	71.826	-179.7240
177.500000	71.800	-179.6735
180.000000	71.776	-179.6117
182.500000	71.754	-179.5466
185.000000	71.734	-179.4798
187.500000	71.716	-179.4119
190.000000	71.697	-179.3430
192.500000	71.679	-179.2702
195.000000	71.661	-179.1935
197.500000	71.645	-179.1125
200.000000	71.630	-179.0276
203.000000	71.613	-178.9229
206.000000	71.596	-178.8188
209.000000	71.580	-178.7159
212.000000	71.565	-178.6105
214.000000	71.555	-178.5390
218.000000	71.536	-178.3948
220.000000	71.528	-178.3224
224.000000	71.511	-178.1748
227.000000	71.500	-178.0612
230.000000	71.489	-177.9463
233.000000	71.477	-177.8313
236.000000	71.466	-177.7193
240.000000	71.450	-177.5756
243.000000	71.439	-177.4675
247.000000	71.426	-177.3144
250.000000	71.416	-177.1921
254.000000	71.403	-177.0226
258.000000	71.390	-176.8513
262.000000	71.378	-176.6845
265.000000	71.368	-176.5597
269.000000	71.357	-176.3838
272.000000	71.350	-176.2443
276.000000	71.342	-176.0607
280.000000	71.335	-175.8854
285.000000	71.322	-175.6572
290.000000	71.310	-175.3880
295.000000	71.305	-175.0827
300.000000	71.314	-174.7880
304.000000	71.329	-174.6064
307.000000	71.340	-174.5138
311.000000	71.351	-174.4325
315.000000	71.353	-174.3656
320.000000	71.349	-174.2709
325.000000	71.341	-174.1537
330.000000	71.334	-174.0126
335.000000	71.326	-173.8562
340.000000	71.316	-173.6934
345.000000	71.309	-173.5252
350.000000	71.302	-173.3463
355.000000	71.297	-173.1623
360.000000	71.291	-172.9818
365.000000	71.286	-172.8027
370.000000	71.281	-172.6211
375.000000	71.276	-172.4405
382.000000	71.271	-172.1847
387.000000	71.268	-171.9926
395.000000	71.263	-171.6875
400.000000	71.260	-171.5022
406.000000	71.256	-171.2777
412.000000	71.253	-171.0505
418.000000	71.252	-170.8253
425.000000	71.250	-170.5645
431.000000	71.248	-170.3374
437.000000	71.246	-170.1071
444.000000	71.244	-169.8363
450.000000	71.244	-169.6038
455.000000	71.243	-169.4102
462.000000	71.243	-169.1413
468.000000	71.242	-168.9122
475.000000	71.243	-168.6430
482.000000	71.244	-168.3693
487.000000	71.245	-168.1712
494.000000	71.246	-167.8963
500.000000	71.248	-167.6624
508.000000	71.250	-167.3450
515.000000	71.252	-167.0656
522.000000	71.255	-166.7891
530.000000	71.259	-166.4724
538.000000	71.262	-166.1523
545.000000	71.266	-165.8690
552.000000	71.270	-165.5834
560.000000	71.276	-165.2540
570.000000	71.283	-164.8426
580.000000	71.291	-164.4316
590.000000	71.300	-164.0180
600.000000	71.311	-163.5981
608.000000	71.319	-163.2585
615.000000	71.328	-162.9600
622.000000	71.337	-162.6630
630.000000	71.347	-162.3230
640.000000	71.360	-161.8904
650.000000	71.375	-161.4492
660.000000	71.391	-161.0055
670.000000	71.409	-160.5634
680.000000	71.427	-160.1212
690.000000	71.447	-159.6748
700.000000	71.469	-159.2209
710.000000	71.491	-158.7623
720.000000	71.515	-158.3047
730.000000	71.542	-157.8496
740.000000	71.570	-157.3952
750.000000	71.600	-156.9373
762.000000	71.637	-156.3808
775.000000	71.680	-155.7715
788.000000	71.728	-155.1655
800.000000	71.776	-154.6189
812.000000	71.830	-154.0908
825.000000	71.894	-153.5507
838.000000	71.960	-153.0559
850.000000	72.018	-152.6494
862.000000	72.070	-152.2900
875.000000	72.104	-152.0100
885.000000	72.098	-151.6688
900.000000	72.116	-150.6936
912.000000	72.184	-149.8697
925.000000	72.281	-149.0851
938.000000	72.397	-148.3074
950.000000	72.531	-147.6661
962.000000	72.665	-147.2831
975.000000	72.776	-147.0654
988.000000	72.865	-146.8370
1000.000000	72.947	-146.5676
1015.000000	73.053	-146.1985
1030.000000	73.162	-145.8419
1044.000000	73.265	-145.5392
1060.000000	73.384	-145.2281
1075.000000	73.497	-144.9637
1090.000000	73.609	-144.7359
1106.000000	73.729	-144.5372
1120.000000	73.832	-144.3924
1138.000000	73.963	-144.2351
1150.000000	74.048	-144.1472
1172.000000	74.198	-144.0266
1180.000000	74.251	-143.9936
1206.000000	74.420	-143.9153
1220.000000	74.509	-143.8948
1241.000000	74.639	-143.8927
1250.000000	74.693	-143.8995
1265.000000	74.782	-143.9150
1280.000000	74.867	-143.9331
1315.000000	75.054	-143.9918
1320.000000	75.080	-144.0029
1340.000000	75.182	-144.0498
1360.000000	75.282	-144.0962
1380.000000	75.380	-144.1474
1400.000000	75.476	-144.2071
1430.000000	75.612	-144.2831
1450.000000	75.700	-144.3189
1475.000000	75.808	-144.3704
1500.000000	75.918	-144.4355
1525.000000	76.027	-144.4943
1550.000000	76.135	-144.5504
1575.000000	76.239	-144.6055
1600.000000	76.341	-144.6501
1625.000000	76.443	-144.6930
1650.000000	76.547	-144.7474
1675.000000	76.653	-144.8075
1700.000000	76.760	-144.8616
1725.000000	76.867	-144.9099
1750.000000	76.976	-144.9651
1775.000000	77.087	-145.0458
1800.000000	77.198	-145.1546
1825.000000	77.308	-145.2849
1850.000000	77.417	-145.4333
1875.000000	77.526	-145.5957
1900.000000	77.635	-145.7657
1925.000000	77.744	-145.9399
1950.000000	77.852	-146.1217
1975.000000	77.961	-146.3200
2000.000000	78.071	-146.5426
2030.000000	78.204	-146.8475
2060.000000	78.335	-147.1897
2090.000000	78.462	-147.5579
2120.000000	78.587	-147.9499
2140.000000	78.670	-148.2266
2180.000000	78.835	-148.8198
2200.000000	78.916	-149.1341
2240.000000	79.072	-149.7871
2270.000000	79.185	-150.3034
2300.000000	79.294	-150.8512
2330.000000	79.401	-151.4284
2360.000000	79.504	-152.0265
2400.000000	79.636	-152.8553
2430.000000	79.730	-153.5045
2470.000000	79.849	-154.3983
2500.000000	79.930	-155.0791
2540.000000	80.030	-155.9974
2580.000000	80.123	-156.9306
2620.000000	80.211	-157.8697
2650.000000	80.274	-158.5753
2690.000000	80.355	-159.5370
2720.000000	80.413	-160.2919
2760.000000	80.483	-161.3492
2800.000000	80.537	-162.4420
2850.000000	80.583	-163.8193
2900.000000	80.609	-165.1775
2950.000000	80.618	-166.4893
3000.000000	80.611	-167.7398
3040.000000	80.595	-168.6914
3070.000000	80.578	-169.3717
3110.000000	80.550	-170.2281
3150.000000	80.517	-171.0283
3200.000000	80.476	-171.9743
3250.000000	80.435	-172.8953
3300.000000	80.390	-173.8011
3350.000000	80.336	-174.6748
3400.000000	80.273	-175.4957
3450.000000	80.205	-176.2535
3500.000000	80.133	-176.9423
3550.000000	80.059	-177.5722
3600.000000	79.986	-178.1626
3650.000000	79.915	-178.7189
3700.000000	79.843	-179.2359
3750.000000	79.770	-179.7128
3820.000000	79.667	179.6712
3870.000000	79.594	179.2623
3950.000000	79.477	178.6616
4000.000000	79.406	178.3074
4060.000000	79.322	177.8831
4120.000000	79.236	177.4482
4180.000000	79.141	177.0037
4250.000000	79.008	176.4823
4310.000000	78.858	176.1055
4370.000000	78.656	176.1541
4440.000000	78.476	177.5085
4500.000000	78.573	178.7809
4550.000000	78.722	178.7132
4620.000000	78.792	177.6321
4680.000000	78.748	176.7496
4750.000000	78.661	175.9800
4820.000000	78.567	175.3820
4870.000000	78.499	175.0105
4940.000000	78.403	174.5369
5000.000000	78.317	174.1615
5080.000000	78.199	173.6992
5150.000000	78.092	173.3280
5220.000000	77.981	172.9870
5300.000000	77.848	172.6446
5380.000000	77.710	172.3632
5450.000000	77.587	172.1787
5520.000000	77.462	172.0578
5600.000000	77.321	171.9995
5700.000000	77.148	172.0374
5800.000000	76.977	172.1894
5900.000000	76.813	172.4684
6000.000000	76.662	172.8821
6080.000000	76.553	173.2978
6150.000000	76.468	173.6960
6220.000000	76.392	174.1154
6300.000000	76.314	174.6340
6400.000000	76.234	175.3641
6500.000000	76.180	176.1753
6600.000000	76.163	177.0244
6700.000000	76.186	177.8542
6800.000000	76.247	178.6152
6900.000000	76.343	179.2679
7000.000000	76.475	179.7744
7100.000000	76.645	-179.8910
7200.000000	76.856	-179.7842
7300.000000	77.108	179.9953
7400.000000	77.393	179.3410
7500.000000	77.699	178.1547
7620.000000	78.068	175.8920
7750.000000	78.421	172.2501
7880.000000	78.646	167.3586
8000.000000	78.666	162.0140
8120.000000	78.458	156.3550
8250.000000	77.969	150.5748
8380.000000	77.246	145.8942
8500.000000	76.444	142.9211
8620.000000	75.592	141.2984
8750.000000	74.684	140.9041
8850.000000	74.031	141.4121
9000.000000	73.175	143.2235
9120.000000	72.637	145.1242
9250.000000	72.172	147.0275
9380.000000	71.760	148.7433
9500.000000	71.415	150.2471
9620.000000	71.094	151.6409
9750.000000	70.754	153.0148
9880.000000	70.405	154.2940
10000.000000	70.065	155.4580
10150.000000	69.612	156.9949
10300.000000	69.130	158.7755
10440.000000	68.665	160.8066
10600.000000	68.140	163.5869
10750.000000	67.680	166.4470
10900.000000	67.259	169.3345
11060.000000	66.808	172.8054
11200.000000	66.422	176.3600
11380.000000	65.980	-178.5922
11500.000000	65.733	-175.0260
11720.000000	65.391	-168.2047
11800.000000	65.303	-165.6666
12060.000000	65.166	-157.3973
12200.000000	65.188	-153.0218
12410.000000	65.331	-146.6586
12500.000000	65.432	-144.0107
12650.000000	65.652	-139.7032
12800.000000	65.943	-135.5503
13150.000000	66.910	-126.6550
13200.000000	67.084	-125.4987
13400.000000	67.878	-121.2583
13600.000000	68.856	-117.7857
13800.000000	70.043	-115.3688
14000.000000	71.460	-114.4991
14300.000000	73.930	-117.8873
14500.000000	75.580	-124.8573
14750.000000	77.110	-140.0397
15000.000000	77.536	-159.5941
15250.000000	76.844	-177.2045
15500.000000	75.552	170.5016
15750.000000	74.188	162.3676
16000.000000	72.945	156.2023
16250.000000	71.765	150.7378
16500.000000	70.530	145.7105
16750.000000	69.156	141.2358
17000.000000	67.566	137.9482
17250.000000	65.781	136.6480
17500.000000	63.892	137.6135
17750.000000	61.990	140.7163
18000.000000	60.148	145.6489
18250.000000	58.405	152.0837
18500.000000	56.778	159.6891
18750.000000	55.261	168.1762
19000.000000	53.833	177.3447
19250.000000	52.439	-172.8040
19500.000000	51.037	-162.1529
19750.000000	49.726	-151.7808
