* Measurement data measured by REW V5.20.13
* Source: Headset (KM-HIFI-384KHZ), MICROPHONE (Master Volume), R, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -13.0 dBFS with no timing reference
* Dated: Aug 6, 2023 11:51:08 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	78.242	-158.0938
20.299999	78.228	-158.7296
20.600000	78.216	-159.3814
20.900000	78.201	-160.0328
21.200001	78.183	-160.6521
21.400000	78.172	-161.0385
21.799999	78.160	-161.7719
22.000000	78.160	-162.1407
22.400000	78.170	-162.9428
22.700001	78.178	-163.6287
23.000000	78.178	-164.3759
23.299999	78.163	-165.1324
23.600000	78.136	-165.8435
24.000000	78.089	-166.6556
24.299999	78.057	-167.1559
24.700001	78.026	-167.7328
25.000000	78.013	-168.1573
25.400000	78.002	-168.7656
25.799999	77.986	-169.4104
26.200001	77.959	-170.0237
26.500000	77.936	-170.4284
26.900000	77.910	-170.8990
27.200001	77.898	-171.2390
27.600000	77.889	-171.7411
28.000000	77.877	-172.3395
28.500000	77.838	-173.1663
29.000000	77.769	-173.9126
29.500000	77.688	-174.4584
30.000000	77.619	-174.8252
30.400000	77.582	-175.0684
30.700001	77.565	-175.2601
31.100000	77.552	-175.5610
31.500000	77.547	-175.9302
32.000000	77.540	-176.4893
32.500000	77.526	-177.1182
33.000000	77.500	-177.7350
33.500000	77.469	-178.2736
34.000000	77.444	-178.7374
34.500000	77.428	-179.1926
35.000000	77.415	-179.6878
35.500000	77.395	179.7929
36.000000	77.363	179.3055
36.500000	77.326	178.8821
37.000000	77.289	178.5089
37.500000	77.254	178.1537
38.200001	77.204	177.6548
38.700001	77.165	177.2993
39.500000	77.100	176.7449
40.000000	77.059	176.4059
40.599998	77.012	176.0016
41.200001	76.967	175.5964
41.799999	76.923	175.1896
42.500000	76.873	174.7215
43.099998	76.830	174.3421
43.700001	76.789	173.9918
44.400002	76.744	173.6070
45.000000	76.705	173.2855
45.500000	76.671	173.0300
46.200001	76.621	172.7060
46.799999	76.580	172.4522
47.500000	76.532	172.1580
48.200001	76.483	171.8630
48.700001	76.447	171.6573
49.400002	76.398	171.3720
50.000000	76.357	171.1214
50.799999	76.302	170.7875
51.500000	76.253	170.5155
52.200001	76.205	170.2671
53.000000	76.154	170.0018
53.799999	76.104	169.7512
54.500000	76.061	169.5428
55.200001	76.017	169.3413
56.000000	75.965	169.1265
57.000000	75.902	168.8872
58.000000	75.844	168.6261
59.000000	75.782	168.3321
60.000000	75.716	168.0631
60.799999	75.665	167.8718
61.500000	75.622	167.7178
62.200001	75.580	167.5749
63.000000	75.535	167.4185
64.000000	75.478	167.2263
65.000000	75.422	167.0426
66.000000	75.365	166.8689
67.000000	75.308	166.7025
68.000000	75.251	166.5456
69.000000	75.195	166.4015
70.000000	75.140	166.2679
71.000000	75.085	166.1432
72.000000	75.031	166.0286
73.000000	74.977	165.9213
74.000000	74.924	165.8168
75.000000	74.870	165.7169
76.199997	74.807	165.6047
77.500000	74.739	165.4928
78.800003	74.673	165.3955
80.000000	74.614	165.3135
81.199997	74.556	165.2361
82.500000	74.492	165.1601
83.800003	74.427	165.0941
85.000000	74.368	165.0372
86.199997	74.308	164.9834
87.500000	74.242	164.9323
88.500000	74.192	164.9006
90.000000	74.118	164.8698
91.199997	74.060	164.8544
92.500000	73.998	164.8389
93.800003	73.933	164.8257
95.000000	73.873	164.8169
96.199997	73.812	164.8098
97.500000	73.745	164.8078
98.800003	73.677	164.8170
100.000000	73.613	164.8369
101.500000	73.531	164.8817
103.000000	73.445	164.9413
104.400002	73.362	165.0041
106.000000	73.261	165.0950
107.500000	73.162	165.2123
109.000000	73.056	165.3753
110.599998	72.932	165.6145
112.000000	72.812	165.8874
113.800003	72.639	166.3629
115.000000	72.512	166.8064
117.199997	72.265	168.0734
118.000000	72.175	168.7443
120.599998	71.930	172.0415
122.000000	71.906	174.6591
124.099998	72.186	178.8262
125.000000	72.426	-179.7672
126.500000	72.911	-178.4923
128.000000	73.385	-178.7121
131.500000	74.003	177.5240
132.000000	74.035	176.9244
134.000000	74.072	174.8107
136.000000	74.024	173.2354
138.000000	73.944	172.1212
140.000000	73.855	171.3416
143.000000	73.724	170.5718
145.000000	73.644	170.2299
147.500000	73.550	169.9306
150.000000	73.464	169.7408
152.500000	73.384	169.6295
155.000000	73.309	169.5766
157.500000	73.239	169.5683
160.000000	73.173	169.5881
162.500000	73.111	169.6306
165.000000	73.055	169.6910
167.500000	73.002	169.7661
170.000000	72.949	169.8538
172.500000	72.900	169.9535
175.000000	72.854	170.0609
177.500000	72.810	170.1715
180.000000	72.768	170.2859
182.500000	72.727	170.4091
185.000000	72.688	170.5427
187.500000	72.651	170.6815
190.000000	72.614	170.8185
192.500000	72.578	170.9518
195.000000	72.545	171.0832
197.500000	72.512	171.2194
200.000000	72.481	171.3649
203.000000	72.444	171.5468
206.000000	72.409	171.7314
209.000000	72.375	171.9155
212.000000	72.342	172.0974
214.000000	72.320	172.2182
218.000000	72.277	172.4598
220.000000	72.257	172.5825
224.000000	72.217	172.8376
