* Measurement data measured by REW V5.30
* Source: EXCL: Abigail Mic (2- KM-HIFI-384KHZ), MICROPHONE (Master Volume), 0, volume: 1.000
* Format: 256k Log Swept Sine, 1 sweep at -24.0 dBFS with no timing reference
* Dated: Feb 4, 2024 6:53:13 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Nightjar Singularity (H) L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.299999 108.138 178.3018
20.600000 108.117 177.8006
20.900000 108.088 177.2425
21.200001 108.058 176.6834
21.400000 108.038 176.3110
21.799999 108.002 175.5667
22.000000 107.984 175.1968
22.400000 107.951 174.4706
22.700001 107.925 173.9440
23.000000 107.900 173.4361
23.299999 107.873 172.9461
23.600000 107.846 172.4704
24.000000 107.808 171.8510
24.299999 107.779 171.3928
24.700001 107.739 170.7862
25.000000 107.709 170.3344
25.400000 107.670 169.7377
25.799999 107.632 169.1516
26.200001 107.594 168.5810
26.500000 107.565 168.1655
26.900000 107.526 167.6288
27.200001 107.497 167.2378
27.600000 107.457 166.7273
28.000000 107.417 166.2235
28.500000 107.366 165.5986
29.000000 107.315 164.9828
29.500000 107.265 164.3851
30.000000 107.214 163.8118
30.400000 107.173 163.3707
30.700001 107.143 163.0488
31.100000 107.101 162.6293
31.500000 107.060 162.2179
32.000000 107.008 161.7106
32.500000 106.956 161.2068
33.000000 106.905 160.7065
33.500000 106.854 160.2136
34.000000 106.803 159.7334
34.500000 106.753 159.2685
35.000000 106.702 158.8185
35.500000 106.650 158.3811
36.000000 106.599 157.9515
36.500000 106.548 157.5254
37.000000 106.496 157.1020
37.500000 106.443 156.6862
38.200001 106.371 156.1288
38.700001 106.321 155.7498
39.500000 106.243 155.1638
40.000000 106.194 154.8061
40.599998 106.134 154.3876
41.200001 106.073 153.9808
41.799999 106.013 153.5790
42.500000 105.941 153.1120
43.099998 105.880 152.7204
43.700001 105.819 152.3441
44.400002 105.751 151.9205
45.000000 105.694 151.5678
45.500000 105.646 151.2842
46.200001 105.577 150.9021
46.799999 105.517 150.5755
47.500000 105.447 150.1873
48.200001 105.382 149.8038
48.700001 105.341 149.5345
49.400002 105.287 149.1540
50.000000 105.235 148.8356
50.799999 105.152 148.4675
51.500000 105.077 148.1905
52.200001 105.005 147.9002
53.000000 104.929 147.5361
53.799999 104.855 147.1809
54.500000 104.792 146.8915
55.200001 104.728 146.6131
56.000000 104.654 146.3008
57.000000 104.563 145.9210
58.000000 104.473 145.5512
59.000000 104.383 145.1702
60.000000 104.292 144.8129
60.799999 104.224 144.5676
61.500000 104.166 144.3628
62.200001 104.106 144.1557
63.000000 104.036 143.9187
64.000000 103.950 143.6214
65.000000 103.866 143.3305
66.000000 103.782 143.0580
67.000000 103.699 142.7951
68.000000 103.616 142.5395
69.000000 103.535 142.2925
70.000000 103.454 142.0536
71.000000 103.373 141.8292
72.000000 103.293 141.6160
73.000000 103.214 141.4074
74.000000 103.134 141.2053
75.000000 103.056 141.0078
76.199997 102.962 140.7802
77.500000 102.861 140.5498
78.800003 102.763 140.3303
80.000000 102.674 140.1501
81.199997 102.586 139.9984
82.500000 102.493 139.8360
83.800003 102.403 139.6564
85.000000 102.322 139.4868
86.199997 102.242 139.3203
87.500000 102.154 139.1476
88.500000 102.084 139.0210
90.000000 101.981 138.8392
91.199997 101.899 138.7125
92.500000 101.813 138.5888
93.800003 101.728 138.4621
95.000000 101.648 138.3480
96.199997 101.568 138.2403
97.500000 101.483 138.1358
98.800003 101.398 138.0513
100.000000 101.323 137.9801
101.500000 101.231 137.8677
103.000000 101.139 137.7621
104.400002 101.054 137.6826
106.000000 100.956 137.6134
107.500000 100.865 137.5633
109.000000 100.775 137.5239
110.599998 100.683 137.4821
112.000000 100.602 137.4413
113.800003 100.500 137.4129
115.000000 100.434 137.3969
117.199997 100.317 137.3651
118.000000 100.275 137.3615
120.599998 100.132 137.3383
122.000000 100.059 137.3053
124.099998 99.950 137.2718
125.000000 99.902 137.2655
126.500000 99.823 137.2629
128.000000 99.745 137.2634
131.500000 99.564 137.3197
132.000000 99.538 137.3390
134.000000 99.434 137.4126
136.000000 99.333 137.4976
138.000000 99.232 137.6030
140.000000 99.133 137.7298
143.000000 98.998 137.9945
145.000000 98.919 138.1878
147.500000 98.839 138.3669
150.000000 98.767 138.4354
152.500000 98.688 138.4238
155.000000 98.598 138.3801
157.500000 98.500 138.3706
160.000000 98.399 138.3826
162.500000 98.299 138.3905
165.000000 98.197 138.4622
167.500000 98.094 138.5621
170.000000 97.996 138.6445
172.500000 97.900 138.7804
175.000000 97.806 138.9198
177.500000 97.718 139.0600
180.000000 97.631 139.2149
182.500000 97.539 139.3488
185.000000 97.449 139.4774
187.500000 97.360 139.6289
190.000000 97.273 139.7981
192.500000 97.190 139.9619
195.000000 97.109 140.1178
197.500000 97.027 140.2814
200.000000 96.945 140.4523
203.000000 96.848 140.6876
206.000000 96.756 140.9360
209.000000 96.665 141.1839
212.000000 96.575 141.4424
214.000000 96.517 141.6230
218.000000 96.406 141.9963
220.000000 96.353 142.1754
224.000000 96.251 142.4897
227.000000 96.175 142.7115
230.000000 96.098 142.9390
233.000000 96.019 143.1783
236.000000 95.937 143.4368
240.000000 95.833 143.7946
243.000000 95.760 144.0145
247.000000 95.665 144.3427
250.000000 95.595 144.6192
254.000000 95.501 144.9958
258.000000 95.409 145.3721
262.000000 95.319 145.7565
265.000000 95.252 146.0521
269.000000 95.166 146.4564
272.000000 95.104 146.7710
276.000000 95.025 147.1971
280.000000 94.951 147.6219
285.000000 94.862 148.1437
290.000000 94.779 148.6544
295.000000 94.700 149.1588
300.000000 94.624 149.6478
304.000000 94.561 149.9995
307.000000 94.515 150.2561
311.000000 94.455 150.6038
315.000000 94.394 150.9502
320.000000 94.318 151.3932
325.000000 94.242 151.8363
330.000000 94.165 152.2930
335.000000 94.091 152.7612
340.000000 94.019 153.2355
345.000000 93.950 153.7247
350.000000 93.882 154.2238
355.000000 93.817 154.7303
360.000000 93.753 155.2418
365.000000 93.694 155.7566
370.000000 93.639 156.2757
375.000000 93.586 156.8016
382.000000 93.520 157.5376
387.000000 93.478 158.0676
395.000000 93.417 158.8724
400.000000 93.382 159.3550
406.000000 93.343 159.9015
412.000000 93.307 160.4077
418.000000 93.270 160.8868
425.000000 93.226 161.4338
431.000000 93.188 161.8941
437.000000 93.149 162.3469
444.000000 93.101 162.8660
450.000000 93.060 163.3049
455.000000 93.025 163.6753
462.000000 92.977 164.2006
468.000000 92.935 164.6549
475.000000 92.888 165.1911
482.000000 92.841 165.7309
487.000000 92.809 166.1147
494.000000 92.763 166.6572
500.000000 92.725 167.1309
508.000000 92.676 167.7648
515.000000 92.635 168.3234
522.000000 92.595 168.8865
530.000000 92.551 169.5350
538.000000 92.510 170.1928
545.000000 92.476 170.7582
552.000000 92.443 171.3148
560.000000 92.407 171.9582
570.000000 92.363 172.7700
580.000000 92.323 173.5852
590.000000 92.285 174.4039
600.000000 92.251 175.2200
608.000000 92.225 175.8793
615.000000 92.204 176.4572
622.000000 92.183 177.0364
630.000000 92.161 177.6991
640.000000 92.136 178.5321
650.000000 92.114 179.3708
660.000000 92.095 -179.7934
670.000000 92.078 -178.9536
680.000000 92.065 -178.1104
690.000000 92.055 -177.2651
700.000000 92.047 -176.4174
710.000000 92.042 -175.5640
720.000000 92.040 -174.7069
730.000000 92.042 -173.8535
740.000000 92.047 -172.9991
750.000000 92.056 -172.1438
762.000000 92.071 -171.1157
775.000000 92.092 -170.0011
788.000000 92.119 -168.8929
800.000000 92.150 -167.8679
812.000000 92.186 -166.8480
825.000000 92.233 -165.7528
838.000000 92.286 -164.6653
850.000000 92.341 -163.6741
862.000000 92.401 -162.6952
875.000000 92.473 -161.6528
885.000000 92.534 -160.8660
900.000000 92.634 -159.7151
912.000000 92.719 -158.8227
925.000000 92.817 -157.8915
938.000000 92.921 -157.0013
950.000000 93.023 -156.2158
962.000000 93.129 -155.4655
975.000000 93.249 -154.6978
988.000000 93.372 -153.9816
1000.000000 93.489 -153.3689
1015.000000 93.638 -152.6716
1030.000000 93.789 -152.0440
1044.000000 93.931 -151.5221
1060.000000 94.092 -151.0052
1075.000000 94.241 -150.5920
1090.000000 94.387 -150.2389
1106.000000 94.539 -149.9232
1120.000000 94.667 -149.6939
1138.000000 94.826 -149.4585
1150.000000 94.929 -149.3303
1172.000000 95.107 -149.1449
1180.000000 95.169 -149.0919
1206.000000 95.362 -148.9565
1220.000000 95.459 -148.8997
1241.000000 95.598 -148.8296
1250.000000 95.655 -148.8029
1265.000000 95.747 -148.7625
1280.000000 95.836 -148.7267
1315.000000 96.032 -148.6378
1320.000000 96.059 -148.6241
1340.000000 96.164 -148.5662
1360.000000 96.267 -148.5035
1380.000000 96.367 -148.4345
1400.000000 96.465 -148.3593
1430.000000 96.610 -148.2371
1450.000000 96.705 -148.1531
1475.000000 96.824 -148.0455
1500.000000 96.943 -147.9349
1525.000000 97.062 -147.8226
1550.000000 97.181 -147.7137
1575.000000 97.302 -147.6111
1600.000000 97.423 -147.5137
1625.000000 97.546 -147.4276
1650.000000 97.671 -147.3524
1675.000000 97.797 -147.2894
1700.000000 97.925 -147.2421
1725.000000 98.054 -147.2130
1750.000000 98.186 -147.2060
1775.000000 98.319 -147.2274
1800.000000 98.452 -147.2766
1825.000000 98.585 -147.3510
1850.000000 98.719 -147.4514
1875.000000 98.853 -147.5783
1900.000000 98.987 -147.7332
1925.000000 99.120 -147.9152
1950.000000 99.256 -148.1187
1975.000000 99.395 -148.3674
2000.000000 99.534 -148.6629
2030.000000 99.698 -149.0398
2060.000000 99.854 -149.4487
2090.000000 100.006 -149.9148
2120.000000 100.155 -150.4286
2140.000000 100.252 -150.7968
2180.000000 100.440 -151.5935
2200.000000 100.531 -152.0213
2240.000000 100.706 -152.9326
2270.000000 100.830 -153.6622
2300.000000 100.947 -154.4290
2330.000000 101.057 -155.2303
2360.000000 101.160 -156.0616
2400.000000 101.285 -157.2115
2430.000000 101.369 -158.1002
2470.000000 101.467 -159.3119
2500.000000 101.531 -160.2348
2540.000000 101.601 -161.4750
2580.000000 101.656 -162.7184
2620.000000 101.695 -163.9518
2650.000000 101.714 -164.8632
2690.000000 101.726 -166.0527
2720.000000 101.726 -166.9186
2760.000000 101.712 -168.0281
2800.000000 101.685 -169.0716
2850.000000 101.636 -170.2551
2900.000000 101.574 -171.2767
2950.000000 101.511 -172.1184
3000.000000 101.460 -172.8071
3040.000000 101.434 -173.3189
3070.000000 101.421 -173.7207
3110.000000 101.407 -174.3105
3150.000000 101.388 -174.9543
3200.000000 101.350 -175.7805
3250.000000 101.299 -176.5643
3300.000000 101.239 -177.2689
3350.000000 101.177 -177.8965
3400.000000 101.117 -178.4676
3450.000000 101.058 -179.0068
3500.000000 101.000 -179.5282
3550.000000 100.938 179.9708
3600.000000 100.874 179.5040
3650.000000 100.807 179.0841
3700.000000 100.740 178.7169
3750.000000 100.675 178.4001
3820.000000 100.591 178.0269
3870.000000 100.538 177.7903
3950.000000 100.463 177.4062
4000.000000 100.416 177.1643
4060.000000 100.360 176.9454
4120.000000 100.326 176.8366
4180.000000 100.330 176.6053
4250.000000 100.331 175.9359
4310.000000 100.298 175.2623
4370.000000 100.248 174.6470
4440.000000 100.186 173.9789
4500.000000 100.133 173.3993
4550.000000 100.087 172.8906
4620.000000 100.017 172.1301
4680.000000 99.948 171.4379
4750.000000 99.852 170.6034
4820.000000 99.738 169.7715
4870.000000 99.646 169.1988
4940.000000 99.502 168.4526
5000.000000 99.365 167.8859
5080.000000 99.169 167.2482
5150.000000 98.995 166.7697
5220.000000 98.819 166.3683
5300.000000 98.612 166.0060
5380.000000 98.398 165.7575
5450.000000 98.205 165.6498
5520.000000 98.009 165.6589
5600.000000 97.785 165.8295
5700.000000 97.515 166.2793
5800.000000 97.265 166.9528
5900.000000 97.040 167.8043
6000.000000 96.840 168.7973
6080.000000 96.699 169.6818
6150.000000 96.590 170.5205
6220.000000 96.497 171.4160
