* Measurement data measured by REW V5.30
* Source: EXCL: Abigail Mic (2- KM-HIFI-384KHZ), MICROPHONE (Master Volume), 0, volume: 1.000
* Format: 256k Log Swept Sine, 1 sweep at -24.0 dBFS with no timing reference
* Dated: Feb 4, 2024 6:52:02 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Nightjar Singularity (H) R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.299999 108.254 -178.4484
20.600000 108.237 -178.9615
20.900000 108.213 -179.5329
21.200001 108.189 179.8933
21.400000 108.173 179.5100
21.799999 108.142 178.7413
22.000000 108.127 178.3585
22.400000 108.098 177.6064
22.700001 108.075 177.0617
23.000000 108.053 176.5367
23.299999 108.031 176.0299
23.600000 108.008 175.5367
24.000000 107.976 174.8919
24.299999 107.952 174.4137
24.700001 107.918 173.7822
25.000000 107.891 173.3152
25.400000 107.856 172.7050
25.799999 107.821 172.1109
26.200001 107.786 171.5321
26.500000 107.761 171.1068
26.900000 107.726 170.5499
27.200001 107.700 170.1398
27.600000 107.664 169.6042
28.000000 107.627 169.0832
28.500000 107.581 168.4529
29.000000 107.536 167.8395
29.500000 107.492 167.2315
30.000000 107.447 166.6243
30.400000 107.410 166.1473
30.700001 107.381 165.8019
31.100000 107.343 165.3635
31.500000 107.308 164.9476
32.000000 107.267 164.4386
32.500000 107.229 163.9149
33.000000 107.187 163.3722
33.500000 107.137 162.8344
34.000000 107.082 162.3274
34.500000 107.028 161.8531
35.000000 106.978 161.3930
35.500000 106.931 160.9318
36.000000 106.885 160.4723
36.500000 106.838 160.0273
37.000000 106.791 159.6019
37.500000 106.745 159.1891
38.200001 106.680 158.6130
38.700001 106.633 158.2009
39.500000 106.556 157.5588
40.000000 106.509 157.1750
40.599998 106.454 156.7284
41.200001 106.399 156.2912
41.799999 106.344 155.8631
42.500000 106.277 155.3769
43.099998 106.219 154.9718
43.700001 106.161 154.5818
44.400002 106.099 154.1516
45.000000 106.051 153.7939
45.500000 106.011 153.4914
46.200001 105.949 153.0616
46.799999 105.889 152.7023
47.500000 105.816 152.2924
48.200001 105.750 151.8617
48.700001 105.706 151.5381
49.400002 105.646 151.1017
50.000000 105.591 150.7817
50.799999 105.514 150.4354
51.500000 105.447 150.1558
52.200001 105.383 149.8430
53.000000 105.315 149.4326
53.799999 105.246 149.0275
54.500000 105.185 148.7222
55.200001 105.127 148.4364
56.000000 105.059 148.0930
57.000000 104.969 147.6864
58.000000 104.885 147.2958
59.000000 104.795 146.8662
60.000000 104.704 146.5066
60.799999 104.643 146.2339
61.500000 104.590 145.9673
62.200001 104.531 145.7144
63.000000 104.463 145.4718
64.000000 104.385 145.1573
65.000000 104.303 144.8173
66.000000 104.219 144.5261
67.000000 104.141 144.2411
68.000000 104.065 143.9303
69.000000 103.986 143.6456
70.000000 103.908 143.3898
71.000000 103.829 143.1234
72.000000 103.749 142.8636
73.000000 103.670 142.6506
74.000000 103.601 142.4337
75.000000 103.530 142.1447
76.199997 103.426 141.8393
77.500000 103.324 141.7159
78.800003 103.255 141.4607
80.000000 103.164 141.0259
81.199997 103.047 140.8594
82.500000 102.969 140.8468
83.800003 102.899 140.4658
85.000000 102.791 140.1665
86.199997 102.700 140.1487
87.500000 102.633 140.0150
88.500000 102.574 139.7840
90.000000 102.467 139.4656
91.199997 102.377 139.2859
92.500000 102.280 139.1573
93.800003 102.192 139.0473
95.000000 102.114 138.9387
96.199997 102.038 138.8204
97.500000 101.955 138.6864
98.800003 101.873 138.5732
100.000000 101.799 138.4766
101.500000 101.703 138.3315
103.000000 101.608 138.1803
104.400002 101.522 138.0394
106.000000 101.422 137.8706
107.500000 101.327 137.7287
109.000000 101.238 137.5992
110.599998 101.147 137.4779
112.000000 101.069 137.4006
113.800003 100.976 137.3969
115.000000 100.913 137.4228
117.199997 100.770 137.6046
118.000000 100.712 137.6953
120.599998 100.482 137.8552
122.000000 100.370 137.7685
124.099998 100.243 137.8560
125.000000 100.209 138.1111
126.500000 100.176 138.6077
128.000000 100.129 138.6838
131.500000 100.075 138.4946
132.000000 100.094 138.4796
134.000000 100.067 138.5492
136.000000 99.949 138.7663
138.000000 99.900 138.5080
140.000000 99.831 137.9529
143.000000 99.613 137.8075
145.000000 99.559 137.9341
147.500000 99.542 137.5255
150.000000 99.321 136.9080
152.500000 99.146 137.4667
155.000000 99.155 138.2720
157.500000 99.129 137.9481
160.000000 99.027 137.3560
162.500000 98.848 136.9595
165.000000 98.667 137.0098
167.500000 98.516 137.4048
170.000000 98.398 137.7148
172.500000 98.318 137.9546
175.000000 98.231 138.0317
177.500000 98.131 138.1347
180.000000 98.058 138.1424
182.500000 97.997 138.1171
185.000000 97.930 138.2088
187.500000 97.849 138.4922
190.000000 97.782 138.8875
192.500000 97.708 139.1368
195.000000 97.618 139.2062
197.500000 97.538 139.2025
200.000000 97.472 139.3013
203.000000 97.375 139.5476
206.000000 97.250 139.6284
209.000000 97.158 139.7662
212.000000 97.081 140.2325
214.000000 97.024 140.4207
218.000000 96.947 140.5822
220.000000 96.889 140.8136
224.000000 96.726 140.9696
227.000000 96.623 141.4930
230.000000 96.544 141.7731
233.000000 96.514 141.8775
236.000000 96.461 142.1080
240.000000 96.314 142.4058
243.000000 96.201 142.3900
247.000000 96.116 142.4227
250.000000 96.073 142.6712
254.000000 96.001 143.0666
258.000000 95.912 143.4674
262.000000 95.822 143.7678
265.000000 95.756 143.9705
269.000000 95.673 144.2752
272.000000 95.610 144.5495
276.000000 95.525 144.8509
280.000000 95.443 145.1935
285.000000 95.338 145.6098
290.000000 95.241 146.0235
295.000000 95.148 146.4323
300.000000 95.048 146.8403
304.000000 94.980 147.2234
307.000000 94.931 147.4771
311.000000 94.860 147.7735
315.000000 94.786 148.1122
320.000000 94.697 148.5893
325.000000 94.618 149.0722
330.000000 94.542 149.5064
335.000000 94.465 149.9503
340.000000 94.390 150.3960
345.000000 94.315 150.8290
350.000000 94.243 151.2493
355.000000 94.176 151.6510
360.000000 94.114 152.0737
365.000000 94.054 152.5383
370.000000 93.991 153.0115
375.000000 93.929 153.4637
382.000000 93.846 154.0828
387.000000 93.790 154.5136
395.000000 93.705 155.1808
400.000000 93.654 155.6084
406.000000 93.594 156.0958
412.000000 93.535 156.5605
418.000000 93.474 157.0445
425.000000 93.404 157.6250
431.000000 93.348 158.1171
437.000000 93.290 158.5933
444.000000 93.217 159.1499
450.000000 93.160 159.6118
455.000000 93.120 159.9892
462.000000 93.066 160.5445
468.000000 93.015 161.0501
475.000000 92.950 161.6087
482.000000 92.890 162.1638
487.000000 92.854 162.5603
494.000000 92.807 163.1496
500.000000 92.763 163.6892
508.000000 92.697 164.4208
515.000000 92.631 164.9937
522.000000 92.588 165.6240
530.000000 92.546 166.2736
538.000000 92.487 166.9179
545.000000 92.435 167.5859
552.000000 92.399 168.2946
560.000000 92.364 169.0107
570.000000 92.314 169.8470
580.000000 92.262 170.6634
590.000000 92.220 171.4884
600.000000 92.186 172.3624
608.000000 92.155 173.0809
615.000000 92.125 173.7030
622.000000 92.099 174.3531
630.000000 92.079 175.1115
640.000000 92.060 176.0068
650.000000 92.031 176.8769
660.000000 92.002 177.6983
670.000000 91.985 178.5504
680.000000 91.970 179.4585
690.000000 91.957 -179.6490
700.000000 91.949 -178.7618
710.000000 91.943 -177.8694
720.000000 91.942 -176.9699
730.000000 91.944 -176.0685
740.000000 91.951 -175.1725
750.000000 91.961 -174.2815
762.000000 91.978 -173.2167
775.000000 92.004 -172.0513
788.000000 92.036 -170.8879
800.000000 92.073 -169.8314
812.000000 92.115 -168.7872
825.000000 92.168 -167.6751
838.000000 92.229 -166.5773
850.000000 92.291 -165.5856
862.000000 92.359 -164.6180
875.000000 92.440 -163.5957
885.000000 92.508 -162.8335
900.000000 92.616 -161.7297
912.000000 92.707 -160.8804
925.000000 92.811 -160.0032
938.000000 92.920 -159.1745
950.000000 93.024 -158.4545
962.000000 93.132 -157.7768
975.000000 93.251 -157.0883
988.000000 93.372 -156.4534
1000.000000 93.485 -155.9168
1015.000000 93.627 -155.3080
1030.000000 93.769 -154.7641
1044.000000 93.901 -154.3124
1060.000000 94.050 -153.8598
1075.000000 94.185 -153.4924
1090.000000 94.318 -153.1746
1106.000000 94.456 -152.8861
1120.000000 94.572 -152.6683
1138.000000 94.716 -152.4291
1150.000000 94.809 -152.2949
1172.000000 94.971 -152.0891
1180.000000 95.028 -152.0248
1206.000000 95.204 -151.8453
1220.000000 95.294 -151.7637
1241.000000 95.424 -151.6556
1250.000000 95.478 -151.6133
1265.000000 95.565 -151.5446
1280.000000 95.649 -151.4763
1315.000000 95.836 -151.3225
1320.000000 95.861 -151.3007
1340.000000 95.963 -151.2124
1360.000000 96.062 -151.1219
1380.000000 96.159 -151.0282
1400.000000 96.255 -150.9319
1430.000000 96.396 -150.7845
1450.000000 96.489 -150.6829
1475.000000 96.605 -150.5536
1500.000000 96.721 -150.4261
1525.000000 96.838 -150.3014
1550.000000 96.955 -150.1795
1575.000000 97.073 -150.0653
1600.000000 97.193 -149.9600
1625.000000 97.313 -149.8649
1650.000000 97.435 -149.7785
1675.000000 97.558 -149.7030
1700.000000 97.683 -149.6407
1725.000000 97.810 -149.5952
1750.000000 97.941 -149.5715
1775.000000 98.074 -149.5788
1800.000000 98.208 -149.6235
1825.000000 98.341 -149.7018
1850.000000 98.475 -149.8108
1875.000000 98.608 -149.9477
1900.000000 98.740 -150.1116
1925.000000 98.872 -150.3043
1950.000000 99.004 -150.5259
1975.000000 99.135 -150.7711
2000.000000 99.269 -151.0455
2030.000000 99.431 -151.4424
2060.000000 99.590 -151.8820
2090.000000 99.742 -152.3447
2120.000000 99.888 -152.8623
2140.000000 99.983 -153.2345
2180.000000 100.167 -154.0387
2200.000000 100.255 -154.4701
2240.000000 100.425 -155.3858
2270.000000 100.546 -156.1181
2300.000000 100.660 -156.8856
2330.000000 100.768 -157.6851
2360.000000 100.868 -158.5177
2400.000000 100.989 -159.6716
2430.000000 101.071 -160.5640
2470.000000 101.166 -161.7825
2500.000000 101.226 -162.7098
2540.000000 101.293 -163.9556
2580.000000 101.344 -165.2026
2620.000000 101.380 -166.4386
2650.000000 101.396 -167.3529
2690.000000 101.405 -168.5454
2720.000000 101.402 -169.4144
2760.000000 101.386 -170.5307
2800.000000 101.357 -171.5861
2850.000000 101.305 -172.7994
2900.000000 101.239 -173.8674
2950.000000 101.166 -174.7650
3000.000000 101.098 -175.4899
3040.000000 101.054 -175.9850
3070.000000 101.029 -176.3407
3110.000000 101.004 -176.8243
3150.000000 100.985 -177.3514
3200.000000 100.958 -178.0865
3250.000000 100.920 -178.8519
3300.000000 100.869 -179.5898
3350.000000 100.810 179.7268
3400.000000 100.748 179.0986
3450.000000 100.685 178.5125
3500.000000 100.619 177.9632
3550.000000 100.550 177.4535
3600.000000 100.480 176.9907
3650.000000 100.410 176.5785
3700.000000 100.342 176.2072
3750.000000 100.277 175.8630
3820.000000 100.185 175.4096
3870.000000 100.118 175.1133
3950.000000 100.001 174.7852
4000.000000 99.937 174.7828
4060.000000 99.910 174.9261
4120.000000 99.942 174.7697
4180.000000 99.965 174.1703
4250.000000 99.943 173.2882
4310.000000 99.897 172.5643
4370.000000 99.839 171.8950
4440.000000 99.767 171.1525
4500.000000 99.704 170.5142
4550.000000 99.649 169.9640
4620.000000 99.565 169.1565
4680.000000 99.484 168.4310
4750.000000 99.373 167.5617
4820.000000 99.240 166.7069
4870.000000 99.134 166.1114
4940.000000 98.976 165.3211
5000.000000 98.830 164.7107
5080.000000 98.621 164.0151
5150.000000 98.430 163.5229
5220.000000 98.233 163.1332
5300.000000 98.003 162.8080
5380.000000 97.768 162.6118
5450.000000 97.560 162.5524
5520.000000 97.349 162.6059
5600.000000 97.108 162.8220
5700.000000 96.814 163.3401
5800.000000 96.540 164.1097
5900.000000 96.292 165.0870
6000.000000 96.074 166.2315
6080.000000 95.922 167.2402
6150.000000 95.806 168.1801
6220.000000 95.705 169.1732
6300.000000 95.610 170.3742
