* Measurement data measured by REW V5.30
* Source: EXCL: Abigail Mic (2- KM-HIFI-384KHZ), MICROPHONE (Master Volume), 0, volume: 1.000
* Format: 256k Log Swept Sine, 1 sweep at -24.0 dBFS with no timing reference
* Dated: Feb 4, 2024 7:03:26 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Nightjar Singularity (R) L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.299999 108.380 173.9095
20.600000 108.351 173.3988
20.900000 108.314 172.8313
21.200001 108.275 172.2634
21.400000 108.250 171.8850
21.799999 108.202 171.1273
22.000000 108.179 170.7496
22.400000 108.133 170.0051
22.700001 108.099 169.4635
23.000000 108.065 168.9405
23.299999 108.029 168.4366
23.600000 107.993 167.9488
24.000000 107.945 167.3162
24.299999 107.908 166.8498
24.700001 107.858 166.2344
25.000000 107.821 165.7779
25.400000 107.771 165.1795
25.799999 107.721 164.5983
26.200001 107.672 164.0375
26.500000 107.635 163.6298
26.900000 107.587 163.0997
27.200001 107.550 162.7094
27.600000 107.501 162.1961
28.000000 107.450 161.6913
28.500000 107.386 161.0757
29.000000 107.323 160.4787
29.500000 107.261 159.8959
30.000000 107.201 159.3229
30.400000 107.152 158.8727
30.700001 107.115 158.5419
31.100000 107.065 158.1116
31.500000 107.015 157.6935
32.000000 106.952 157.1855
32.500000 106.890 156.6923
33.000000 106.828 156.2126
33.500000 106.767 155.7426
34.000000 106.706 155.2782
34.500000 106.645 154.8220
35.000000 106.584 154.3815
35.500000 106.524 153.9573
36.000000 106.464 153.5411
36.500000 106.403 153.1320
37.000000 106.340 152.7455
37.500000 106.278 152.3916
38.200001 106.202 151.9013
38.700001 106.150 151.5068
39.500000 106.052 150.8514
40.000000 105.984 150.5156
40.599998 105.911 150.1860
41.200001 105.849 149.8258
41.799999 105.783 149.3928
42.500000 105.693 148.9209
43.099998 105.623 148.6103
43.700001 105.566 148.3099
44.400002 105.501 147.9037
45.000000 105.432 147.5761
45.500000 105.372 147.3464
46.200001 105.298 146.9955
46.799999 105.234 146.5925
47.500000 105.145 146.1013
48.200001 105.051 145.7753
48.700001 104.995 145.6529
49.400002 104.936 145.4983
50.000000 104.889 145.2752
50.799999 104.811 144.8533
51.500000 104.728 144.4682
52.200001 104.645 144.1280
53.000000 104.556 143.7973
53.799999 104.473 143.5138
54.500000 104.403 143.2801
55.200001 104.334 143.0371
56.000000 104.255 142.7491
57.000000 104.153 142.4004
58.000000 104.050 142.0951
59.000000 103.955 141.8324
60.000000 103.866 141.5678
60.799999 103.792 141.3695
61.500000 103.727 141.2063
62.200001 103.664 141.0285
63.000000 103.592 140.7992
64.000000 103.502 140.5116
65.000000 103.410 140.2462
66.000000 103.317 140.0027
67.000000 103.224 139.7815
68.000000 103.132 139.5797
69.000000 103.042 139.3906
70.000000 102.953 139.2034
71.000000 102.866 139.0148
72.000000 102.781 138.8268
73.000000 102.697 138.6438
74.000000 102.615 138.4765
75.000000 102.534 138.3242
76.199997 102.440 138.1512
77.500000 102.338 137.9694
78.800003 102.239 137.7798
80.000000 102.149 137.5963
81.199997 102.066 137.4271
82.500000 101.985 137.3158
83.800003 101.898 137.2869
85.000000 101.802 137.2627
86.199997 101.695 137.1607
87.500000 101.587 136.9598
88.500000 101.519 136.8142
90.000000 101.427 136.7595
91.199997 101.333 136.8106
92.500000 101.209 136.6920
93.800003 101.113 136.3267
95.000000 101.069 136.1475
96.199997 101.013 136.2858
97.500000 100.909 136.3995
98.800003 100.809 136.2617
100.000000 100.734 136.1668
101.500000 100.634 136.0737
103.000000 100.553 136.0144
104.400002 100.464 136.1544
106.000000 100.341 136.0331
107.500000 100.271 135.9081
109.000000 100.183 136.0603
110.599998 100.072 135.9886
112.000000 99.999 135.9250
113.800003 99.892 135.9651
115.000000 99.820 135.9391
117.199997 99.694 135.9676
118.000000 99.649 135.9719
120.599998 99.506 136.0219
122.000000 99.420 136.0567
124.099998 99.297 136.1301
125.000000 99.243 136.1593
126.500000 99.159 136.1868
128.000000 99.079 136.2703
131.500000 98.873 136.5272
132.000000 98.842 136.5963
134.000000 98.719 136.8938
136.000000 98.615 137.2563
138.000000 98.539 137.7302
140.000000 98.503 138.2168
143.000000 98.474 138.4352
145.000000 98.443 138.2986
147.500000 98.367 138.0510
150.000000 98.265 137.8813
152.500000 98.157 137.8258
155.000000 98.045 137.8412
157.500000 97.937 137.8978
160.000000 97.832 137.9969
162.500000 97.729 138.1082
165.000000 97.627 138.2266
167.500000 97.526 138.3606
170.000000 97.426 138.5128
172.500000 97.333 138.6661
175.000000 97.243 138.8233
177.500000 97.152 139.0042
180.000000 97.060 139.1964
182.500000 96.968 139.4037
185.000000 96.878 139.6250
187.500000 96.789 139.8898
190.000000 96.707 140.1977
192.500000 96.636 140.5006
195.000000 96.576 140.7775
197.500000 96.519 140.9755
200.000000 96.460 141.0820
203.000000 96.392 141.2446
206.000000 96.317 141.4081
209.000000 96.234 141.5809
212.000000 96.149 141.7748
214.000000 96.094 141.9071
218.000000 95.985 142.2031
220.000000 95.932 142.3617
224.000000 95.824 142.6558
227.000000 95.746 142.8868
230.000000 95.669 143.1270
233.000000 95.595 143.3765
236.000000 95.522 143.6425
240.000000 95.426 144.0110
243.000000 95.357 144.2419
247.000000 95.266 144.5645
250.000000 95.200 144.8237
254.000000 95.111 145.1696
258.000000 95.024 145.5294
262.000000 94.940 145.9030
265.000000 94.880 146.1957
269.000000 94.806 146.5989
272.000000 94.754 146.8838
276.000000 94.685 147.2258
280.000000 94.617 147.5431
285.000000 94.531 147.9353
290.000000 94.444 148.3374
295.000000 94.356 148.7512
300.000000 94.271 149.1715
304.000000 94.208 149.4941
307.000000 94.161 149.7362
311.000000 94.099 150.0610
315.000000 94.039 150.3816
320.000000 93.964 150.7759
325.000000 93.888 151.1596
330.000000 93.811 151.5368
335.000000 93.734 151.9146
340.000000 93.656 152.2971
345.000000 93.577 152.6845
350.000000 93.496 153.0863
355.000000 93.416 153.5150
360.000000 93.337 153.9691
365.000000 93.258 154.4402
370.000000 93.181 154.9328
375.000000 93.108 155.4749
382.000000 93.013 156.2592
387.000000 92.952 156.8241
395.000000 92.863 157.7249
400.000000 92.814 158.2812
406.000000 92.759 158.9401
412.000000 92.710 159.5840
418.000000 92.665 160.2065
425.000000 92.616 160.9146
431.000000 92.577 161.4987
437.000000 92.539 162.0625
444.000000 92.496 162.7037
450.000000 92.459 163.2422
455.000000 92.430 163.6857
462.000000 92.389 164.3008
468.000000 92.355 164.8203
475.000000 92.316 165.4191
482.000000 92.279 166.0166
487.000000 92.253 166.4380
494.000000 92.217 167.0216
500.000000 92.187 167.5194
508.000000 92.148 168.1794
515.000000 92.116 168.7568
522.000000 92.084 169.3336
530.000000 92.048 169.9899
538.000000 92.013 170.6371
545.000000 91.985 171.2121
552.000000 91.958 171.7914
560.000000 91.928 172.4506
570.000000 91.892 173.2769
580.000000 91.860 174.1056
590.000000 91.831 174.9273
600.000000 91.803 175.7470
608.000000 91.784 176.3968
615.000000 91.768 176.9625
622.000000 91.753 177.5298
630.000000 91.737 178.1810
640.000000 91.719 178.9974
650.000000 91.705 179.8128
660.000000 91.693 -179.3725
670.000000 91.682 -178.5585
680.000000 91.674 -177.7429
690.000000 91.669 -176.9237
700.000000 91.666 -176.1064
710.000000 91.666 -175.2910
720.000000 91.668 -174.4769
730.000000 91.674 -173.6546
740.000000 91.683 -172.8352
750.000000 91.695 -172.0201
762.000000 91.713 -171.0444
775.000000 91.738 -169.9913
788.000000 91.768 -168.9406
800.000000 91.801 -167.9720
812.000000 91.838 -167.0101
825.000000 91.884 -165.9809
838.000000 91.936 -164.9680
850.000000 91.989 -164.0375
862.000000 92.048 -163.1199
875.000000 92.117 -162.1439
885.000000 92.174 -161.4069
900.000000 92.266 -160.3304
912.000000 92.344 -159.4956
925.000000 92.434 -158.6188
938.000000 92.529 -157.7741
950.000000 92.622 -157.0237
962.000000 92.718 -156.3058
975.000000 92.826 -155.5712
988.000000 92.938 -154.8773
1000.000000 93.044 -154.2743
1015.000000 93.179 -153.5715
1030.000000 93.316 -152.9359
1044.000000 93.446 -152.4000
1060.000000 93.593 -151.8476
1075.000000 93.731 -151.3867
1090.000000 93.867 -150.9818
1106.000000 94.010 -150.6107
1120.000000 94.133 -150.3322
1138.000000 94.286 -150.0283
1150.000000 94.385 -149.8526
1172.000000 94.559 -149.5838
1180.000000 94.620 -149.5016
1206.000000 94.810 -149.2777
1220.000000 94.907 -149.1804
1241.000000 95.047 -149.0546
1250.000000 95.104 -149.0057
1265.000000 95.198 -148.9305
1280.000000 95.287 -148.8623
1315.000000 95.485 -148.7101
1320.000000 95.512 -148.6884
1340.000000 95.619 -148.6002
1360.000000 95.723 -148.5106
1380.000000 95.824 -148.4180
1400.000000 95.923 -148.3232
1430.000000 96.068 -148.1768
1450.000000 96.164 -148.0728
1475.000000 96.283 -147.9378
1500.000000 96.402 -147.8048
1525.000000 96.521 -147.6697
1550.000000 96.640 -147.5386
1575.000000 96.760 -147.4123
1600.000000 96.881 -147.2925
1625.000000 97.003 -147.1815
1650.000000 97.126 -147.0805
1675.000000 97.251 -146.9920
1700.000000 97.377 -146.9178
1725.000000 97.504 -146.8597
1750.000000 97.632 -146.8206
1775.000000 97.762 -146.8005
1800.000000 97.893 -146.7997
1825.000000 98.025 -146.8212
1850.000000 98.157 -146.8669
1875.000000 98.291 -146.9365
1900.000000 98.425 -147.0325
1925.000000 98.560 -147.1564
1950.000000 98.696 -147.3111
1975.000000 98.831 -147.4971
2000.000000 98.965 -147.7147
2030.000000 99.125 -148.0159
2060.000000 99.286 -148.3515
2090.000000 99.449 -148.7460
2120.000000 99.611 -149.2009
2140.000000 99.717 -149.5167
2180.000000 99.916 -150.1921
2200.000000 100.013 -150.5651
2240.000000 100.200 -151.3704
2270.000000 100.334 -152.0231
2300.000000 100.463 -152.7148
2330.000000 100.587 -153.4446
2360.000000 100.704 -154.2100
2400.000000 100.849 -155.2798
2430.000000 100.950 -156.1145
2470.000000 101.072 -157.2649
2500.000000 101.155 -158.1511
2540.000000 101.252 -159.3584
2580.000000 101.335 -160.5868
2620.000000 101.403 -161.8258
2650.000000 101.443 -162.7567
2690.000000 101.485 -163.9915
2720.000000 101.506 -164.9062
2760.000000 101.522 -166.1023
2800.000000 101.524 -167.2628
2850.000000 101.508 -168.6488
2900.000000 101.472 -169.9433
2950.000000 101.419 -171.1151
3000.000000 101.355 -172.1291
3040.000000 101.303 -172.8085
3070.000000 101.267 -173.2485
3110.000000 101.229 -173.7739
3150.000000 101.205 -174.2860
3200.000000 101.185 -174.9939
3250.000000 101.161 -175.7932
3300.000000 101.123 -176.6190
3350.000000 101.071 -177.4045
3400.000000 101.011 -178.1234
3450.000000 100.947 -178.7696
3500.000000 100.881 -179.3445
3550.000000 100.817 -179.8574
3600.000000 100.755 179.6789
3650.000000 100.697 179.2502
3700.000000 100.643 178.8466
3750.000000 100.592 178.4585
3820.000000 100.525 177.9319
3870.000000 100.479 177.5623
3950.000000 100.408 176.9792
4000.000000 100.363 176.6342
4060.000000 100.314 176.2735
4120.000000 100.282 175.9280
4180.000000 100.265 175.4449
4250.000000 100.233 174.7191
4310.000000 100.193 174.0603
4370.000000 100.146 173.3867
4440.000000 100.085 172.5691
4500.000000 100.025 171.8344
4550.000000 99.968 171.1991
4620.000000 99.875 170.2827
4680.000000 99.781 169.4906
4750.000000 99.653 168.5969
4820.000000 99.506 167.7837
4870.000000 99.392 167.2715
4940.000000 99.226 166.6591
5000.000000 99.083 166.1958
5080.000000 98.898 165.6204
5150.000000 98.734 165.1522
5220.000000 98.563 164.7236
5300.000000 98.357 164.3039
5380.000000 98.138 163.9929
5450.000000 97.938 163.8447
5520.000000 97.734 163.8376
5600.000000 97.504 164.0101
5700.000000 97.232 164.4633
5800.000000 96.982 165.1221
5900.000000 96.758 165.9520
6000.000000 96.563 166.9301
6080.000000 96.430 167.7930
6150.000000 96.332 168.5889
6220.000000 96.251 169.4159
