* Measurement data measured by REW V5.30
* Source: EXCL: Abigail Mic (2- KM-HIFI-384KHZ), MICROPHONE (Master Volume), 0, volume: 1.000
* Format: 256k Log Swept Sine, 1 sweep at -24.0 dBFS with no timing reference
* Dated: Feb 4, 2024 7:04:54 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Nightjar Singularity (R) R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.299999 108.019 -178.2248
20.600000 108.002 -178.7434
20.900000 107.978 -179.3206
21.200001 107.953 -179.8988
21.400000 107.937 179.7161
21.799999 107.905 178.9470
22.000000 107.891 178.5649
22.400000 107.861 177.8139
22.700001 107.840 177.2676
23.000000 107.818 176.7379
23.299999 107.795 176.2238
23.600000 107.772 175.7226
24.000000 107.739 175.0696
24.299999 107.713 174.5896
24.700001 107.677 173.9619
25.000000 107.650 173.5003
25.400000 107.615 172.8955
25.799999 107.581 172.3004
26.200001 107.548 171.7130
26.500000 107.523 171.2782
26.900000 107.488 170.7086
27.200001 107.462 170.2909
27.600000 107.425 169.7473
28.000000 107.388 169.2180
28.500000 107.342 168.5731
29.000000 107.296 167.9448
29.500000 107.249 167.3331
30.000000 107.203 166.7380
30.400000 107.166 166.2731
30.700001 107.138 165.9304
31.100000 107.102 165.4810
31.500000 107.065 165.0394
32.000000 107.019 164.4969
32.500000 106.973 163.9639
33.000000 106.927 163.4420
33.500000 106.879 162.9350
34.000000 106.832 162.4443
34.500000 106.784 161.9666
35.000000 106.737 161.4962
35.500000 106.690 161.0303
36.000000 106.642 160.5714
36.500000 106.594 160.1227
37.000000 106.547 159.6853
37.500000 106.500 159.2584
38.200001 106.434 158.6798
38.700001 106.387 158.2816
39.500000 106.311 157.6622
40.000000 106.264 157.2787
40.599998 106.206 156.8234
41.200001 106.149 156.3815
41.799999 106.094 155.9557
42.500000 106.030 155.4730
43.099998 105.974 155.0678
43.700001 105.918 154.6681
44.400002 105.853 154.2046
45.000000 105.798 153.8177
45.500000 105.751 153.5122
46.200001 105.687 153.1035
46.799999 105.633 152.7474
47.500000 105.566 152.3225
48.200001 105.501 151.9183
48.700001 105.460 151.6414
49.400002 105.408 151.2404
50.000000 105.359 150.8911
50.799999 105.279 150.4852
51.500000 105.207 150.1880
52.200001 105.141 149.8757
53.000000 105.069 149.4805
53.799999 104.999 149.1033
54.500000 104.940 148.8000
55.200001 104.880 148.5043
56.000000 104.808 148.1680
57.000000 104.719 147.7444
58.000000 104.634 147.3338
59.000000 104.556 146.9482
60.000000 104.474 146.5616
60.799999 104.403 146.2700
61.500000 104.340 146.0322
62.200001 104.280 145.7965
63.000000 104.213 145.5266
64.000000 104.131 145.2031
65.000000 104.050 144.8913
66.000000 103.968 144.5853
67.000000 103.887 144.2884
68.000000 103.807 144.0006
69.000000 103.728 143.7219
70.000000 103.650 143.4533
71.000000 103.573 143.1948
72.000000 103.496 142.9472
73.000000 103.419 142.7073
74.000000 103.342 142.4705
75.000000 103.267 142.2433
76.199997 103.177 141.9884
77.500000 103.079 141.7249
78.800003 102.983 141.4604
80.000000 102.896 141.2190
81.199997 102.810 140.9958
82.500000 102.718 140.7719
83.800003 102.626 140.5493
85.000000 102.543 140.3545
86.199997 102.460 140.1696
87.500000 102.369 139.9769
88.500000 102.299 139.8356
90.000000 102.195 139.6345
91.199997 102.115 139.4794
92.500000 102.031 139.3137
93.800003 101.945 139.1596
95.000000 101.866 139.0258
96.199997 101.789 138.8967
97.500000 101.704 138.7670
98.800003 101.617 138.6447
100.000000 101.536 138.5330
101.500000 101.446 138.3965
103.000000 101.358 138.2767
104.400002 101.271 138.1747
106.000000 101.171 138.0624
107.500000 101.079 137.9615
109.000000 100.988 137.8794
110.599998 100.890 137.8179
112.000000 100.805 137.7656
113.800003 100.696 137.7080
115.000000 100.622 137.6912
117.199997 100.490 137.7037
118.000000 100.445 137.7186
120.599998 100.300 137.8501
122.000000 100.224 137.9926
124.099998 100.132 138.2187
125.000000 100.102 138.2910
126.500000 100.058 138.3392
128.000000 100.015 138.2489
131.500000 99.893 137.9126
132.000000 99.872 137.9117
134.000000 99.783 137.8544
136.000000 99.690 137.7567
138.000000 99.594 137.6879
140.000000 99.498 137.6539
143.000000 99.358 137.5922
145.000000 99.266 137.5854
147.500000 99.150 137.6020
150.000000 99.038 137.6406
152.500000 98.926 137.6896
155.000000 98.818 137.7485
157.500000 98.713 137.7944
160.000000 98.611 137.8376
162.500000 98.514 137.8986
165.000000 98.418 137.9807
167.500000 98.322 138.0796
170.000000 98.226 138.1828
172.500000 98.132 138.2501
175.000000 98.040 138.3245
177.500000 97.950 138.4091
180.000000 97.859 138.4965
182.500000 97.768 138.6183
185.000000 97.677 138.7474
187.500000 97.586 138.8790
190.000000 97.497 139.0127
192.500000 97.410 139.1608
195.000000 97.326 139.3290
197.500000 97.246 139.5156
200.000000 97.169 139.7131
203.000000 97.076 139.9623
206.000000 96.989 140.2137
209.000000 96.909 140.4267
212.000000 96.832 140.5991
214.000000 96.780 140.6978
218.000000 96.672 140.8707
220.000000 96.617 140.9617
224.000000 96.505 141.2011
227.000000 96.422 141.3862
230.000000 96.340 141.5763
233.000000 96.257 141.7761
236.000000 96.175 141.9886
240.000000 96.070 142.2953
243.000000 95.991 142.4916
247.000000 95.888 142.7741
250.000000 95.812 143.0075
254.000000 95.710 143.3170
258.000000 95.610 143.6404
262.000000 95.512 144.0053
265.000000 95.440 144.3058
269.000000 95.351 144.7358
272.000000 95.294 145.0617
276.000000 95.228 145.4524
280.000000 95.165 145.7719
285.000000 95.080 146.1059
290.000000 94.987 146.4317
295.000000 94.888 146.7888
300.000000 94.789 147.1804
304.000000 94.714 147.4829
307.000000 94.659 147.7163
311.000000 94.585 148.0456
315.000000 94.513 148.3880
320.000000 94.425 148.8226
325.000000 94.339 149.2483
330.000000 94.255 149.6879
335.000000 94.174 150.1388
340.000000 94.095 150.5898
345.000000 94.018 151.0464
350.000000 93.944 151.5046
355.000000 93.872 151.9603
360.000000 93.802 152.4163
365.000000 93.732 152.8706
370.000000 93.663 153.3259
375.000000 93.599 153.7926
382.000000 93.510 154.4495
387.000000 93.448 154.9189
395.000000 93.353 155.6734
400.000000 93.297 156.1480
406.000000 93.232 156.7162
412.000000 93.169 157.2831
418.000000 93.108 157.8482
425.000000 93.040 158.5096
431.000000 92.985 159.0728
437.000000 92.931 159.6344
444.000000 92.870 160.2896
450.000000 92.821 160.8500
455.000000 92.781 161.3194
462.000000 92.728 161.9758
468.000000 92.685 162.5395
475.000000 92.637 163.1965
482.000000 92.591 163.8453
487.000000 92.560 164.3000
494.000000 92.519 164.9366
500.000000 92.486 165.4833
508.000000 92.444 166.2026
515.000000 92.409 166.8231
522.000000 92.376 167.4356
530.000000 92.339 168.1256
538.000000 92.304 168.8129
545.000000 92.275 169.4020
552.000000 92.249 169.9863
560.000000 92.218 170.6584
570.000000 92.182 171.4986
580.000000 92.150 172.3326
590.000000 92.119 173.1582
600.000000 92.091 173.9836
608.000000 92.068 174.6344
615.000000 92.050 175.2077
622.000000 92.032 175.7886
630.000000 92.013 176.4539
640.000000 91.991 177.2855
650.000000 91.972 178.1266
660.000000 91.957 178.9639
670.000000 91.944 179.8123
680.000000 91.936 -179.3382
690.000000 91.929 -178.4886
700.000000 91.926 -177.6346
710.000000 91.927 -176.7803
720.000000 91.931 -175.9227
730.000000 91.940 -175.0705
740.000000 91.952 -174.2232
750.000000 91.968 -173.3774
762.000000 91.992 -172.3673
775.000000 92.024 -171.2786
788.000000 92.063 -170.2067
800.000000 92.105 -169.2219
812.000000 92.153 -168.2534
825.000000 92.210 -167.2289
838.000000 92.273 -166.2202
850.000000 92.337 -165.3141
862.000000 92.408 -164.4363
875.000000 92.489 -163.5163
885.000000 92.555 -162.8360
900.000000 92.659 -161.8556
912.000000 92.748 -161.1030
925.000000 92.848 -160.3328
938.000000 92.950 -159.6019
950.000000 93.047 -158.9655
962.000000 93.146 -158.3674
975.000000 93.254 -157.7573
988.000000 93.364 -157.1922
1000.000000 93.467 -156.7116
1015.000000 93.595 -156.1654
1030.000000 93.723 -155.6680
1044.000000 93.840 -155.2481
1060.000000 93.973 -154.8196
1075.000000 94.095 -154.4645
1090.000000 94.215 -154.1523
1106.000000 94.339 -153.8591
1120.000000 94.444 -153.6306
1138.000000 94.575 -153.3734
1150.000000 94.660 -153.2253
1172.000000 94.809 -152.9901
1180.000000 94.862 -152.9133
1206.000000 95.026 -152.6906
1220.000000 95.110 -152.5844
1241.000000 95.232 -152.4400
1250.000000 95.282 -152.3819
1265.000000 95.365 -152.2898
1280.000000 95.445 -152.2032
1315.000000 95.623 -152.0063
1320.000000 95.648 -151.9786
1340.000000 95.745 -151.8688
1360.000000 95.839 -151.7565
1380.000000 95.932 -151.6436
1400.000000 96.023 -151.5298
1430.000000 96.159 -151.3549
1450.000000 96.248 -151.2395
1475.000000 96.359 -151.0969
1500.000000 96.470 -150.9535
1525.000000 96.582 -150.8105
1550.000000 96.694 -150.6700
1575.000000 96.806 -150.5404
1600.000000 96.920 -150.4204
1625.000000 97.035 -150.3087
1650.000000 97.151 -150.2069
1675.000000 97.268 -150.1194
1700.000000 97.387 -150.0461
1725.000000 97.507 -149.9887
1750.000000 97.628 -149.9495
1775.000000 97.750 -149.9307
1800.000000 97.874 -149.9343
1825.000000 97.998 -149.9615
1850.000000 98.123 -150.0134
1875.000000 98.248 -150.0879
1900.000000 98.373 -150.1873
1925.000000 98.499 -150.3135
1950.000000 98.624 -150.4666
1975.000000 98.750 -150.6467
2000.000000 98.875 -150.8546
2030.000000 99.024 -151.1432
2060.000000 99.172 -151.4723
2090.000000 99.321 -151.8394
2120.000000 99.473 -152.2754
2140.000000 99.572 -152.5924
2180.000000 99.760 -153.2473
2200.000000 99.849 -153.6011
2240.000000 100.020 -154.3682
2270.000000 100.143 -154.9871
2300.000000 100.260 -155.6430
2330.000000 100.372 -156.3333
2360.000000 100.478 -157.0540
2400.000000 100.609 -158.0594
2430.000000 100.699 -158.8425
2470.000000 100.808 -159.9202
2500.000000 100.881 -160.7475
2540.000000 100.966 -161.8684
2580.000000 101.038 -163.0024
2620.000000 101.095 -164.1417
2650.000000 101.129 -164.9946
2690.000000 101.163 -166.1205
2720.000000 101.179 -166.9521
2760.000000 101.189 -168.0364
2800.000000 101.186 -169.0829
2850.000000 101.165 -170.3177
2900.000000 101.127 -171.4378
2950.000000 101.077 -172.4060
3000.000000 101.027 -173.1968
3040.000000 100.997 -173.7216
3070.000000 100.984 -174.0881
3110.000000 100.980 -174.6091
3150.000000 100.982 -175.2218
3200.000000 100.975 -176.1140
3250.000000 100.945 -177.0524
3300.000000 100.894 -177.9328
3350.000000 100.832 -178.7100
3400.000000 100.765 -179.3891
3450.000000 100.699 -179.9921
3500.000000 100.635 179.4661
3550.000000 100.573 178.9716
3600.000000 100.516 178.5106
3650.000000 100.461 178.0698
3700.000000 100.408 177.6394
3750.000000 100.356 177.2164
3820.000000 100.283 176.6311
3870.000000 100.229 176.2162
3950.000000 100.134 175.5780
4000.000000 100.065 175.2417
4060.000000 99.981 175.0190
4120.000000 99.931 175.0460
4180.000000 99.951 174.9569
4250.000000 99.992 174.2178
4310.000000 99.980 173.3004
4370.000000 99.931 172.3978
4440.000000 99.851 171.4304
4500.000000 99.773 170.6533
4550.000000 99.703 170.0233
4620.000000 99.598 169.1476
4680.000000 99.499 168.3919
4750.000000 99.368 167.5111
4820.000000 99.215 166.6696
4870.000000 99.097 166.0994
4940.000000 98.922 165.3710
5000.000000 98.765 164.8351
5080.000000 98.548 164.2516
5150.000000 98.353 163.8575
5220.000000 98.157 163.5619
5300.000000 97.930 163.3376
5380.000000 97.702 163.2350
5450.000000 97.501 163.2495
5520.000000 97.301 163.3705
5600.000000 97.076 163.6473
5700.000000 96.805 164.1960
5800.000000 96.553 164.9524
5900.000000 96.324 165.8995
6000.000000 96.123 167.0143
6080.000000 95.987 167.9991
6150.000000 95.887 168.9162
6220.000000 95.805 169.8772
