* Measurement data measured by REW V5.30
* Source: EXCL: Abigail Mic (2- KM-HIFI-384KHZ), MICROPHONE (Master Volume), 0, volume: 1.000
* Format: 256k Log Swept Sine, 1 sweep at -24.0 dBFS with no timing reference
* Dated: Feb 4, 2024 7:10:53 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Nightjar Singularity (Ted) L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.299999 108.319 175.3704
20.600000 108.293 174.8567
20.900000 108.260 174.2861
21.200001 108.224 173.7151
21.400000 108.201 173.3345
21.799999 108.157 172.5719
22.000000 108.136 172.1920
22.400000 108.094 171.4442
22.700001 108.062 170.9018
23.000000 108.030 170.3792
23.299999 107.998 169.8758
23.600000 107.965 169.3875
24.000000 107.921 168.7505
24.299999 107.887 168.2777
24.700001 107.840 167.6513
25.000000 107.805 167.1864
25.400000 107.758 166.5779
25.799999 107.712 165.9869
26.200001 107.666 165.4146
26.500000 107.632 164.9967
26.900000 107.586 164.4525
27.200001 107.552 164.0530
27.600000 107.504 163.5314
28.000000 107.457 163.0213
28.500000 107.397 162.3972
29.000000 107.338 161.7838
29.500000 107.280 161.1805
30.000000 107.222 160.5935
30.400000 107.174 160.1401
30.700001 107.139 159.8101
31.100000 107.092 159.3810
31.500000 107.046 158.9598
32.000000 106.988 158.4395
32.500000 106.929 157.9277
33.000000 106.869 157.4309
33.500000 106.810 156.9518
34.000000 106.753 156.4852
34.500000 106.695 156.0242
35.000000 106.638 155.5683
35.500000 106.579 155.1233
36.000000 106.519 154.6941
36.500000 106.461 154.2798
37.000000 106.404 153.8757
37.500000 106.347 153.4778
38.200001 106.268 152.9319
38.700001 106.210 152.5538
39.500000 106.119 151.9713
40.000000 106.063 151.6158
40.599998 105.996 151.1940
41.200001 105.929 150.7837
41.799999 105.861 150.3933
42.500000 105.784 149.9543
43.099998 105.719 149.5763
43.700001 105.654 149.1966
44.400002 105.577 148.7713
45.000000 105.512 148.4325
45.500000 105.460 148.1641
46.200001 105.386 147.7902
46.799999 105.323 147.4568
47.500000 105.246 147.0667
48.200001 105.171 146.7198
48.700001 105.123 146.5030
49.400002 105.061 146.1970
50.000000 105.004 145.9032
50.799999 104.914 145.5072
51.500000 104.831 145.1995
52.200001 104.755 144.9045
53.000000 104.677 144.5575
53.799999 104.599 144.2261
54.500000 104.529 143.9544
55.200001 104.459 143.6895
56.000000 104.379 143.3946
57.000000 104.281 143.0389
58.000000 104.185 142.6925
59.000000 104.091 142.3301
60.000000 103.997 141.9752
60.799999 103.921 141.7452
61.500000 103.857 141.5675
62.200001 103.793 141.3840
63.000000 103.719 141.1622
64.000000 103.627 140.8838
65.000000 103.537 140.6185
66.000000 103.449 140.3702
67.000000 103.361 140.1306
68.000000 103.273 139.9033
69.000000 103.188 139.6844
70.000000 103.103 139.4654
71.000000 103.018 139.2547
72.000000 102.934 139.0572
73.000000 102.851 138.8679
74.000000 102.768 138.6832
75.000000 102.687 138.5037
76.199997 102.590 138.3005
77.500000 102.487 138.0957
78.800003 102.385 137.9011
80.000000 102.291 137.7260
81.199997 102.199 137.5556
82.500000 102.101 137.3837
83.800003 102.003 137.2287
85.000000 101.914 137.0924
86.199997 101.826 136.9614
87.500000 101.731 136.8271
88.500000 101.659 136.7275
90.000000 101.553 136.5771
91.199997 101.468 136.4656
92.500000 101.376 136.3672
93.800003 101.286 136.2818
95.000000 101.205 136.1986
96.199997 101.124 136.1150
97.500000 101.037 136.0317
98.800003 100.949 135.9382
100.000000 100.869 135.8496
101.500000 100.773 135.7932
103.000000 100.679 135.7484
104.400002 100.589 135.6880
106.000000 100.488 135.6301
107.500000 100.394 135.5886
109.000000 100.302 135.5625
110.599998 100.205 135.5478
112.000000 100.121 135.5308
113.800003 100.013 135.5095
115.000000 99.941 135.4983
117.199997 99.809 135.4948
118.000000 99.760 135.4912
120.599998 99.604 135.5278
122.000000 99.524 135.6199
124.099998 99.408 135.7647
125.000000 99.361 135.8280
126.500000 99.283 135.9247
128.000000 99.206 135.9735
131.500000 99.035 136.1673
132.000000 99.013 136.2329
134.000000 98.920 136.4883
136.000000 98.824 136.7276
138.000000 98.745 136.9021
140.000000 98.691 137.0157
143.000000 98.626 136.9832
145.000000 98.563 136.8636
147.500000 98.461 136.7596
150.000000 98.348 136.7123
152.500000 98.235 136.6959
155.000000 98.126 136.7393
157.500000 98.017 136.8241
160.000000 97.912 136.9149
162.500000 97.808 137.0193
165.000000 97.708 137.1398
167.500000 97.612 137.2492
170.000000 97.517 137.3760
172.500000 97.418 137.5175
175.000000 97.321 137.6600
177.500000 97.227 137.8162
180.000000 97.136 137.9816
182.500000 97.048 138.1321
185.000000 96.961 138.2863
187.500000 96.874 138.4438
190.000000 96.787 138.6124
192.500000 96.703 138.8052
195.000000 96.620 139.0014
197.500000 96.537 139.2061
200.000000 96.456 139.4238
203.000000 96.361 139.6807
206.000000 96.271 139.9516
209.000000 96.186 140.2366
212.000000 96.106 140.5212
214.000000 96.055 140.6969
218.000000 95.956 140.9966
220.000000 95.906 141.1364
224.000000 95.805 141.4254
227.000000 95.728 141.6334
230.000000 95.651 141.8441
233.000000 95.572 142.0609
236.000000 95.492 142.2862
240.000000 95.384 142.5985
243.000000 95.310 142.8568
247.000000 95.214 143.2141
250.000000 95.140 143.4914
254.000000 95.047 143.8788
258.000000 94.959 144.2802
262.000000 94.879 144.6830
265.000000 94.823 144.9664
269.000000 94.748 145.3088
272.000000 94.690 145.5399
276.000000 94.611 145.8452
280.000000 94.531 146.1757
285.000000 94.434 146.6117
290.000000 94.340 147.0665
295.000000 94.247 147.5119
300.000000 94.156 147.9351
304.000000 94.088 148.2967
307.000000 94.038 148.5716
311.000000 93.971 148.9312
315.000000 93.904 149.2909
320.000000 93.822 149.7508
325.000000 93.742 150.2068
330.000000 93.665 150.6671
335.000000 93.590 151.1301
340.000000 93.516 151.5945
345.000000 93.443 152.0641
350.000000 93.373 152.5342
355.000000 93.305 153.0075
360.000000 93.239 153.4816
365.000000 93.174 153.9512
370.000000 93.110 154.4237
375.000000 93.048 154.9088
382.000000 92.964 155.5901
387.000000 92.908 156.0790
395.000000 92.819 156.8555
400.000000 92.765 157.3398
406.000000 92.704 157.9245
412.000000 92.644 158.5114
418.000000 92.587 159.1029
425.000000 92.525 159.7917
431.000000 92.474 160.3813
437.000000 92.425 160.9689
444.000000 92.371 161.6529
450.000000 92.327 162.2385
455.000000 92.293 162.7259
462.000000 92.247 163.4042
468.000000 92.211 163.9790
475.000000 92.171 164.6449
482.000000 92.133 165.3069
487.000000 92.108 165.7772
494.000000 92.074 166.4277
500.000000 92.047 166.9797
508.000000 92.012 167.7035
515.000000 91.985 168.3247
522.000000 91.960 168.9378
530.000000 91.933 169.6324
538.000000 91.908 170.3232
545.000000 91.886 170.9124
552.000000 91.864 171.4942
560.000000 91.841 172.1560
570.000000 91.815 172.9793
580.000000 91.790 173.8047
590.000000 91.767 174.6231
600.000000 91.747 175.4348
608.000000 91.733 176.0922
615.000000 91.721 176.6661
622.000000 91.710 177.2359
630.000000 91.699 177.8837
640.000000 91.688 178.6922
650.000000 91.680 179.5058
660.000000 91.673 -179.6786
670.000000 91.669 -178.8650
680.000000 91.668 -178.0523
690.000000 91.669 -177.2398
700.000000 91.673 -176.4241
710.000000 91.680 -175.6101
720.000000 91.690 -174.7990
730.000000 91.705 -173.9819
740.000000 91.722 -173.1674
750.000000 91.743 -172.3545
762.000000 91.772 -171.3854
775.000000 91.810 -170.3454
788.000000 91.854 -169.3158
800.000000 91.900 -168.3762
812.000000 91.951 -167.4502
825.000000 92.013 -166.4640
838.000000 92.081 -165.5004
850.000000 92.149 -164.6366
862.000000 92.222 -163.7931
875.000000 92.307 -162.9095
885.000000 92.375 -162.2534
900.000000 92.482 -161.3089
912.000000 92.573 -160.5896
925.000000 92.676 -159.8485
938.000000 92.781 -159.1488
950.000000 92.880 -158.5400
962.000000 92.981 -157.9670
975.000000 93.093 -157.3862
988.000000 93.207 -156.8491
1000.000000 93.312 -156.3926
1015.000000 93.442 -155.8710
1030.000000 93.573 -155.4039
1044.000000 93.695 -155.0132
1060.000000 93.832 -154.6169
1075.000000 93.957 -154.2882
1090.000000 94.080 -153.9991
1106.000000 94.209 -153.7310
1120.000000 94.318 -153.5277
1138.000000 94.455 -153.3042
1150.000000 94.543 -153.1731
1172.000000 94.699 -152.9686
1180.000000 94.755 -152.9044
1206.000000 94.928 -152.7235
1220.000000 95.017 -152.6427
1241.000000 95.146 -152.5369
1250.000000 95.200 -152.4958
1265.000000 95.287 -152.4307
1280.000000 95.373 -152.3693
1315.000000 95.566 -152.2413
1320.000000 95.593 -152.2242
1340.000000 95.698 -152.1582
1360.000000 95.802 -152.0938
1380.000000 95.903 -152.0298
1400.000000 96.004 -151.9675
1430.000000 96.153 -151.8785
1450.000000 96.252 -151.8211
1475.000000 96.374 -151.7523
1500.000000 96.497 -151.6908
1525.000000 96.620 -151.6357
1550.000000 96.744 -151.5916
1575.000000 96.868 -151.5565
1600.000000 96.993 -151.5343
1625.000000 97.120 -151.5265
1650.000000 97.247 -151.5359
1675.000000 97.375 -151.5641
1700.000000 97.505 -151.6124
1725.000000 97.636 -151.6848
1750.000000 97.767 -151.7817
1775.000000 97.900 -151.9030
1800.000000 98.032 -152.0493
1825.000000 98.165 -152.2216
1850.000000 98.299 -152.4237
1875.000000 98.433 -152.6575
1900.000000 98.566 -152.9265
1925.000000 98.699 -153.2329
1950.000000 98.831 -153.5750
1975.000000 98.961 -153.9517
2000.000000 99.089 -154.3609
2030.000000 99.240 -154.8946
2060.000000 99.389 -155.4665
2090.000000 99.539 -156.1016
2120.000000 99.686 -156.7984
2140.000000 99.780 -157.2754
2180.000000 99.953 -158.2732
2200.000000 100.035 -158.8069
2240.000000 100.189 -159.9272
2270.000000 100.295 -160.8085
2300.000000 100.394 -161.7235
2330.000000 100.485 -162.6679
2360.000000 100.567 -163.6370
2400.000000 100.662 -164.9592
2430.000000 100.723 -165.9692
2470.000000 100.790 -167.3306
2500.000000 100.829 -168.3550
2540.000000 100.866 -169.7183
2580.000000 100.887 -171.0688
2620.000000 100.891 -172.3914
2650.000000 100.883 -173.3597
2690.000000 100.860 -174.6106
2720.000000 100.833 -175.5104
2760.000000 100.784 -176.6473
2800.000000 100.723 -177.6974
2850.000000 100.633 -178.8556
2900.000000 100.538 -179.8113
2950.000000 100.453 179.4247
3000.000000 100.390 178.7597
3040.000000 100.357 178.2065
3070.000000 100.337 177.7394
3110.000000 100.308 177.0377
3150.000000 100.268 176.2811
3200.000000 100.200 175.3268
3250.000000 100.113 174.4227
3300.000000 100.013 173.6063
3350.000000 99.904 172.9010
3400.000000 99.794 172.3108
3450.000000 99.687 171.8133
3500.000000 99.585 171.3780
3550.000000 99.486 170.9788
3600.000000 99.387 170.6212
3650.000000 99.292 170.2731
3700.000000 99.202 169.9304
3750.000000 99.113 169.6077
3820.000000 98.986 169.1977
3870.000000 98.890 168.9638
3950.000000 98.734 168.8266
4000.000000 98.658 168.9688
4060.000000 98.630 169.2083
4120.000000 98.664 169.0438
4180.000000 98.684 168.3229
4250.000000 98.637 167.2343
4310.000000 98.554 166.3639
4370.000000 98.455 165.5743
4440.000000 98.325 164.7095
4500.000000 98.202 163.9956
4550.000000 98.090 163.4236
4620.000000 97.917 162.6876
4680.000000 97.756 162.1525
4750.000000 97.562 161.6660
4820.000000 97.370 161.3063
4870.000000 97.237 161.0999
4940.000000 97.055 160.8480
5000.000000 96.900 160.6505
5080.000000 96.692 160.4121
5150.000000 96.504 160.2377
5220.000000 96.310 160.1142
5300.000000 96.080 160.0543
5380.000000 95.843 160.1045
5450.000000 95.632 160.2592
5520.000000 95.418 160.5281
5600.000000 95.175 160.9805
5700.000000 94.880 161.7681
5800.000000 94.599 162.8074
5900.000000 94.341 164.0879
6000.000000 94.116 165.5928
6080.000000 93.964 166.9355
6150.000000 93.856 168.1874
6220.000000 93.772 169.4927
6300.000000 93.707 171.0205
