* Measurement data measured by REW V5.30
* Source: EXCL: Abigail Mic (2- KM-HIFI-384KHZ), MICROPHONE (Master Volume), 0, volume: 1.000
* Format: 256k Log Swept Sine, 1 sweep at -24.0 dBFS with no timing reference
* Dated: Feb 4, 2024 7:14:52 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Nightjar Singularity (Ted) R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.299999 107.715 177.7242
20.600000 107.692 177.2125
20.900000 107.661 176.6433
21.200001 107.629 176.0724
21.400000 107.608 175.6912
21.799999 107.568 174.9265
22.000000 107.548 174.5453
22.400000 107.510 173.7957
22.700001 107.481 173.2531
23.000000 107.452 172.7317
23.299999 107.422 172.2307
23.600000 107.393 171.7458
24.000000 107.353 171.1138
24.299999 107.323 170.6442
24.700001 107.281 170.0208
25.000000 107.250 169.5569
25.400000 107.206 168.9486
25.799999 107.163 168.3578
26.200001 107.121 167.7863
26.500000 107.090 167.3692
26.900000 107.048 166.8255
27.200001 107.017 166.4255
27.600000 106.974 165.9012
28.000000 106.931 165.3872
28.500000 106.875 164.7594
29.000000 106.820 164.1468
29.500000 106.766 163.5479
30.000000 106.712 162.9635
30.400000 106.668 162.5082
30.700001 106.636 162.1747
31.100000 106.592 161.7406
31.500000 106.548 161.3169
32.000000 106.493 160.7986
32.500000 106.438 160.2892
33.000000 106.384 159.7871
33.500000 106.329 159.2929
34.000000 106.274 158.8094
34.500000 106.220 158.3403
35.000000 106.166 157.8877
35.500000 106.113 157.4502
36.000000 106.059 157.0228
36.500000 106.005 156.6023
37.000000 105.950 156.1891
37.500000 105.895 155.7853
38.200001 105.820 155.2358
38.700001 105.767 154.8528
39.500000 105.683 154.2580
40.000000 105.629 153.8985
40.599998 105.565 153.4745
41.200001 105.500 153.0541
41.799999 105.436 152.6434
42.500000 105.364 152.1925
43.099998 105.304 151.8313
43.700001 105.244 151.4795
44.400002 105.172 151.0683
45.000000 105.108 150.7185
45.500000 105.055 150.4315
46.200001 104.982 150.0334
46.799999 104.920 149.6972
47.500000 104.848 149.3162
48.200001 104.778 148.9289
48.700001 104.727 148.6367
49.400002 104.653 148.2321
50.000000 104.589 147.9351
50.799999 104.514 147.6144
51.500000 104.454 147.3419
52.200001 104.390 147.0508
53.000000 104.312 146.7164
53.799999 104.234 146.3852
54.500000 104.167 146.1010
55.200001 104.101 145.8313
56.000000 104.026 145.5337
57.000000 103.933 145.1677
58.000000 103.840 144.8207
59.000000 103.746 144.5101
60.000000 103.655 144.2123
60.799999 103.585 143.9393
61.500000 103.524 143.6915
62.200001 103.462 143.4645
63.000000 103.392 143.2314
64.000000 103.304 142.9525
65.000000 103.217 142.6785
66.000000 103.132 142.4113
67.000000 103.047 142.1612
68.000000 102.962 141.9251
69.000000 102.878 141.6948
70.000000 102.796 141.4722
71.000000 102.716 141.2540
72.000000 102.635 141.0446
73.000000 102.554 140.8478
74.000000 102.474 140.6534
75.000000 102.395 140.4629
76.199997 102.302 140.2500
77.500000 102.202 140.0351
78.800003 102.101 139.8282
80.000000 102.011 139.6436
81.199997 101.922 139.4726
82.500000 101.826 139.2974
83.800003 101.729 139.1254
85.000000 101.642 138.9771
86.199997 101.558 138.8384
87.500000 101.467 138.6910
88.500000 101.395 138.5856
90.000000 101.289 138.4460
91.199997 101.208 138.3380
92.500000 101.121 138.2156
93.800003 101.034 138.1045
95.000000 100.955 138.0097
96.199997 100.877 137.9246
97.500000 100.795 137.8364
98.800003 100.715 137.7457
100.000000 100.640 137.6639
101.500000 100.541 137.5845
103.000000 100.445 137.5205
104.400002 100.359 137.4697
106.000000 100.262 137.4115
107.500000 100.171 137.3475
109.000000 100.082 137.2872
110.599998 99.988 137.2328
112.000000 99.905 137.1916
113.800003 99.799 137.1515
115.000000 99.729 137.1308
117.199997 99.601 137.1010
118.000000 99.556 137.0867
120.599998 99.410 137.0664
122.000000 99.329 137.1086
124.099998 99.207 137.1609
125.000000 99.157 137.1811
126.500000 99.074 137.2166
128.000000 98.993 137.2334
131.500000 98.796 137.3681
132.000000 98.766 137.4169
134.000000 98.651 137.6067
136.000000 98.544 137.8314
138.000000 98.449 138.1303
140.000000 98.376 138.4410
143.000000 98.321 138.8211
145.000000 98.282 138.8135
147.500000 98.209 138.6637
150.000000 98.114 138.5630
152.500000 98.005 138.5332
155.000000 97.896 138.5465
157.500000 97.791 138.6000
160.000000 97.686 138.6792
162.500000 97.584 138.7813
165.000000 97.483 138.9120
167.500000 97.383 139.0375
170.000000 97.286 139.1697
172.500000 97.191 139.3591
175.000000 97.101 139.5572
177.500000 97.015 139.7480
180.000000 96.933 139.9441
182.500000 96.853 140.1525
185.000000 96.775 140.3394
187.500000 96.700 140.5042
190.000000 96.625 140.6482
192.500000 96.550 140.7706
195.000000 96.472 140.9008
197.500000 96.393 141.0425
200.000000 96.313 141.1947
203.000000 96.218 141.3974
206.000000 96.124 141.6206
209.000000 96.031 141.8665
212.000000 95.939 142.1344
214.000000 95.880 142.3308
218.000000 95.771 142.7624
220.000000 95.723 142.9781
224.000000 95.636 143.3686
227.000000 95.575 143.6007
230.000000 95.512 143.7913
233.000000 95.443 143.9556
236.000000 95.368 144.1045
240.000000 95.264 144.3268
243.000000 95.187 144.5671
247.000000 95.084 144.9118
250.000000 95.009 145.1781
254.000000 94.913 145.5545
258.000000 94.820 145.9637
262.000000 94.734 146.3896
265.000000 94.673 146.7156
269.000000 94.598 147.1519
272.000000 94.547 147.4495
276.000000 94.484 147.8151
280.000000 94.423 148.1348
285.000000 94.338 148.4707
290.000000 94.246 148.8370
295.000000 94.152 149.2284
300.000000 94.059 149.6613
304.000000 93.987 149.9920
307.000000 93.934 150.2447
311.000000 93.865 150.5930
315.000000 93.796 150.9439
320.000000 93.712 151.3890
325.000000 93.631 151.8556
330.000000 93.552 152.3225
335.000000 93.474 152.7888
340.000000 93.399 153.2620
345.000000 93.324 153.7390
350.000000 93.252 154.2219
355.000000 93.181 154.7121
360.000000 93.113 155.2066
365.000000 93.047 155.6982
370.000000 92.982 156.1968
375.000000 92.919 156.7096
382.000000 92.833 157.4391
387.000000 92.776 157.9587
395.000000 92.689 158.7916
400.000000 92.637 159.3117
406.000000 92.577 159.9455
412.000000 92.520 160.5932
418.000000 92.468 161.2470
425.000000 92.412 161.9938
431.000000 92.369 162.6267
437.000000 92.329 163.2472
444.000000 92.286 163.9502
450.000000 92.251 164.5351
455.000000 92.222 165.0163
462.000000 92.183 165.6857
468.000000 92.151 166.2556
475.000000 92.116 166.9174
482.000000 92.083 167.5725
487.000000 92.061 168.0345
494.000000 92.031 168.6780
500.000000 92.007 169.2226
508.000000 91.977 169.9421
515.000000 91.953 170.5622
522.000000 91.930 171.1716
530.000000 91.907 171.8600
538.000000 91.885 172.5379
545.000000 91.866 173.1302
552.000000 91.846 173.7198
560.000000 91.825 174.3866
570.000000 91.802 175.2181
580.000000 91.783 176.0408
590.000000 91.766 176.8523
600.000000 91.749 177.6583
608.000000 91.737 178.2962
615.000000 91.726 178.8528
622.000000 91.716 179.4102
630.000000 91.706 -179.9500
640.000000 91.696 -179.1480
650.000000 91.688 -178.3444
660.000000 91.683 -177.5413
670.000000 91.679 -176.7385
680.000000 91.678 -175.9337
690.000000 91.679 -175.1247
700.000000 91.683 -174.3154
710.000000 91.690 -173.5048
720.000000 91.700 -172.6935
730.000000 91.712 -171.8825
740.000000 91.727 -171.0736
750.000000 91.745 -170.2663
762.000000 91.771 -169.2965
775.000000 91.806 -168.2502
788.000000 91.846 -167.2110
800.000000 91.888 -166.2575
812.000000 91.934 -165.3108
825.000000 91.991 -164.2986
838.000000 92.054 -163.3043
850.000000 92.118 -162.4001
862.000000 92.187 -161.5136
875.000000 92.267 -160.5788
885.000000 92.333 -159.8780
900.000000 92.437 -158.8620
912.000000 92.526 -158.0845
925.000000 92.627 -157.2758
938.000000 92.732 -156.5058
950.000000 92.833 -155.8301
962.000000 92.936 -155.1897
975.000000 93.050 -154.5399
988.000000 93.166 -153.9370
1000.000000 93.274 -153.4195
1015.000000 93.411 -152.8264
1030.000000 93.548 -152.2933
1044.000000 93.677 -151.8451
1060.000000 93.821 -151.3885
1075.000000 93.954 -151.0109
1090.000000 94.085 -150.6788
1106.000000 94.222 -150.3709
1120.000000 94.338 -150.1379
1138.000000 94.483 -149.8808
1150.000000 94.577 -149.7298
1172.000000 94.742 -149.4910
1180.000000 94.800 -149.4149
1206.000000 94.982 -149.2007
1220.000000 95.075 -149.1022
1241.000000 95.211 -148.9724
1250.000000 95.267 -148.9221
1265.000000 95.359 -148.8408
1280.000000 95.448 -148.7603
1315.000000 95.648 -148.5859
1320.000000 95.676 -148.5617
1340.000000 95.785 -148.4644
1360.000000 95.892 -148.3682
1380.000000 95.997 -148.2722
1400.000000 96.101 -148.1740
1430.000000 96.254 -148.0277
1450.000000 96.356 -147.9303
1475.000000 96.483 -147.8099
1500.000000 96.610 -147.6931
1525.000000 96.737 -147.5810
1550.000000 96.865 -147.4777
1575.000000 96.994 -147.3833
1600.000000 97.124 -147.2990
1625.000000 97.255 -147.2275
1650.000000 97.388 -147.1715
1675.000000 97.523 -147.1335
1700.000000 97.658 -147.1140
1725.000000 97.795 -147.1150
1750.000000 97.934 -147.1385
1775.000000 98.074 -147.1885
1800.000000 98.214 -147.2677
1825.000000 98.356 -147.3749
1850.000000 98.497 -147.5105
1875.000000 98.639 -147.6775
1900.000000 98.781 -147.8767
1925.000000 98.923 -148.1081
1950.000000 99.065 -148.3712
1975.000000 99.206 -148.6661
2000.000000 99.347 -148.9882
2030.000000 99.521 -149.4408
2060.000000 99.693 -149.9596
2090.000000 99.859 -150.5033
2120.000000 100.015 -151.0951
2140.000000 100.117 -151.5231
2180.000000 100.315 -152.4469
2200.000000 100.410 -152.9413
2240.000000 100.592 -153.9914
2270.000000 100.720 -154.8311
2300.000000 100.841 -155.7108
2330.000000 100.954 -156.6283
2360.000000 101.058 -157.5792
2400.000000 101.184 -158.8901
2430.000000 101.267 -159.9008
2470.000000 101.362 -161.2759
2500.000000 101.422 -162.3208
2540.000000 101.486 -163.7220
2580.000000 101.532 -165.1208
2620.000000 101.560 -166.5027
2650.000000 101.569 -167.5202
2690.000000 101.567 -168.8416
2720.000000 101.555 -169.7991
2760.000000 101.525 -171.0175
2800.000000 101.481 -172.1534
2850.000000 101.409 -173.4259
2900.000000 101.326 -174.4988
2950.000000 101.248 -175.3561
3000.000000 101.190 -176.0629
3040.000000 101.164 -176.6237
3070.000000 101.151 -177.0914
3110.000000 101.133 -177.7974
3150.000000 101.107 -178.5676
3200.000000 101.056 -179.5481
3250.000000 100.988 179.5129
3300.000000 100.908 178.6489
3350.000000 100.820 177.8654
3400.000000 100.728 177.1536
3450.000000 100.632 176.5070
3500.000000 100.531 175.9310
3550.000000 100.428 175.4410
3600.000000 100.326 175.0445
3650.000000 100.230 174.7267
3700.000000 100.141 174.4582
3750.000000 100.056 174.2176
3820.000000 99.941 173.9357
3870.000000 99.858 173.8197
3950.000000 99.747 173.9295
4000.000000 99.726 174.1289
4060.000000 99.763 174.1272
4120.000000 99.813 173.5807
4180.000000 99.817 172.6764
4250.000000 99.759 171.5976
4310.000000 99.681 170.7937
4370.000000 99.593 170.0842
4440.000000 99.486 169.3204
4500.000000 99.389 168.6904
4550.000000 99.303 168.1807
4620.000000 99.179 167.4626
4680.000000 99.070 166.8311
4750.000000 98.934 166.1005
4820.000000 98.784 165.3956
4870.000000 98.669 164.9199
4940.000000 98.497 164.3133
5000.000000 98.341 163.8631
5080.000000 98.123 163.3812
5150.000000 97.928 163.0738
5220.000000 97.731 162.8647
5300.000000 97.506 162.7351
5380.000000 97.281 162.7145
5450.000000 97.083 162.7837
5520.000000 96.886 162.9398
5600.000000 96.662 163.2321
5700.000000 96.389 163.7672
5800.000000 96.125 164.5080
5900.000000 95.877 165.4587
6000.000000 95.652 166.6100
6080.000000 95.494 167.6612
6150.000000 95.374 168.6600
6220.000000 95.272 169.7159
