* Measurement data measured by REW V5.20.13
* Source: EXCL: Headset (KM-HIFI-384KHZ), MICROPHONE (Master Volume), 0, volume: 1.000
* Format: 256k Log Swept Sine, 1 sweep at -13.0 dBFS with no timing reference
* Dated: Aug 12, 2023 11:58:08 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: Aug 12
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	108.176	177.4841
20.299999	108.147	176.8885
20.600000	108.120	176.3059
20.900000	108.093	175.7300
21.200001	108.066	175.1557
21.400000	108.047	174.7745
21.799999	108.008	174.0244
22.000000	107.987	173.6600
22.400000	107.944	172.9613
22.700001	107.914	172.4620
23.000000	107.885	171.9748
23.299999	107.859	171.4877
23.600000	107.833	170.9939
24.000000	107.797	170.3235
24.299999	107.767	169.8214
24.700001	107.723	169.1724
25.000000	107.688	168.7120
25.400000	107.641	168.1364
25.799999	107.597	167.5940
26.200001	107.556	167.0694
26.500000	107.527	166.6810
26.900000	107.489	166.1660
27.200001	107.462	165.7803
27.600000	107.425	165.2638
28.000000	107.389	164.7412
28.500000	107.339	164.0826
29.000000	107.285	163.4382
29.500000	107.227	162.8297
30.000000	107.168	162.2583
30.400000	107.123	161.8168
30.700001	107.089	161.4902
31.100000	107.042	161.0628
31.500000	106.995	160.6516
32.000000	106.938	160.1649
32.500000	106.884	159.6938
33.000000	106.832	159.2128
33.500000	106.779	158.7190
34.000000	106.722	158.2376
34.500000	106.665	157.7883
35.000000	106.611	157.3596
35.500000	106.559	156.9250
36.000000	106.507	156.4797
36.500000	106.452	156.0451
37.000000	106.396	155.6368
37.500000	106.344	155.2426
38.200001	106.272	154.6797
38.700001	106.219	154.2767
39.500000	106.131	153.6733
40.000000	106.078	153.3143
40.599998	106.015	152.8885
41.200001	105.951	152.4844
41.799999	105.889	152.1088
42.500000	105.823	151.6674
43.099998	105.765	151.2720
43.700001	105.703	150.8940
44.400002	105.634	150.4825
45.000000	105.578	150.1133
45.500000	105.528	149.7873
46.200001	105.449	149.3562
46.799999	105.381	149.0429
47.500000	105.306	148.7099
48.200001	105.234	148.3772
48.700001	105.185	148.1428
49.400002	105.118	147.8143
50.000000	105.063	147.5147
50.799999	104.986	147.1011
51.500000	104.915	146.7622
52.200001	104.846	146.4488
53.000000	104.769	146.1060
53.799999	104.693	145.7791
54.500000	104.629	145.4990
55.200001	104.564	145.2165
56.000000	104.489	144.9021
57.000000	104.394	144.5372
58.000000	104.301	144.1823
59.000000	104.209	143.8237
60.000000	104.116	143.4825
60.799999	104.043	143.2227
61.500000	103.982	142.9935
62.200001	103.920	142.7649
63.000000	103.849	142.5172
64.000000	103.762	142.2299
65.000000	103.676	141.9578
66.000000	103.591	141.6986
67.000000	103.507	141.4484
68.000000	103.423	141.2057
69.000000	103.341	140.9575
70.000000	103.258	140.7056
71.000000	103.173	140.4745
72.000000	103.091	140.2600
73.000000	103.010	140.0508
74.000000	102.929	139.8511
75.000000	102.850	139.6611
76.199997	102.755	139.4433
77.500000	102.654	139.2135
78.800003	102.554	138.9931
80.000000	102.463	138.8019
81.199997	102.375	138.6081
82.500000	102.279	138.3990
83.800003	102.183	138.2054
85.000000	102.096	138.0363
86.199997	102.010	137.8744
87.500000	101.915	137.7079
88.500000	101.843	137.5985
90.000000	101.738	137.4493
91.199997	101.655	137.3316
92.500000	101.566	137.2097
93.800003	101.478	137.0897
95.000000	101.397	136.9871
96.199997	101.318	136.8911
97.500000	101.232	136.7892
98.800003	101.148	136.6944
100.000000	101.071	136.6144
101.500000	100.976	136.5176
103.000000	100.882	136.4289
104.400002	100.795	136.3544
106.000000	100.697	136.2790
107.500000	100.606	136.2199
109.000000	100.516	136.1686
110.599998	100.420	136.1155
112.000000	100.337	136.0753
113.800003	100.231	136.0316
115.000000	100.163	136.0059
117.199997	100.040	135.9618
118.000000	99.996	135.9464
120.599998	99.853	135.9183
122.000000	99.777	135.9156
124.099998	99.665	135.9039
125.000000	99.617	135.8985
126.500000	99.539	135.8926
128.000000	99.462	135.8929
131.500000	99.285	135.9148
132.000000	99.259	135.9202
134.000000	99.159	135.9470
136.000000	99.059	135.9790
138.000000	98.960	136.0129
140.000000	98.861	136.0530
143.000000	98.714	136.1208
145.000000	98.618	136.1552
147.500000	98.500	136.2000
150.000000	98.383	136.2609
152.500000	98.270	136.3411
155.000000	98.158	136.4313
157.500000	98.045	136.5347
160.000000	97.933	136.6591
162.500000	97.823	136.7939
165.000000	97.713	136.9427
167.500000	97.604	137.1052
170.000000	97.495	137.2770
172.500000	97.387	137.4584
175.000000	97.278	137.6696
177.500000	97.171	137.9087
180.000000	97.068	138.1707
182.500000	96.966	138.4775
185.000000	96.869	138.8410
187.500000	96.777	139.2433
190.000000	96.695	139.6574
192.500000	96.624	140.0663
195.000000	96.564	140.4491
197.500000	96.512	140.7862
200.000000	96.464	141.0693
203.000000	96.408	141.3466
206.000000	96.346	141.5766
209.000000	96.279	141.7812
212.000000	96.208	141.9843
214.000000	96.160	142.1328
218.000000	96.067	142.4782
220.000000	96.023	142.6619
224.000000	95.939	143.0179
227.000000	95.881	143.2647
230.000000	95.824	143.4883
233.000000	95.766	143.6975
236.000000	95.709	143.8894
240.000000	95.632	144.1219
243.000000	95.573	144.2916
247.000000	95.492	144.5237
250.000000	95.431	144.7019
254.000000	95.352	144.9425
258.000000	95.275	145.1903
262.000000	95.200	145.4285
265.000000	95.144	145.5903
269.000000	95.068	145.7954
272.000000	95.009	145.9510
276.000000	94.928	146.1638
280.000000	94.845	146.3896
285.000000	94.739	146.6954
290.000000	94.634	147.0227
295.000000	94.532	147.3797
300.000000	94.432	147.7648
304.000000	94.355	148.0805
307.000000	94.299	148.3215
311.000000	94.225	148.6494
315.000000	94.152	148.9797
320.000000	94.063	149.3984
325.000000	93.976	149.8337
330.000000	93.893	150.2756
335.000000	93.812	150.7079
340.000000	93.735	151.1380
345.000000	93.659	151.5772
350.000000	93.584	152.0197
355.000000	93.511	152.4642
360.000000	93.440	152.9125
365.000000	93.372	153.3625
370.000000	93.306	153.8142
375.000000	93.241	154.2669
382.000000	93.152	154.8970
387.000000	93.091	155.3459
395.000000	92.997	156.0720
400.000000	92.939	156.5251
406.000000	92.872	157.0680
412.000000	92.807	157.6123
418.000000	92.744	158.1539
425.000000	92.673	158.7873
431.000000	92.614	159.3334
437.000000	92.558	159.8795
444.000000	92.493	160.5152
450.000000	92.439	161.0604
455.000000	92.396	161.5133
462.000000	92.338	162.1458
468.000000	92.290	162.6876
475.000000	92.236	163.3200
482.000000	92.183	163.9501
487.000000	92.147	164.3991
494.000000	92.098	165.0267
500.000000	92.057	165.5651
508.000000	92.005	166.2834
515.000000	91.960	166.9127
522.000000	91.917	167.5425
530.000000	91.871	168.2617
538.000000	91.827	168.9802
545.000000	91.790	169.6075
552.000000	91.755	170.2363
560.000000	91.717	170.9595
570.000000	91.672	171.8575
580.000000	91.631	172.7527
590.000000	91.592	173.6512
600.000000	91.556	174.5529
608.000000	91.530	175.2738
615.000000	91.508	175.9044
622.000000	91.489	176.5338
630.000000	91.468	177.2539
640.000000	91.444	178.1573
650.000000	91.424	179.0637
660.000000	91.407	179.9694
670.000000	91.392	-179.1263
680.000000	91.381	-178.2195
690.000000	91.373	-177.3093
700.000000	91.369	-176.3990
710.000000	91.368	-175.4870
720.000000	91.370	-174.5772
730.000000	91.376	-173.6671
740.000000	91.385	-172.7552
750.000000	91.398	-171.8436
762.000000	91.419	-170.7521
775.000000	91.448	-169.5753
788.000000	91.483	-168.4040
800.000000	91.522	-167.3306
812.000000	91.567	-166.2665
825.000000	91.622	-165.1257
838.000000	91.683	-164.0004
850.000000	91.747	-162.9764
862.000000	91.816	-161.9718
875.000000	91.898	-160.9086
885.000000	91.966	-160.1118
900.000000	92.075	-158.9522
912.000000	92.168	-158.0532
925.000000	92.276	-157.1181
938.000000	92.389	-156.2327
950.000000	92.497	-155.4602
962.000000	92.608	-154.7280
975.000000	92.731	-153.9781
988.000000	92.857	-153.2750
1000.000000	92.975	-152.6688
1015.000000	93.125	-151.9716
1030.000000	93.276	-151.3438
1044.000000	93.416	-150.8137
1060.000000	93.576	-150.2658
1075.000000	93.724	-149.8107
1090.000000	93.870	-149.4134
1106.000000	94.023	-149.0432
1120.000000	94.153	-148.7569
1138.000000	94.317	-148.4340
1150.000000	94.423	-148.2462
1172.000000	94.613	-147.9554
1180.000000	94.679	-147.8632
1206.000000	94.890	-147.5996
1220.000000	94.998	-147.4765
1241.000000	95.156	-147.3121
1250.000000	95.222	-147.2491
1265.000000	95.331	-147.1537
1280.000000	95.438	-147.0694
1315.000000	95.678	-146.9035
1320.000000	95.712	-146.8825
1340.000000	95.845	-146.8053
1360.000000	95.975	-146.7387
1380.000000	96.104	-146.6838
1400.000000	96.232	-146.6396
1430.000000	96.421	-146.5916
1450.000000	96.546	-146.5748
1475.000000	96.702	-146.5751
1500.000000	96.858	-146.5990
1525.000000	97.013	-146.6477
1550.000000	97.166	-146.7247
1575.000000	97.318	-146.8302
1600.000000	97.470	-146.9647
1625.000000	97.620	-147.1310
1650.000000	97.769	-147.3333
1675.000000	97.917	-147.5707
1700.000000	98.062	-147.8391
1725.000000	98.204	-148.1396
1750.000000	98.344	-148.4733
1775.000000	98.480	-148.8402
1800.000000	98.614	-149.2398
1825.000000	98.744	-149.6699
1850.000000	98.870	-150.1265
1875.000000	98.992	-150.6085
1900.000000	99.109	-151.1165
1925.000000	99.222	-151.6465
1950.000000	99.331	-152.1884
1975.000000	99.439	-152.7548
2000.000000	99.543	-153.3548
2030.000000	99.661	-154.0893
2060.000000	99.768	-154.8202
2090.000000	99.865	-155.5712
2120.000000	99.955	-156.3400
2140.000000	100.011	-156.8575
2180.000000	100.112	-157.8941
2200.000000	100.158	-158.4081
2240.000000	100.242	-159.4284
2270.000000	100.298	-160.1898
2300.000000	100.350	-160.9481
2330.000000	100.395	-161.7017
2360.000000	100.435	-162.4474
2400.000000	100.480	-163.4252
2430.000000	100.508	-164.1449
2470.000000	100.537	-165.0857
2500.000000	100.554	-165.7756
2540.000000	100.570	-166.6704
2580.000000	100.579	-167.5354
2620.000000	100.582	-168.3711
2650.000000	100.581	-168.9785
2690.000000	100.574	-169.7630
2720.000000	100.565	-170.3298
2760.000000	100.549	-171.0530
2800.000000	100.528	-171.7399
2850.000000	100.498	-172.5488
2900.000000	100.462	-173.3035
2950.000000	100.422	-174.0050
3000.000000	100.378	-174.6506
3040.000000	100.340	-175.1246
3070.000000	100.311	-175.4533
3110.000000	100.270	-175.8509
3150.000000	100.228	-176.1972
3200.000000	100.178	-176.5524
3250.000000	100.134	-176.8199
3300.000000	100.102	-177.0129
3350.000000	100.087	-177.1779
3400.000000	100.089	-177.3798
3450.000000	100.100	-177.6606
3500.000000	100.111	-178.0198
3550.000000	100.118	-178.4304
3600.000000	100.121	-178.8612
3650.000000	100.119	-179.2908
3700.000000	100.116	-179.7128
3750.000000	100.114	179.8669
3820.000000	100.114	179.2647
3870.000000	100.115	178.8139
3950.000000	100.116	178.0346
4000.000000	100.114	177.5074
4060.000000	100.105	176.8449
4120.000000	100.089	176.1752
4180.000000	100.070	175.5239
4250.000000	100.049	174.7805
4310.000000	100.038	174.1149
4370.000000	100.029	173.3807
4440.000000	100.015	172.4092
4500.000000	99.994	171.4754
4550.000000	99.967	170.6355
4620.000000	99.910	169.3876
4680.000000	99.843	168.2737
4750.000000	99.740	166.9575
4820.000000	99.611	165.6587
4870.000000	99.503	164.7591
4940.000000	99.330	163.5604
5000.000000	99.162	162.6131
5080.000000	98.913	161.4936
5150.000000	98.681	160.6504
5220.000000	98.440	159.9557
5300.000000	98.155	159.3550
5380.000000	97.865	158.9617
5450.000000	97.610	158.7853
5520.000000	97.357	158.7591
5600.000000	97.073	158.9040
