* Measurement data measured by REW V5.20.13
* Source: EXCL: Headset (KM-HIFI-384KHZ), MICROPHONE (Master Volume), 0, volume: 1.000
* Format: 256k Log Swept Sine, 1 sweep at -13.0 dBFS with no timing reference
* Dated: Aug 12, 2023 11:59:04 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: Aug 12
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	107.579	-179.2703
20.299999	107.557	-179.8544
20.600000	107.537	179.5590
20.900000	107.517	178.9646
21.200001	107.495	178.3719
21.400000	107.479	177.9873
21.799999	107.446	177.2518
22.000000	107.430	176.9009
22.400000	107.401	176.2200
22.700001	107.382	175.7115
23.000000	107.363	175.1959
23.299999	107.342	174.6790
23.600000	107.318	174.1704
24.000000	107.285	173.5182
24.299999	107.260	173.0480
24.700001	107.228	172.4315
25.000000	107.203	171.9667
25.400000	107.167	171.3445
25.799999	107.126	170.7427
26.200001	107.082	170.1843
26.500000	107.052	169.7899
26.900000	107.015	169.2697
27.200001	106.990	168.8614
27.600000	106.954	168.2827
28.000000	106.910	167.6942
28.500000	106.843	167.0255
29.000000	106.779	166.4730
29.500000	106.729	165.9701
30.000000	106.691	165.4148
30.400000	106.657	164.9246
30.700001	106.626	164.5577
31.100000	106.581	164.1132
31.500000	106.538	163.7351
32.000000	106.497	163.3121
32.500000	106.470	162.8498
33.000000	106.444	162.2912
33.500000	106.407	161.6643
34.000000	106.355	161.0399
34.500000	106.289	160.4775
35.000000	106.215	160.0114
35.500000	106.143	159.6598
36.000000	106.081	159.4082
36.500000	106.040	159.1936
37.000000	106.019	158.9123
37.500000	106.008	158.4810
38.200001	105.975	157.6155
38.700001	105.921	156.9214
39.500000	105.787	156.0184
40.000000	105.697	155.6741
40.599998	105.607	155.4134
41.200001	105.539	155.1680
41.799999	105.477	154.8797
42.500000	105.398	154.5820
43.099998	105.337	154.4458
43.700001	105.300	154.3695
44.400002	105.289	154.1711
45.000000	105.290	153.7823
45.500000	105.279	153.3167
46.200001	105.232	152.5970
46.799999	105.168	152.0577
47.500000	105.089	151.5625
48.200001	105.015	151.1389
48.700001	104.966	150.8492
49.400002	104.899	150.4618
50.000000	104.844	150.1462
50.799999	104.774	149.7335
51.500000	104.713	149.3792
52.200001	104.654	149.0397
53.000000	104.586	148.6699
53.799999	104.518	148.3164
54.500000	104.456	148.0233
55.200001	104.392	147.7530
56.000000	104.319	147.4712
57.000000	104.228	147.1207
58.000000	104.130	146.7654
59.000000	104.030	146.4279
60.000000	103.935	146.0686
60.799999	103.860	145.7527
61.500000	103.796	145.4641
62.200001	103.733	145.1754
63.000000	103.665	144.8586
64.000000	103.586	144.4829
65.000000	103.512	144.1339
66.000000	103.438	143.8306
67.000000	103.364	143.5655
68.000000	103.287	143.3284
69.000000	103.207	143.1022
70.000000	103.124	142.8652
71.000000	103.039	142.6147
72.000000	102.953	142.3545
73.000000	102.871	142.0931
74.000000	102.794	141.8358
75.000000	102.721	141.5795
76.199997	102.633	141.2861
77.500000	102.536	141.0311
78.800003	102.442	140.8119
80.000000	102.355	140.6064
81.199997	102.267	140.3950
82.500000	102.170	140.1678
83.800003	102.076	139.9483
85.000000	101.991	139.7557
86.199997	101.908	139.5741
87.500000	101.818	139.3829
88.500000	101.749	139.2428
90.000000	101.645	139.0524
91.199997	101.564	138.9009
92.500000	101.476	138.7359
93.800003	101.387	138.5867
95.000000	101.307	138.4642
96.199997	101.229	138.3474
97.500000	101.145	138.2211
98.800003	101.062	138.0977
100.000000	100.984	137.9901
101.500000	100.888	137.8759
103.000000	100.797	137.7741
104.400002	100.714	137.6677
106.000000	100.618	137.5432
107.500000	100.527	137.4352
109.000000	100.435	137.3443
110.599998	100.338	137.2737
112.000000	100.256	137.2125
113.800003	100.153	137.1161
