* Measurement data measured by REW V5.20.13
* Source: EXCL: Headset (KM-HIFI-384KHZ), MICROPHONE (Master Volume), 0, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -13.0 dBFS with no timing reference
* Dated: Sep 9, 2023 6:35:54 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Olina SE L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	100.573	-143.2991
20.299999	100.598	-144.1505
20.600000	100.616	-144.9790
20.900000	100.630	-145.7741
21.200001	100.641	-146.5292
21.400000	100.648	-147.0106
21.799999	100.661	-147.9282
22.000000	100.668	-148.3695
22.400000	100.685	-149.2301
22.700001	100.698	-149.8645
23.000000	100.710	-150.4936
23.299999	100.722	-151.1163
23.600000	100.732	-151.7297
24.000000	100.744	-152.5269
24.299999	100.752	-153.1064
24.700001	100.762	-153.8560
25.000000	100.771	-154.4064
25.400000	100.782	-155.1342
25.799999	100.792	-155.8618
26.200001	100.798	-156.5839
26.500000	100.800	-157.1110
26.900000	100.800	-157.7812
27.200001	100.799	-158.2557
27.600000	100.800	-158.8596
28.000000	100.805	-159.4535
28.500000	100.813	-160.2116
29.000000	100.816	-160.9815
29.500000	100.813	-161.7241
30.000000	100.810	-162.4178
30.400000	100.810	-162.9543
30.700001	100.812	-163.3606
31.100000	100.815	-163.9173
31.500000	100.814	-164.4840
32.000000	100.809	-165.1776
32.500000	100.801	-165.8309
33.000000	100.794	-166.4512
33.500000	100.790	-167.0598
34.000000	100.787	-167.6645
34.500000	100.782	-168.2567
35.000000	100.776	-168.8284
35.500000	100.770	-169.3811
36.000000	100.766	-169.9201
36.500000	100.761	-170.4499
37.000000	100.755	-170.9753
37.500000	100.747	-171.4975
38.200001	100.730	-172.2073
38.700001	100.714	-172.6841
39.500000	100.690	-173.4030
40.000000	100.676	-173.8454
40.599998	100.658	-174.3773
41.200001	100.640	-174.9059
41.799999	100.622	-175.4363
42.500000	100.598	-176.0662
43.099998	100.575	-176.6001
43.700001	100.551	-177.1076
44.400002	100.525	-177.6665
45.000000	100.506	-178.1294
45.500000	100.492	-178.5084
46.200001	100.475	-179.0337
46.799999	100.460	-179.4813
47.500000	100.440	-179.9864
48.200001	100.420	179.5372
48.700001	100.407	179.2035
49.400002	100.387	178.7291
50.000000	100.364	178.3265
50.799999	100.329	177.8262
51.500000	100.298	177.4221
52.200001	100.269	177.0323
53.000000	100.238	176.5841
53.799999	100.208	176.1200
54.500000	100.179	175.7188
55.200001	100.153	175.3389
56.000000	100.127	174.9046
57.000000	100.095	174.3348
58.000000	100.056	173.8046
59.000000	100.020	173.3278
60.000000	99.987	172.8494
