* Measurement data measured by REW V5.20.13
* Source: EXCL: Headset (KM-HIFI-384KHZ), MICROPHONE (Master Volume), 0, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -13.0 dBFS with no timing reference
* Dated: Sep 9, 2023 6:34:49 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Olina SE R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	101.648	-142.2661
20.299999	101.673	-143.0693
20.600000	101.698	-143.8543
20.900000	101.721	-144.6245
21.200001	101.744	-145.3823
21.400000	101.758	-145.8806
21.799999	101.785	-146.8586
22.000000	101.797	-147.3374
22.400000	101.820	-148.2722
22.700001	101.836	-148.9540
23.000000	101.851	-149.6207
23.299999	101.866	-150.2743
23.600000	101.879	-150.9163
24.000000	101.896	-151.7555
24.299999	101.907	-152.3720
24.700001	101.920	-153.1754
25.000000	101.928	-153.7626
25.400000	101.938	-154.5232
25.799999	101.946	-155.2585
26.200001	101.954	-155.9712
26.500000	101.960	-156.4943
26.900000	101.967	-157.1810
27.200001	101.972	-157.6897
27.600000	101.977	-158.3592
28.000000	101.980	-159.0159
28.500000	101.983	-159.8165
29.000000	101.984	-160.6000
29.500000	101.985	-161.3749
30.000000	101.982	-162.1415
30.400000	101.977	-162.7421
30.700001	101.973	-163.1811
31.100000	101.966	-163.7486
31.500000	101.958	-164.2961
32.000000	101.951	-164.9559
32.500000	101.945	-165.5962
33.000000	101.942	-166.2297
33.500000	101.939	-166.8659
34.000000	101.935	-167.4994
34.500000	101.928	-168.1098
35.000000	101.921	-168.6851
35.500000	101.917	-169.2392
36.000000	101.914	-169.7971
36.500000	101.910	-170.3629
37.000000	101.902	-170.9126
37.500000	101.891	-171.4266
38.200001	101.881	-172.1136
38.700001	101.875	-172.6189
39.500000	101.856	-173.4468
40.000000	101.839	-173.9362
40.599998	101.818	-174.4828
41.200001	101.800	-175.0143
41.799999	101.783	-175.5539
42.500000	101.761	-176.1885
43.099998	101.740	-176.7225
43.700001	101.718	-177.2401
44.400002	101.692	-177.8222
45.000000	101.672	-178.3076
45.500000	101.655	-178.7075
46.200001	101.632	-179.2601
46.799999	101.611	-179.7214
47.500000	101.587	179.7563
48.200001	101.564	179.2410
48.700001	101.547	178.8734
49.400002	101.520	178.3671
50.000000	101.496	177.9507
50.799999	101.465	177.4184
51.500000	101.438	176.9604
52.200001	101.412	176.5081
53.000000	101.381	176.0057
53.799999	101.350	175.5123
54.500000	101.323	175.0823
55.200001	101.295	174.6609
56.000000	101.262	174.1958
57.000000	101.221	173.6294
58.000000	101.179	173.0789
59.000000	101.136	172.5497
60.000000	101.095	172.0331
60.799999	101.061	171.6278
61.500000	101.032	171.2818
62.200001	101.004	170.9409
63.000000	100.972	170.5495
64.000000	100.930	170.0591
65.000000	100.884	169.5942
66.000000	100.840	169.1547
67.000000	100.797	168.7205
68.000000	100.753	168.2932
69.000000	100.708	167.8782
70.000000	100.663	167.4782
71.000000	100.619	167.0906
72.000000	100.574	166.7087
73.000000	100.530	166.3333
74.000000	100.484	165.9702
75.000000	100.439	165.6182
76.199997	100.385	165.2014
77.500000	100.325	164.7637
78.800003	100.265	164.3461
80.000000	100.209	163.9716
81.199997	100.153	163.6145
82.500000	100.092	163.2449
83.800003	100.032	162.8940
85.000000	99.978	162.5845
86.199997	99.924	162.2849
87.500000	99.868	161.9783
88.500000	99.827	161.7466
90.000000	99.767	161.3869
91.199997	99.717	161.0973
92.500000	99.661	160.7872
93.800003	99.605	160.4854
95.000000	99.551	160.2131
96.199997	99.496	159.9493
97.500000	99.436	159.6778
98.800003	99.376	159.4241
100.000000	99.322	159.1954
101.500000	99.254	158.9164
103.000000	99.186	158.6572
104.400002	99.121	158.4339
106.000000	99.046	158.2034
107.500000	98.975	158.0069
109.000000	98.904	157.8172
110.599998	98.827	157.6332
112.000000	98.761	157.4991
113.800003	98.680	157.3488
115.000000	98.626	157.2642
117.199997	98.521	157.1835
118.000000	98.483	157.1874
120.599998	98.374	157.2915
122.000000	98.328	157.3818
124.099998	98.282	157.5139
125.000000	98.269	157.5410
126.500000	98.255	157.5211
128.000000	98.240	157.4120
131.500000	98.174	156.9850
132.000000	98.161	156.9319
134.000000	98.107	156.7686
136.000000	98.059	156.6489
138.000000	98.019	156.4982
140.000000	97.980	156.2808
143.000000	97.911	155.8859
145.000000	97.857	155.6235
147.500000	97.782	155.3261
150.000000	97.702	155.0749
152.500000	97.620	154.8648
155.000000	97.539	154.6788
157.500000	97.457	154.5063
160.000000	97.376	154.3575
162.500000	97.297	154.2327
165.000000	97.218	154.1316
167.500000	97.139	154.0490
170.000000	97.062	153.9785
172.500000	96.985	153.9183
175.000000	96.910	153.8705
177.500000	96.835	153.8355
180.000000	96.761	153.8119
182.500000	96.687	153.7996
185.000000	96.613	153.7992
187.500000	96.540	153.8109
190.000000	96.467	153.8358
