* Measurement data measured by REW V5.20.13
* Source: Headset (KM-HIFI-384KHZ), MICROPHONE (Master Volume), R, volume: 0.610
* Format: 256k Log Swept Sine, 1 sweep at -13.0 dBFS with no timing reference
* Dated: Aug 6, 2023 9:49:46 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Quarks Left
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	88.149	-146.8416
20.299999	88.227	-147.1506
20.600000	88.280	-147.7100
20.900000	88.299	-148.3513
21.200001	88.297	-148.9141
21.400000	88.297	-149.2348
21.799999	88.316	-149.8657
22.000000	88.333	-150.2422
22.400000	88.365	-151.2204
22.700001	88.360	-152.0749
23.000000	88.320	-152.8391
23.299999	88.262	-153.3296
23.600000	88.215	-153.4995
24.000000	88.218	-153.3722
24.299999	88.282	-153.2802
24.700001	88.419	-153.4879
25.000000	88.520	-153.9509
25.400000	88.609	-154.8044
25.799999	88.640	-155.5864
26.200001	88.642	-156.0806
26.500000	88.646	-156.2823
26.900000	88.668	-156.4556
27.200001	88.693	-156.6053
27.600000	88.726	-156.8896
28.000000	88.749	-157.2697
28.500000	88.751	-157.8443
29.000000	88.715	-158.4286
29.500000	88.647	-158.8144
30.000000	88.597	-158.8617
30.400000	88.610	-158.8041
30.700001	88.655	-158.8698
31.100000	88.738	-159.2764
31.500000	88.810	-160.0449
32.000000	88.844	-161.2182
32.500000	88.827	-162.2175
33.000000	88.803	-162.8987
33.500000	88.791	-163.3828
34.000000	88.782	-163.7237
34.500000	88.776	-163.8298
35.000000	88.795	-163.7141
35.500000	88.848	-163.6070
36.000000	88.904	-163.6915
36.500000	88.927	-163.8667
37.000000	88.920	-163.8852
37.500000	88.922	-163.7016
38.200001	88.979	-163.5582
38.700001	89.024	-163.7971
39.500000	89.034	-164.4678
40.000000	89.019	-164.8043
40.599998	89.017	-165.1620
41.200001	89.029	-165.6539
41.799999	89.028	-166.2452
42.500000	89.005	-166.8015
43.099998	88.992	-167.0814
43.700001	88.998	-167.2814
44.400002	89.017	-167.4976
45.000000	89.036	-167.6601
45.500000	89.057	-167.8028
46.200001	89.084	-168.0945
46.799999	89.090	-168.4199
47.500000	89.073	-168.7433
48.200001	89.056	-168.9563
48.700001	89.051	-169.0979
49.400002	89.050	-169.3355
50.000000	89.052	-169.5577
50.799999	89.061	-169.8864
51.500000	89.067	-170.2237
52.200001	89.065	-170.5486
53.000000	89.061	-170.8592
53.799999	89.057	-171.1474
54.500000	89.049	-171.3755
55.200001	89.041	-171.5674
56.000000	89.040	-171.7886
57.000000	89.043	-172.1332
58.000000	89.043	-172.5463
59.000000	89.040	-172.9510
60.000000	89.042	-173.3314
60.799999	89.045	-173.6542
61.500000	89.044	-173.9212
62.200001	89.044	-174.1525
63.000000	89.050	-174.4087
64.000000	89.056	-174.7466
65.000000	89.059	-175.0298
66.000000	89.073	-175.2834
67.000000	89.087	-175.5845
68.000000	89.091	-175.8823
69.000000	89.089	-176.1596
70.000000	89.076	-176.3887
71.000000	89.067	-176.5543
72.000000	89.068	-176.7855
73.000000	89.063	-177.0831
74.000000	89.059	-177.3755
75.000000	89.059	-177.6952
76.199997	89.055	-178.1005
77.500000	89.048	-178.4645
78.800003	89.045	-178.7793
80.000000	89.038	-179.0607
81.199997	89.028	-179.2904
82.500000	89.021	-179.5346
83.800003	89.011	-179.8085
85.000000	88.998	179.9500
86.199997	88.986	179.7211
87.500000	88.974	179.4481
88.500000	88.962	179.2411
90.000000	88.945	178.9579
91.199997	88.933	178.7386
92.500000	88.920	178.4970
93.800003	88.905	178.2608
95.000000	88.890	178.0562
96.199997	88.877	177.8529
97.500000	88.865	177.6218
98.800003	88.852	177.3813
100.000000	88.839	177.1660
101.500000	88.821	176.9179
103.000000	88.804	176.6774
104.400002	88.790	176.4432
106.000000	88.774	176.1646
107.500000	88.758	175.9039
109.000000	88.742	175.6729
110.599998	88.725	175.4534
112.000000	88.711	175.2643
113.800003	88.690	175.0038
115.000000	88.676	174.8172
117.199997	88.656	174.4697
118.000000	88.651	174.3350
120.599998	88.619	173.8991
122.000000	88.594	173.7839
124.099998	88.567	173.6260
125.000000	88.554	173.5389
126.500000	88.532	173.3758
128.000000	88.512	173.1980
131.500000	88.471	172.7625
132.000000	88.465	172.7039
134.000000	88.439	172.4848
136.000000	88.411	172.2743
138.000000	88.384	172.0546
140.000000	88.356	171.8357
143.000000	88.314	171.5490
145.000000	88.287	171.3726
147.500000	88.252	171.1541
150.000000	88.213	170.9418
152.500000	88.173	170.7427
155.000000	88.137	170.5519
157.500000	88.102	170.3459
160.000000	88.063	170.1453
162.500000	88.024	169.9741
165.000000	87.988	169.7961
167.500000	87.951	169.6098
170.000000	87.915	169.4420
172.500000	87.880	169.2943
175.000000	87.844	169.1543
177.500000	87.808	169.0053
180.000000	87.772	168.8350
182.500000	87.734	168.6742
185.000000	87.693	168.5491
187.500000	87.652	168.4569
190.000000	87.615	168.3553
192.500000	87.578	168.2238
195.000000	87.538	168.0992
197.500000	87.495	168.0062
200.000000	87.453	167.9333
203.000000	87.405	167.8502
206.000000	87.358	167.7582
209.000000	87.309	167.6544
212.000000	87.259	167.5472
214.000000	87.227	167.4833
218.000000	87.166	167.3740
220.000000	87.138	167.3267
224.000000	87.081	167.2455
227.000000	87.038	167.1812
230.000000	86.996	167.1075
233.000000	86.957	167.0394
236.000000	86.921	166.9884
240.000000	86.870	166.9299
243.000000	86.833	166.8714
247.000000	86.786	166.7935
250.000000	86.751	166.7552
254.000000	86.706	166.7247
258.000000	86.658	166.7094
262.000000	86.609	166.6924
265.000000	86.572	166.6805
269.000000	86.525	166.6896
272.000000	86.487	166.7055
276.000000	86.435	166.7222
280.000000	86.385	166.7497
285.000000	86.321	166.7982
290.000000	86.256	166.8451
295.000000	86.192	166.9016
300.000000	86.129	166.9710
304.000000	86.078	167.0333
307.000000	86.041	167.0848
311.000000	85.990	167.1635
315.000000	85.940	167.2505
320.000000	85.879	167.3635
325.000000	85.819	167.4835
330.000000	85.760	167.6116
335.000000	85.702	167.7444
340.000000	85.646	167.8792
345.000000	85.590	168.0248
350.000000	85.535	168.1835
355.000000	85.480	168.3498
360.000000	85.427	168.5179
365.000000	85.375	168.6898
370.000000	85.323	168.8665
375.000000	85.272	169.0481
382.000000	85.203	169.3137
387.000000	85.155	169.5081
395.000000	85.081	169.8262
400.000000	85.036	170.0287
406.000000	84.983	170.2732
412.000000	84.931	170.5181
418.000000	84.882	170.7617
425.000000	84.827	171.0520
431.000000	84.781	171.3093
437.000000	84.736	171.5663
444.000000	84.686	171.8600
450.000000	84.643	172.1173
455.000000	84.606	172.3403
462.000000	84.556	172.6653
468.000000	84.513	172.9480
475.000000	84.463	173.2773
482.000000	84.415	173.6096
487.000000	84.381	173.8525
494.000000	84.335	174.2025
500.000000	84.296	174.5120
508.000000	84.245	174.9333
515.000000	84.202	175.3056
522.000000	84.159	175.6841
530.000000	84.111	176.1265
538.000000	84.064	176.5760
545.000000	84.024	176.9793
552.000000	83.984	177.3934
560.000000	83.939	177.8724
570.000000	83.886	178.4774
580.000000	83.834	179.0897
590.000000	83.785	179.7097
600.000000	83.739	-179.6581
608.000000	83.705	-179.1437
615.000000	83.676	-178.6917
622.000000	83.649	-178.2393
630.000000	83.620	-177.7189
640.000000	83.586	-177.0603
650.000000	83.553	-176.3903
