* Measurement data measured by REW V5.20.13
* Source: Headset (KM-HIFI-384KHZ), MICROPHONE (Master Volume), R, volume: 0.610
* Format: 256k Log Swept Sine, 1 sweep at -13.0 dBFS with no timing reference
* Dated: Aug 6, 2023 9:49:18 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Quarks Right
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	86.952	-125.2477
20.299999	86.965	-125.9839
20.600000	86.987	-126.8119
20.900000	87.013	-127.7231
21.200001	87.036	-128.6807
21.400000	87.048	-129.3018
21.799999	87.072	-130.4219
22.000000	87.090	-130.8948
22.400000	87.155	-131.6775
22.700001	87.238	-132.2237
23.000000	87.346	-132.8677
23.299999	87.455	-133.6805
23.600000	87.545	-134.6342
24.000000	87.604	-135.9398
24.299999	87.601	-136.7148
24.700001	87.561	-137.2220
25.000000	87.545	-137.1799
25.400000	87.587	-136.7786
25.799999	87.713	-136.4559
26.200001	87.876	-136.6146
26.500000	87.980	-137.0845
26.900000	88.055	-137.9796
27.200001	88.062	-138.6296
27.600000	88.032	-139.2441
28.000000	88.004	-139.5544
28.500000	88.020	-139.8646
29.000000	88.062	-140.5072
29.500000	88.071	-141.4152
30.000000	88.041	-142.1335
30.400000	88.036	-142.4272
30.700001	88.067	-142.5780
31.100000	88.154	-142.9331
31.500000	88.258	-143.6270
32.000000	88.346	-144.8734
32.500000	88.358	-146.0533
33.000000	88.339	-146.7338
33.500000	88.357	-146.9817
34.000000	88.429	-147.1953
34.500000	88.514	-147.6232
35.000000	88.576	-148.1747
35.500000	88.613	-148.6566
36.000000	88.648	-149.0562
36.500000	88.684	-149.5042
37.000000	88.700	-150.0438
37.500000	88.685	-150.5357
38.200001	88.653	-150.8818
38.700001	88.664	-150.9811
39.500000	88.741	-151.4695
40.000000	88.783	-152.0775
40.599998	88.796	-152.9291
41.200001	88.773	-153.6655
41.799999	88.737	-154.1309
42.500000	88.726	-154.3350
43.099998	88.769	-154.4729
43.700001	88.837	-154.8518
44.400002	88.887	-155.5559
45.000000	88.894	-156.0963
45.500000	88.897	-156.4044
46.200001	88.919	-156.7649
46.799999	88.945	-157.1581
47.500000	88.959	-157.6953
48.200001	88.954	-158.1955
48.700001	88.944	-158.4896
49.400002	88.931	-158.7985
50.000000	88.931	-158.9916
50.799999	88.955	-159.2544
51.500000	88.994	-159.5989
52.200001	89.031	-160.0911
53.000000	89.054	-160.7514
53.799999	89.055	-161.3403
54.500000	89.055	-161.7335
55.200001	89.063	-162.0600
56.000000	89.082	-162.4150
57.000000	89.114	-162.8943
58.000000	89.141	-163.4573
59.000000	89.149	-164.0468
60.000000	89.144	-164.6083
60.799999	89.133	-165.0182
61.500000	89.124	-165.3403
62.200001	89.119	-165.6426
63.000000	89.119	-165.9839
64.000000	89.124	-166.4082
65.000000	89.134	-166.8212
66.000000	89.145	-167.2155
67.000000	89.154	-167.5828
68.000000	89.161	-167.9261
69.000000	89.166	-168.2585
70.000000	89.167	-168.5858
71.000000	89.166	-168.9177
72.000000	89.164	-169.2651
73.000000	89.160	-169.6246
74.000000	89.155	-169.9883
75.000000	89.151	-170.3444
76.199997	89.150	-170.7698
77.500000	89.149	-171.2551
78.800003	89.147	-171.7316
80.000000	89.146	-172.1636
81.199997	89.145	-172.5830
82.500000	89.145	-173.0095
83.800003	89.145	-173.4177
85.000000	89.145	-173.7793
86.199997	89.140	-174.1274
87.500000	89.132	-174.4732
88.500000	89.125	-174.7267
90.000000	89.115	-175.1230
91.199997	89.104	-175.4503
92.500000	89.091	-175.7926
93.800003	89.078	-176.1197
95.000000	89.068	-176.4080
96.199997	89.058	-176.6860
97.500000	89.046	-176.9826
98.800003	89.033	-177.2759
100.000000	89.021	-177.5486
101.500000	89.006	-177.8926
103.000000	88.991	-178.2358
104.400002	88.978	-178.5470
106.000000	88.965	-178.8940
107.500000	88.952	-179.2153
109.000000	88.937	-179.5327
110.599998	88.920	-179.8694
112.000000	88.904	179.8417
113.800003	88.884	179.4797
115.000000	88.871	179.2434
117.199997	88.846	178.8168
118.000000	88.836	178.6680
120.599998	88.804	178.2317
122.000000	88.789	177.9998
124.099998	88.763	177.6472
125.000000	88.751	177.5010
126.500000	88.730	177.2619
128.000000	88.710	177.0242
131.500000	88.662	176.4911
132.000000	88.654	176.4172
134.000000	88.625	176.1258
136.000000	88.596	175.8434
138.000000	88.567	175.5668
140.000000	88.538	175.2942
143.000000	88.494	174.9039
145.000000	88.466	174.6539
147.500000	88.431	174.3398
150.000000	88.394	174.0320
152.500000	88.358	173.7330
155.000000	88.322	173.4432
157.500000	88.286	173.1625
160.000000	88.248	172.8841
162.500000	88.209	172.6174
165.000000	88.169	172.3735
167.500000	88.128	172.1532
170.000000	88.088	171.9436
172.500000	88.046	171.7360
175.000000	88.003	171.5286
177.500000	87.961	171.3277
180.000000	87.918	171.1366
182.500000	87.876	170.9485
185.000000	87.834	170.7595
187.500000	87.792	170.5740
190.000000	87.751	170.3948
192.500000	87.710	170.2236
195.000000	87.670	170.0624
197.500000	87.629	169.9131
200.000000	87.587	169.7743
203.000000	87.534	169.6168
206.000000	87.481	169.4670
209.000000	87.427	169.3325
212.000000	87.372	169.2159
214.000000	87.334	169.1417
218.000000	87.258	168.9917
220.000000	87.219	168.9256
224.000000	87.140	168.8245
227.000000	87.079	168.7613
230.000000	87.019	168.7042
233.000000	86.958	168.6576
236.000000	86.895	168.6263
240.000000	86.809	168.6188
243.000000	86.743	168.6454
247.000000	86.651	168.7311
250.000000	86.580	168.8430
254.000000	86.483	169.0765
258.000000	86.384	169.4390
262.000000	86.288	169.9717
265.000000	86.225	170.5141
269.000000	86.167	171.4452
272.000000	86.159	172.2661
276.000000	86.212	173.3732
280.000000	86.343	174.2098
285.000000	86.559	174.4781
290.000000	86.738	173.8591
295.000000	86.825	172.7693
300.000000	86.824	171.6934
304.000000	86.784	170.9835
307.000000	86.741	170.5489
311.000000	86.677	170.0854
315.000000	86.608	169.7345
320.000000	86.521	169.4150
325.000000	86.436	169.1915
330.000000	86.355	169.0461
335.000000	86.276	168.9643
340.000000	86.198	168.9277
345.000000	86.123	168.9225
350.000000	86.050	168.9388
355.000000	85.980	168.9757
360.000000	85.912	169.0377
365.000000	85.846	169.1130
370.000000	85.781	169.1992
375.000000	85.718	169.2974
382.000000	85.632	169.4559
387.000000	85.573	169.5790
395.000000	85.481	169.7927
400.000000	85.425	169.9349
406.000000	85.358	170.1164
412.000000	85.293	170.3120
418.000000	85.227	170.5203
425.000000	85.151	170.7826
431.000000	85.088	171.0240
437.000000	85.026	171.2734
444.000000	84.957	171.5637
450.000000	84.901	171.8099
455.000000	84.856	172.0153
462.000000	84.795	172.3120
468.000000	84.746	172.5782
475.000000	84.690	172.8989
482.000000	84.634	173.2277
487.000000	84.595	173.4696
494.000000	84.541	173.8163
500.000000	84.495	174.1172
508.000000	84.436	174.5223
515.000000	84.385	174.8865
522.000000	84.336	175.2606
530.000000	84.282	175.6971
538.000000	84.230	176.1398
545.000000	84.186	176.5284
552.000000	84.144	176.9188
560.000000	84.099	177.3750
570.000000	84.045	177.9604
580.000000	83.992	178.5560
590.000000	83.940	179.1599
600.000000	83.889	179.7701
608.000000	83.849	-179.7318
615.000000	83.816	-179.2892
622.000000	83.785	-178.8447
630.000000	83.750	-178.3341
640.000000	83.710	-177.6879
650.000000	83.673	-177.0267
660.000000	83.640	-176.3561
670.000000	83.611	-175.6812
680.000000	83.586	-175.0050
690.000000	83.565	-174.3294
700.000000	83.548	-173.6476
710.000000	83.532	-172.9578
720.000000	83.519	-172.2552
730.000000	83.507	-171.5426
740.000000	83.495	-170.8249
750.000000	83.485	-170.1025
762.000000	83.473	-169.2285
775.000000	83.463	-168.2664
788.000000	83.458	-167.2935
800.000000	83.458	-166.4008
812.000000	83.465	-165.5193
825.000000	83.482	-164.5664
838.000000	83.508	-163.6146
850.000000	83.539	-162.7451
862.000000	83.579	-161.8874
875.000000	83.632	-160.9751
885.000000	83.678	-160.2881
900.000000	83.753	-159.2759
912.000000	83.818	-158.4779
925.000000	83.890	-157.6300
938.000000	83.965	-156.8026
950.000000	84.036	-156.0542
962.000000	84.109	-155.3279
975.000000	84.190	-154.5758
988.000000	84.275	-153.8603
1000.000000	84.356	-153.2307
1015.000000	84.459	-152.4841
1030.000000	84.565	-151.7797
1044.000000	84.665	-151.1647
1060.000000	84.781	-150.5112
1075.000000	84.891	-149.9473
1090.000000	85.002	-149.4280
1106.000000	85.120	-148.9207
1120.000000	85.224	-148.5145
1138.000000	85.358	-148.0431
1150.000000	85.446	-147.7577
