* Measurement data measured by REW V5.20.13
* Source: Headset (KM-HIFI-384KHZ), MICROPHONE (Master Volume), L, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -13.0 dBFS with no timing reference
* Dated: Jul 20, 2023 2:40:54 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: 7Hz Salnotes Zero L
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	100.052	-150.5207
20.299999	100.103	-151.3503
20.600000	100.128	-152.3544
20.900000	100.116	-153.4589
21.200001	100.062	-154.5378
21.400000	100.008	-155.1786
21.799999	99.877	-156.2298
22.000000	99.812	-156.6429
22.400000	99.699	-157.3191
22.700001	99.637	-157.7875
23.000000	99.594	-158.2944
23.299999	99.566	-158.8625
23.600000	99.548	-159.4922
24.000000	99.539	-160.4185
24.299999	99.542	-161.1724
24.700001	99.555	-162.2497
25.000000	99.569	-163.0940
25.400000	99.586	-164.2218
25.799999	99.606	-165.2913
26.200001	99.633	-166.2816
26.500000	99.660	-166.9979
26.900000	99.700	-167.9666
27.200001	99.723	-168.7194
27.600000	99.733	-169.7237
28.000000	99.709	-170.6205
28.500000	99.643	-171.4148
29.000000	99.571	-171.8015
29.500000	99.522	-171.9434
30.000000	99.498	-172.0715
30.400000	99.485	-172.2433
30.700001	99.476	-172.4144
31.100000	99.464	-172.6947
31.500000	99.457	-173.0549
32.000000	99.453	-173.6883
32.500000	99.442	-174.5833
33.000000	99.405	-175.6847
33.500000	99.330	-176.8333
34.000000	99.229	-177.8545
34.500000	99.120	-178.6592
35.000000	99.021	-179.2525
35.500000	98.941	-179.6781
36.000000	98.883	-179.9728
36.500000	98.848	179.8321
37.000000	98.834	179.6835
37.500000	98.838	179.5145
38.200001	98.850	179.1570
38.700001	98.845	178.8310
39.500000	98.806	178.3391
40.000000	98.773	178.0891
40.599998	98.737	177.7884
41.200001	98.705	177.3853
41.799999	98.665	176.8514
42.500000	98.599	176.1585
43.099998	98.534	175.6177
43.700001	98.476	175.1665
44.400002	98.433	174.7169
45.000000	98.421	174.3400
