* Measurement data measured by REW V5.20.13
* Source: Headset (KM-HIFI-384KHZ), MICROPHONE (Master Volume), R, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -13.0 dBFS with no timing reference
* Dated: Jul 20, 2023 2:38:35 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: 7Hz Salnotes Zero R
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	99.949	-150.0300
20.299999	99.941	-150.6724
20.600000	99.937	-151.2571
20.900000	99.938	-151.8296
21.200001	99.942	-152.4192
21.400000	99.944	-152.8309
21.799999	99.947	-153.7157
22.000000	99.946	-154.1966
22.400000	99.932	-155.2418
22.700001	99.906	-156.0753
23.000000	99.864	-156.8991
23.299999	99.807	-157.6486
23.600000	99.746	-158.2819
24.000000	99.674	-158.9328
24.299999	99.641	-159.3280
24.700001	99.632	-159.8517
25.000000	99.646	-160.3217
25.400000	99.677	-161.0953
25.799999	99.705	-161.9953
26.200001	99.724	-162.9367
26.500000	99.733	-163.6324
26.900000	99.741	-164.5314
27.200001	99.744	-165.1848
27.600000	99.742	-166.0228
28.000000	99.730	-166.7988
28.500000	99.706	-167.6460
29.000000	99.678	-168.3604
29.500000	99.648	-168.9741
30.000000	99.618	-169.5008
30.400000	99.599	-169.8732
30.700001	99.590	-170.1505
31.100000	99.584	-170.5762
31.500000	99.577	-171.1068
32.000000	99.544	-171.8777
32.500000	99.480	-172.5871
33.000000	99.409	-173.0702
33.500000	99.366	-173.3873
34.000000	99.364	-173.7801
34.500000	99.376	-174.4173
35.000000	99.369	-175.2403
35.500000	99.334	-176.0556
36.000000	99.283	-176.7340
36.500000	99.231	-177.2711
37.000000	99.186	-177.7045
37.500000	99.150	-178.0492
38.200001	99.126	-178.4510
38.700001	99.132	-178.8105
39.500000	99.142	-179.7289
40.000000	99.120	179.5610
40.599998	99.062	178.7675
41.200001	98.992	178.1506
41.799999	98.932	177.6777
42.500000	98.886	177.2000
43.099998	98.867	176.7862
43.700001	98.861	176.3227
44.400002	98.861	175.6861
45.000000	98.851	175.0842
45.500000	98.830	174.5973
46.200001	98.785	174.0130
46.799999	98.739	173.6205
47.500000	98.686	173.2348
48.200001	98.631	172.8526
48.700001	98.586	172.5681
49.400002	98.513	172.1832
50.000000	98.448	171.8990
50.799999	98.371	171.5812
51.500000	98.328	171.2919
52.200001	98.305	170.9131
53.000000	98.291	170.3421
53.799999	98.272	169.7100
54.500000	98.251	169.2133
55.200001	98.231	168.8005
56.000000	98.211	168.3777
57.000000	98.169	167.8599
58.000000	98.086	167.4343
59.000000	97.971	167.2296
60.000000	97.859	167.2227
60.799999	97.787	167.2122
61.500000	97.734	167.1284
62.200001	97.687	166.9862
63.000000	97.641	166.7835
64.000000	97.598	166.4715
65.000000	97.561	166.0972
66.000000	97.516	165.7339
67.000000	97.460	165.4803
68.000000	97.402	165.3316
69.000000	97.344	165.1803
70.000000	97.276	164.9749
71.000000	97.194	164.7639
72.000000	97.108	164.6141
73.000000	97.036	164.5258
74.000000	96.988	164.4175
75.000000	96.956	164.1998
76.199997	96.909	163.7975
77.500000	96.827	163.4019
78.800003	96.737	163.2169
80.000000	96.671	163.1364
81.199997	96.622	163.0151
82.500000	96.579	162.7908
83.800003	96.530	162.4999
85.000000	96.472	162.2534
86.199997	96.404	162.0868
87.500000	96.325	161.9891
88.500000	96.264	161.9547
90.000000	96.178	161.9504
91.199997	96.120	161.9617
92.500000	96.071	161.9479
93.800003	96.031	161.8847
95.000000	95.994	161.7809
96.199997	95.951	161.6485
97.500000	95.895	161.5031
98.800003	95.832	161.3801
100.000000	95.772	161.2902
101.500000	95.700	161.2061
103.000000	95.633	161.1496
104.400002	95.571	161.1298
106.000000	95.501	161.1533
107.500000	95.434	161.2039
109.000000	95.367	161.2542
110.599998	95.297	161.2800
112.000000	95.240	161.2798
113.800003	95.173	161.2676
115.000000	95.135	161.2651
117.199997	95.078	161.2667
118.000000	95.059	161.2628
120.599998	94.990	161.2424
122.000000	94.947	161.2408
124.099998	94.878	161.2541
125.000000	94.849	161.2616
126.500000	94.799	161.2795
128.000000	94.750	161.3201
131.500000	94.635	161.5294
132.000000	94.617	161.5708
134.000000	94.547	161.7638
136.000000	94.481	161.9664
138.000000	94.421	162.1262
140.000000	94.367	162.2344
143.000000	94.294	162.3428
145.000000	94.248	162.4077
147.500000	94.192	162.4879
150.000000	94.136	162.5831
152.500000	94.080	162.7138
155.000000	94.025	162.8750
157.500000	93.972	163.0394
160.000000	93.919	163.1873
162.500000	93.864	163.3240
165.000000	93.808	163.4653
167.500000	93.755	163.6275
170.000000	93.706	163.8115
172.500000	93.661	164.0037
175.000000	93.618	164.1964
177.500000	93.577	164.3878
180.000000	93.538	164.5691
182.500000	93.498	164.7344
185.000000	93.458	164.8879
187.500000	93.418	165.0343
190.000000	93.382	165.1779
192.500000	93.348	165.3260
195.000000	93.315	165.4829
197.500000	93.283	165.6465
200.000000	93.251	165.8167
203.000000	93.211	166.0342
206.000000	93.168	166.2629
209.000000	93.124	166.4850
