* Measurement data measured by REW V5.20.13
* Source: EXCL: Headset (KM-HIFI-384KHZ), MICROPHONE (Master Volume), 0, volume: 1.000
* Format: 256k Log Swept Sine, 1 sweep at -13.0 dBFS with no timing reference
* Dated: Aug 12, 2023 12:30:20 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: Aug 12
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	103.396	166.7354
20.299999	103.377	165.9064
20.600000	103.348	165.0685
20.900000	103.309	164.2662
21.200001	103.264	163.5369
21.400000	103.236	163.0934
21.799999	103.189	162.2733
22.000000	103.171	161.8725
22.400000	103.145	161.0341
22.700001	103.128	160.3544
23.000000	103.105	159.6442
23.299999	103.075	158.9407
23.600000	103.038	158.2769
24.000000	102.987	157.4855
24.299999	102.952	156.9575
24.700001	102.916	156.3007
25.000000	102.896	155.8078
25.400000	102.876	155.1186
25.799999	102.855	154.3894
26.200001	102.829	153.6418
26.500000	102.806	153.0832
26.900000	102.771	152.3500
27.200001	102.743	151.8081
27.600000	102.702	151.0932
28.000000	102.655	150.3915
28.500000	102.590	149.5600
29.000000	102.520	148.8145
29.500000	102.457	148.1509
30.000000	102.406	147.5064
30.400000	102.373	146.9554
30.700001	102.349	146.5109
31.100000	102.314	145.8888
31.500000	102.274	145.2593
32.000000	102.220	144.4970
32.500000	102.166	143.7662
33.000000	102.114	143.0469
33.500000	102.061	142.3344
34.000000	102.007	141.6446
34.500000	101.955	140.9858
35.000000	101.906	140.3434
35.500000	101.859	139.6991
36.000000	101.812	139.0526
36.500000	101.764	138.4131
37.000000	101.715	137.7824
37.500000	101.666	137.1584
38.200001	101.595	136.3098
38.700001	101.546	135.7304
39.500000	101.474	134.8072
40.000000	101.430	134.2074
40.599998	101.372	133.4838
41.200001	101.312	132.7921
41.799999	101.253	132.1251
42.500000	101.185	131.3470
