* Measurement data measured by REW V5.20.13
* Source: EXCL: Headset (KM-HIFI-384KHZ), MICROPHONE (Master Volume), 0, volume: 1.000
* Format: 256k Log Swept Sine, 1 sweep at -13.0 dBFS with no timing reference
* Dated: Aug 12, 2023 12:29:48 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: Aug 12
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	103.327	166.1404
20.299999	103.298	165.3735
20.600000	103.266	164.6140
20.900000	103.229	163.8766
21.200001	103.189	163.1780
21.400000	103.161	162.7413
21.799999	103.107	161.9387
22.000000	103.083	161.5685
22.400000	103.045	160.8672
22.700001	103.025	160.3466
23.000000	103.012	159.8013
23.299999	103.001	159.2161
23.600000	102.988	158.5901
24.000000	102.963	157.7116
24.299999	102.936	157.0503
24.700001	102.889	156.2084
25.000000	102.849	155.6276
25.400000	102.796	154.9227
25.799999	102.748	154.2686
26.200001	102.706	153.6229
26.500000	102.676	153.1271
26.900000	102.635	152.4505
27.200001	102.601	151.9433
27.600000	102.553	151.2874
28.000000	102.505	150.6661
28.500000	102.449	149.9213
29.000000	102.401	149.1689
29.500000	102.354	148.3846
30.000000	102.306	147.5818
30.400000	102.265	146.9441
30.700001	102.233	146.4724
31.100000	102.192	145.8500
31.500000	102.151	145.2318
32.000000	102.097	144.4695
32.500000	102.041	143.7374
33.000000	101.986	143.0504
33.500000	101.934	142.3978
34.000000	101.887	141.7505
34.500000	101.841	141.0910
35.000000	101.792	140.4294
35.500000	101.740	139.7900
36.000000	101.689	139.1812
36.500000	101.640	138.5862
37.000000	101.594	137.9803
37.500000	101.546	137.3579
38.200001	101.474	136.4908
38.700001	101.421	135.8981
39.500000	101.339	134.9875
40.000000	101.291	134.4228
40.599998	101.234	133.7468
41.200001	101.178	133.0832
41.799999	101.125	132.4267
42.500000	101.063	131.6443
43.099998	101.006	130.9659
43.700001	100.943	130.3244
44.400002	100.871	129.6497
45.000000	100.817	129.0948
45.500000	100.776	128.6106
46.200001	100.717	127.8949
46.799999	100.661	127.2772
47.500000	100.594	126.5765
48.200001	100.527	125.8966
48.700001	100.480	125.4234
49.400002	100.417	124.7719
50.000000	100.365	124.2095
50.799999	100.294	123.4558
51.500000	100.231	122.8197
52.200001	100.170	122.2056
53.000000	100.102	121.5028
53.799999	100.032	120.8044
54.500000	99.969	120.2156
55.200001	99.908	119.6428
56.000000	99.840	118.9928
57.000000	99.757	118.1781
58.000000	99.674	117.3589
59.000000	99.589	116.5541
60.000000	99.507	115.7765
60.799999	99.442	115.1656
61.500000	99.386	114.6381
62.200001	99.329	114.1217
63.000000	99.266	113.5463
64.000000	99.188	112.8348
65.000000	99.109	112.1245
66.000000	99.031	111.4202
67.000000	98.952	110.7136
68.000000	98.873	110.0117
69.000000	98.796	109.3287
70.000000	98.722	108.6553
71.000000	98.651	107.9835
72.000000	98.582	107.3192
73.000000	98.512	106.6705
74.000000	98.443	106.0399
75.000000	98.375	105.4240
76.199997	98.294	104.6962
77.500000	98.206	103.9196
78.800003	98.119	103.1489
80.000000	98.039	102.4385
81.199997	97.961	101.7402
82.500000	97.879	100.9966
83.800003	97.798	100.2563
85.000000	97.722	99.5842
86.199997	97.645	98.9470
87.500000	97.565	98.2896
88.500000	97.506	97.7797
90.000000	97.418	97.0099
91.199997	97.346	96.4048
92.500000	97.271	95.7659
93.800003	97.199	95.1203
95.000000	97.133	94.5195
96.199997	97.067	93.9251
97.500000	96.996	93.2896
98.800003	96.925	92.6678
100.000000	96.861	92.1136
101.500000	96.783	91.4377
103.000000	96.707	90.7608
104.400002	96.636	90.1337
106.000000	96.556	89.4355
107.500000	96.483	88.7953
109.000000	96.413	88.1584
110.599998	96.339	87.4891
112.000000	96.276	86.9020
113.800003	96.193	86.1347
115.000000	96.134	85.6251
117.199997	96.023	84.7585
118.000000	95.985	84.4570
120.599998	95.863	83.4982
122.000000	95.803	83.0271
124.099998	95.727	82.3331
125.000000	95.699	82.0131
126.500000	95.649	81.4427
128.000000	95.592	80.8734
131.500000	95.454	79.6505
132.000000	95.434	79.4847
134.000000	95.359	78.8374
136.000000	95.285	78.1961
138.000000	95.214	77.5593
140.000000	95.145	76.9272
143.000000	95.044	76.0072
145.000000	94.979	75.4185
147.500000	94.898	74.6758
150.000000	94.817	73.9333
152.500000	94.738	73.2111
155.000000	94.662	72.5125
157.500000	94.589	71.8328
160.000000	94.517	71.1733
162.500000	94.446	70.5313
165.000000	94.377	69.9002
167.500000	94.311	69.2754
170.000000	94.246	68.6671
172.500000	94.181	68.0810
175.000000	94.118	67.5012
177.500000	94.055	66.9225
180.000000	93.993	66.3569
182.500000	93.932	65.8103
185.000000	93.874	65.2662
187.500000	93.815	64.7232
190.000000	93.757	64.2039
192.500000	93.699	63.7116
195.000000	93.642	63.2385
197.500000	93.586	62.7757
200.000000	93.530	62.3234
203.000000	93.461	61.8058
206.000000	93.392	61.3213
209.000000	93.320	60.8749
212.000000	93.247	60.4900
214.000000	93.200	60.2836
218.000000	93.119	59.9526
220.000000	93.079	59.8361
224.000000	93.009	59.8366
227.000000	92.993	59.9792
230.000000	93.024	60.0835
233.000000	93.105	59.9496
236.000000	93.208	59.4232
240.000000	93.305	58.2204
243.000000	93.318	57.1877
247.000000	93.280	55.9020
250.000000	93.232	55.0748
254.000000	93.160	54.1559
258.000000	93.086	53.3906
262.000000	93.016	52.7256
265.000000	92.967	52.2681
269.000000	92.906	51.6922
272.000000	92.862	51.2870
276.000000	92.806	50.7780
280.000000	92.754	50.2964
285.000000	92.694	49.7247
290.000000	92.635	49.1750
295.000000	92.579	48.6498
300.000000	92.528	48.1647
304.000000	92.489	47.8006
307.000000	92.461	47.5384
311.000000	92.426	47.2019
315.000000	92.391	46.8911
320.000000	92.350	46.5444
325.000000	92.318	46.1891
330.000000	92.293	45.7343
335.000000	92.260	45.3059
340.000000	92.216	44.9885
345.000000	92.178	44.6740
350.000000	92.147	44.3450
355.000000	92.116	44.0542
360.000000	92.086	43.7525
365.000000	92.061	43.4269
370.000000	92.039	43.1104
375.000000	92.017	42.8064
382.000000	91.983	42.4001
387.000000	91.958	42.1266
395.000000	91.915	41.7109
400.000000	91.886	41.4650
406.000000	91.852	41.2050
412.000000	91.821	40.9700
418.000000	91.792	40.7670
425.000000	91.756	40.5708
431.000000	91.725	40.4193
437.000000	91.702	40.3104
444.000000	91.683	40.2305
450.000000	91.678	40.2008
455.000000	91.684	40.1743
462.000000	91.708	40.0412
468.000000	91.728	39.7942
475.000000	91.735	39.4156
482.000000	91.728	39.0758
487.000000	91.722	38.8318
494.000000	91.706	38.5000
500.000000	91.691	38.2261
508.000000	91.665	37.8597
515.000000	91.642	37.5721
522.000000	91.619	37.3076
530.000000	91.582	37.0153
538.000000	91.537	36.7787
545.000000	91.491	36.6275
552.000000	91.443	36.5300
560.000000	91.393	36.4925
570.000000	91.341	36.5072
580.000000	91.300	36.5453
590.000000	91.265	36.5935
600.000000	91.230	36.6486
608.000000	91.203	36.6770
615.000000	91.180	36.7126
622.000000	91.156	36.7672
630.000000	91.128	36.8458
640.000000	91.091	36.9749
650.000000	91.054	37.1475
660.000000	91.017	37.3736
670.000000	90.984	37.6511
680.000000	90.956	37.9828
690.000000	90.941	38.3635
700.000000	90.936	38.7511
710.000000	90.936	39.1053
720.000000	90.936	39.4300
730.000000	90.938	39.7739
740.000000	90.941	40.1439
750.000000	90.949	40.5195
762.000000	90.965	40.9699
775.000000	90.989	41.4535
788.000000	91.018	41.9353
800.000000	91.049	42.3738
812.000000	91.083	42.8083
825.000000	91.123	43.2761
838.000000	91.166	43.7366
850.000000	91.210	44.1555
862.000000	91.257	44.5661
875.000000	91.312	45.0024
885.000000	91.358	45.3326
900.000000	91.429	45.8154
912.000000	91.490	46.1897
925.000000	91.558	46.5862
938.000000	91.630	46.9705
950.000000	91.700	47.3055
962.000000	91.772	47.6178
975.000000	91.854	47.9299
988.000000	91.937	48.2157
1000.000000	92.015	48.4577
1015.000000	92.114	48.7314
1030.000000	92.215	48.9663
1044.000000	92.311	49.1456
1060.000000	92.419	49.3090
1075.000000	92.518	49.4283
1090.000000	92.615	49.5118
1106.000000	92.715	49.5690
1120.000000	92.802	49.5989
1138.000000	92.910	49.6108
1150.000000	92.980	49.6027
1172.000000	93.105	49.5553
1180.000000	93.148	49.5283
1206.000000	93.283	49.4101
1220.000000	93.351	49.3279
1241.000000	93.449	49.1890
1250.000000	93.489	49.1263
1265.000000	93.552	49.0184
1280.000000	93.613	48.9067
1315.000000	93.744	48.6473
1320.000000	93.761	48.6119
1340.000000	93.828	48.4756
1360.000000	93.891	48.3481
1380.000000	93.950	48.2327
1400.000000	94.007	48.1288
1430.000000	94.087	47.9904
1450.000000	94.139	47.9102
1475.000000	94.199	47.8251
1500.000000	94.258	47.7654
1525.000000	94.316	47.7266
1550.000000	94.374	47.7025
1575.000000	94.432	47.6884
1600.000000	94.490	47.6844
1625.000000	94.547	47.6946
1650.000000	94.604	47.7175
1675.000000	94.661	47.7501
1700.000000	94.719	47.7909
1725.000000	94.780	47.8359
1750.000000	94.841	47.8841
1775.000000	94.903	47.9363
1800.000000	94.966	47.9893
1825.000000	95.031	48.0405
1850.000000	95.097	48.0901
1875.000000	95.165	48.1388
1900.000000	95.234	48.1837
1925.000000	95.305	48.2233
1950.000000	95.378	48.2554
1975.000000	95.452	48.2767
2000.000000	95.528	48.2873
2030.000000	95.620	48.2841
2060.000000	95.714	48.2621
2090.000000	95.810	48.2187
2120.000000	95.907	48.1539
2140.000000	95.972	48.0996
2180.000000	96.103	47.9592
2200.000000	96.169	47.8721
2240.000000	96.301	47.6609
2270.000000	96.401	47.4676
2300.000000	96.500	47.2459
2330.000000	96.599	46.9955
2360.000000	96.697	46.7142
2400.000000	96.826	46.2875
2430.000000	96.921	45.9291
2470.000000	97.045	45.4026
2500.000000	97.134	44.9735
2540.000000	97.248	44.3556
2580.000000	97.355	43.6837
2620.000000	97.456	42.9597
2650.000000	97.527	42.3876
2690.000000	97.615	41.5927
2720.000000	97.674	40.9746
2760.000000	97.747	40.1207
2800.000000	97.810	39.2336
2850.000000	97.874	38.0848
2900.000000	97.920	36.9076
2950.000000	97.948	35.7241
