* Measurement data measured by REW V5.20.13
* Source: EXCL: Headset (KM-HIFI-384KHZ), MICROPHONE (Master Volume), 0, volume: 0.070
* Format: 256k Log Swept Sine, 1 sweep at -13.0 dBFS with no timing reference
* Dated: Nov 4, 2023 2:57:20 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Studio Complementary L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	51.664	41.0616
20.299999	51.535	41.7144
20.600000	51.487	42.4617
20.900000	51.505	43.0126
21.200001	51.550	43.2132
21.400000	51.573	43.1834
21.799999	51.585	42.9122
22.000000	51.570	42.7733
22.400000	51.509	42.6808
22.700001	51.452	42.8416
23.000000	51.402	43.2041
23.299999	51.369	43.7281
23.600000	51.359	44.3625
24.000000	51.388	45.2768
24.299999	51.441	45.9132
24.700001	51.542	46.5625
25.000000	51.623	46.8373
25.400000	51.710	46.9327
25.799999	51.751	46.8805
26.200001	51.744	46.9278
26.500000	51.725	47.1364
26.900000	51.710	47.6479
27.200001	51.724	48.1083
27.600000	51.779	48.6326
28.000000	51.853	48.8816
28.500000	51.919	48.8015
29.000000	51.920	48.6135
29.500000	51.870	48.7130
30.000000	51.825	49.2605
30.400000	51.826	49.8897
30.700001	51.852	50.3489
31.100000	51.904	50.8161
31.500000	51.947	51.1071
32.000000	51.960	51.4154
32.500000	51.934	51.9634
33.000000	51.912	52.8704
33.500000	51.927	53.9965
34.000000	51.993	55.1170
34.500000	52.109	55.9808
35.000000	52.252	56.2758
35.500000	52.342	55.8322
36.000000	52.292	55.0850
36.500000	52.104	54.9793
37.000000	51.925	56.1130
37.500000	51.933	57.8743
38.200001	52.208	59.0006
38.700001	52.341	58.4327
39.500000	52.240	57.9183
40.000000	52.149	58.8833
40.599998	52.196	60.7019
41.200001	52.374	62.0632
41.799999	52.531	62.7036
42.500000	52.584	63.2615
43.099998	52.555	64.2402
43.700001	52.543	65.6273
44.400002	52.571	67.1768
45.000000	52.593	68.3104
45.500000	52.623	69.1642
46.200001	52.689	69.8853
46.799999	52.704	70.0199
47.500000	52.690	70.4263
48.200001	52.809	70.7217
48.700001	52.910	70.0131
49.400002	52.791	68.5127
50.000000	52.483	69.2456
50.799999	52.451	73.5021
51.500000	52.920	76.1570
52.200001	53.303	76.3806
53.000000	53.430	76.5625
53.799999	53.496	78.0081
54.500000	53.602	79.5166
55.200001	53.725	80.8072
56.000000	53.844	81.7414
57.000000	53.857	82.4739
58.000000	53.854	83.9266
59.000000	54.037	84.9982
60.000000	54.179	85.0187
60.799999	54.230	85.4994
61.500000	54.325	86.3997
62.200001	54.474	87.3642
63.000000	54.664	88.4055
64.000000	54.894	89.5999
65.000000	55.067	90.7393
66.000000	55.206	92.0971
67.000000	55.373	93.3997
68.000000	55.532	94.1462
69.000000	55.604	94.7120
70.000000	55.670	95.8619
71.000000	55.843	97.1693
72.000000	56.060	98.0449
73.000000	56.247	98.6859
74.000000	56.393	99.3994
75.000000	56.525	100.3659
76.199997	56.708	101.5775
77.500000	56.883	102.6438
78.800003	57.053	103.8835
80.000000	57.270	104.8525
81.199997	57.474	105.3785
82.500000	57.651	106.0037
83.800003	57.828	106.8566
85.000000	58.010	107.7319
86.199997	58.206	108.4669
87.500000	58.395	108.9683
88.500000	58.506	109.3314
90.000000	58.678	110.2581
91.199997	58.894	111.1909
92.500000	59.175	111.8816
93.800003	59.414	112.4241
95.000000	59.591	113.0966
96.199997	59.737	113.9524
97.500000	59.884	114.8951
98.800003	60.011	115.5870
100.000000	60.115	116.1435
101.500000	60.297	116.8175
103.000000	60.548	117.4490
104.400002	60.834	118.0332
106.000000	61.131	118.5701
107.500000	61.330	119.3278
109.000000	61.499	120.2015
110.599998	61.648	121.0466
112.000000	61.795	121.7089
113.800003	62.025	122.3052
115.000000	62.191	122.5963
117.199997	62.478	123.1116
118.000000	62.574	123.3797
120.599998	62.901	124.5577
122.000000	63.097	125.1603
124.099998	63.384	125.8967
125.000000	63.501	126.1381
126.500000	63.678	126.4898
128.000000	63.842	126.8646
131.500000	64.251	127.9087
132.000000	64.313	128.0250
134.000000	64.535	128.3772
136.000000	64.728	128.8475
138.000000	64.956	129.5111
140.000000	65.226	130.1185
143.000000	65.605	130.8706
145.000000	65.822	131.3441
147.500000	66.082	131.8413
150.000000	66.353	132.4161
152.500000	66.669	133.2088
155.000000	66.985	133.7565
157.500000	67.249	134.2155
160.000000	67.499	134.7003
162.500000	67.737	135.2532
165.000000	67.982	135.8238
167.500000	68.232	136.2277
170.000000	68.486	136.5706
172.500000	68.752	136.9521
175.000000	69.013	137.3397
177.500000	69.255	137.7458
180.000000	69.492	138.1580
182.500000	69.731	138.5378
185.000000	69.973	138.9060
187.500000	70.216	139.2602
190.000000	70.459	139.6073
192.500000	70.697	139.9631
195.000000	70.931	140.2723
197.500000	71.160	140.5249
200.000000	71.395	140.8052
203.000000	71.681	141.2434
206.000000	71.958	141.6410
209.000000	72.227	141.8442
212.000000	72.488	142.0576
214.000000	72.668	142.3080
218.000000	73.029	142.7864
220.000000	73.209	142.9906
224.000000	73.587	143.2994
227.000000	73.861	143.4763
230.000000	74.120	143.6843
233.000000	74.381	143.9091
236.000000	74.652	144.1053
240.000000	75.008	144.3378
243.000000	75.258	144.5484
247.000000	75.586	144.8301
250.000000	75.840	144.9904
254.000000	76.184	145.1294
258.000000	76.530	145.2485
262.000000	76.874	145.3823
265.000000	77.130	145.4807
269.000000	77.464	145.5822
272.000000	77.708	145.6469
276.000000	78.051	145.6682
280.000000	78.412	145.5950
285.000000	78.859	145.4985
290.000000	79.289	145.3767
295.000000	79.721	145.1512
300.000000	80.161	144.7441
304.000000	80.507	144.2957
307.000000	80.764	143.8764
311.000000	81.097	143.1627
315.000000	81.412	142.2392
320.000000	81.755	140.8408
325.000000	82.002	139.2846
330.000000	82.135	137.9718
335.000000	82.181	137.4507
340.000000	82.230	137.9229
345.000000	82.376	139.1354
350.000000	82.648	140.5938
355.000000	83.019	141.8691
360.000000	83.444	142.7819
365.000000	83.892	143.3440
370.000000	84.345	143.6216
375.000000	84.796	143.6798
382.000000	85.414	143.4820
387.000000	85.849	143.2032
395.000000	86.537	142.6041
400.000000	86.963	142.1227
406.000000	87.469	141.4410
412.000000	87.970	140.6873
418.000000	88.467	139.8463
425.000000	89.042	138.7485
431.000000	89.533	137.7380
437.000000	90.023	136.6489
444.000000	90.595	135.2454
450.000000	91.084	133.9118
455.000000	91.488	132.7177
462.000000	92.049	130.9335
468.000000	92.526	129.2921
475.000000	93.077	127.2403
482.000000	93.618	125.0509
487.000000	93.998	123.3936
494.000000	94.519	120.9279
500.000000	94.957	118.6746
508.000000	95.526	115.4814
515.000000	96.005	112.5230
522.000000	96.467	109.4053
530.000000	96.970	105.6546
538.000000	97.442	101.7150
545.000000	97.829	98.1065
552.000000	98.183	94.3807
560.000000	98.553	90.0549
570.000000	98.971	84.5531
580.000000	99.336	78.9141
590.000000	99.643	73.1946
600.000000	99.892	67.4527
608.000000	100.050	62.8618
615.000000	100.160	58.8651
622.000000	100.245	54.8996
630.000000	100.312	50.4163
640.000000	100.354	44.9077
650.000000	100.350	39.5259
660.000000	100.307	34.2723
670.000000	100.226	29.1501
680.000000	100.108	24.1649
690.000000	99.954	19.3213
700.000000	99.766	14.6270
710.000000	99.546	10.0912
720.000000	99.295	5.7189
730.000000	99.015	1.5090
740.000000	98.707	-2.5297
750.000000	98.373	-6.3804
762.000000	97.939	-10.7328
775.000000	97.436	-15.1021
788.000000	96.906	-19.1093
800.000000	96.397	-22.4951
812.000000	95.873	-25.5732
825.000000	95.295	-28.5641
838.000000	94.710	-31.2081
850.000000	94.169	-33.3577
862.000000	93.628	-35.2445
875.000000	93.047	-37.0029
885.000000	92.607	-38.1674
900.000000	91.961	-39.6593
912.000000	91.454	-40.6556
925.000000	90.913	-41.5347
938.000000	90.380	-42.2140
950.000000	89.898	-42.6918
962.000000	89.425	-43.0477
975.000000	88.925	-43.2968
988.000000	88.440	-43.4044
1000.000000	88.001	-43.3797
1015.000000	87.465	-43.2130
1030.000000	86.940	-42.9194
1044.000000	86.458	-42.5203
1060.000000	85.913	-41.9001
1075.000000	85.409	-41.1582
1090.000000	84.909	-40.2454
1106.000000	84.376	-39.0428
1120.000000	83.914	-37.6958
1138.000000	83.371	-35.5649
1150.000000	83.053	-34.1415
1172.000000	82.472	-31.5649
1180.000000	82.257	-30.5011
1206.000000	81.620	-26.4371
1220.000000	81.361	-24.0800
1241.000000	81.080	-21.3582
1250.000000	80.924	-20.6803
1265.000000	80.489	-19.2704
1280.000000	79.950	-16.2175
1315.000000	79.293	-6.0237
1320.000000	79.260	-4.6071
1340.000000	79.210	0.8342
1360.000000	79.261	5.9779
1380.000000	79.397	10.8234
1400.000000	79.608	15.3372
1430.000000	80.040	21.4194
1450.000000	80.384	25.0087
1475.000000	80.859	28.9922
1500.000000	81.370	32.4365
1525.000000	81.908	35.3921
1550.000000	82.463	37.8987
1575.000000	83.030	39.9904
1600.000000	83.603	41.7150
1625.000000	84.182	43.1104
1650.000000	84.766	44.1916
1675.000000	85.355	44.9732
1700.000000	85.951	45.4743
1725.000000	86.554	45.6931
1750.000000	87.167	45.6109
1775.000000	87.788	45.1984
1800.000000	88.414	44.4342
1825.000000	89.042	43.2893
1850.000000	89.669	41.7336
1875.000000	90.289	39.7392
1900.000000	90.897	37.2657
1925.000000	91.481	34.2624
1950.000000	92.026	30.7226
1975.000000	92.514	26.6726
2000.000000	92.925	22.1417
2030.000000	93.296	16.1407
2060.000000	93.511	9.7352
2090.000000	93.560	3.2235
2120.000000	93.445	-3.0854
2140.000000	93.289	-7.0479
2180.000000	92.820	-14.1566
2200.000000	92.527	-17.2496
2240.000000	91.866	-22.4861
2270.000000	91.334	-25.6342
2300.000000	90.790	-28.1760
2330.000000	90.248	-30.1857
2360.000000	89.719	-31.7650
2400.000000	89.047	-33.3212
2430.000000	88.569	-34.1299
2470.000000	87.965	-34.8241
2500.000000	87.537	-35.1041
2540.000000	86.998	-35.2090
2580.000000	86.495	-35.0569
2620.000000	86.025	-34.6879
2650.000000	85.694	-34.2864
2690.000000	85.281	-33.6050
2720.000000	84.992	-32.9989
2760.000000	84.638	-32.0967
2800.000000	84.316	-31.1351
2850.000000	83.953	-29.9201
2900.000000	83.620	-28.7184
2950.000000	83.305	-27.4936
3000.000000	83.008	-26.2119
3040.000000	82.784	-25.1345
3070.000000	82.624	-24.2950
3110.000000	82.424	-23.1383
3150.000000	82.238	-21.9475
3200.000000	82.027	-20.4305
3250.000000	81.837	-18.9015
3300.000000	81.667	-17.3752
3350.000000	81.516	-15.8648
3400.000000	81.379	-14.3898
3450.000000	81.253	-12.9634
3500.000000	81.131	-11.5856
3550.000000	81.003	-10.2344
3600.000000	80.863	-8.8423
3650.000000	80.713	-7.3103
3700.000000	80.564	-5.5591
3750.000000	80.430	-3.5674
3820.000000	80.293	-0.4423
3870.000000	80.240	1.9525
3950.000000	80.237	5.9388
4000.000000	80.288	8.4767
4060.000000	80.405	11.5043
4120.000000	80.581	14.4305
4180.000000	80.808	17.1908
4250.000000	81.125	20.1768
4310.000000	81.436	22.5541
4370.000000	81.784	24.7794
4440.000000	82.246	27.1552
4500.000000	82.698	28.9205
4550.000000	83.112	30.1038
4620.000000	83.729	31.1693
4680.000000	84.273	31.4887
4750.000000	84.888	30.9940
4820.000000	85.403	29.7454
4870.000000	85.703	28.6783
4940.000000	86.036	27.2010
5000.000000	86.260	26.1755
5080.000000	86.528	25.3389
5150.000000	86.786	25.0468
5220.000000	87.097	24.9854
5300.000000	87.532	24.9514
5380.000000	88.053	24.7263
5450.000000	88.580	24.2126
5520.000000	89.170	23.2421
5600.000000	89.911	21.3230
5700.000000	90.880	17.2300
5800.000000	91.769	10.7767
5900.000000	92.379	2.0651
6000.000000	92.556	-7.9070
6080.000000	92.363	-15.7122
6150.000000	91.985	-21.7637
6220.000000	91.466	-26.7824
6300.000000	90.774	-31.1656
6400.000000	89.862	-34.7980
6500.000000	88.984	-36.7891
6600.000000	88.198	-37.5851
6700.000000	87.521	-37.5044
6800.000000	86.960	-36.8026
6900.000000	86.518	-35.6916
7000.000000	86.196	-34.3499
7100.000000	85.991	-32.9301
7200.000000	85.905	-31.5685
7300.000000	85.936	-30.3961
7400.000000	86.090	-29.5580
7500.000000	86.373	-29.2495
7620.000000	86.887	-29.9814
7750.000000	87.636	-32.9386
7880.000000	88.456	-39.3953
8000.000000	89.015	-49.4481
8120.000000	89.041	-63.0105
8250.000000	88.209	-78.6319
8380.000000	86.550	-91.2285
8500.000000	84.584	-98.5999
8620.000000	82.508	-102.3374
8750.000000	80.352	-103.4643
8850.000000	78.821	-102.9394
9000.000000	76.755	-100.7008
9120.000000	75.286	-98.1016
9250.000000	73.855	-94.7856
9380.000000	72.566	-91.1455
9500.000000	71.484	-87.6008
9620.000000	70.493	-83.9437
