* Measurement data measured by REW V5.20.13
* Source: EXCL: Headset (KM-HIFI-384KHZ), MICROPHONE (Master Volume), 0, volume: 0.070
* Format: 256k Log Swept Sine, 1 sweep at -13.0 dBFS with no timing reference
* Dated: Nov 4, 2023 2:56:18 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Studio Complementary R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	55.240	-25.4626
20.299999	55.283	-27.0812
20.600000	55.241	-28.2384
20.900000	55.168	-28.6779
21.200001	55.142	-28.4130
21.400000	55.185	-28.0600
21.799999	55.413	-27.4933
22.000000	55.575	-27.5374
22.400000	55.901	-28.5784
22.700001	56.076	-30.0145
23.000000	56.152	-31.6053
23.299999	56.146	-32.9368
23.600000	56.095	-33.7800
24.000000	56.043	-34.1002
24.299999	56.065	-34.0001
24.700001	56.181	-33.9042
25.000000	56.296	-34.0704
25.400000	56.432	-34.5405
25.799999	56.533	-34.9202
26.200001	56.648	-34.9614
26.500000	56.777	-34.8757
26.900000	57.016	-34.9414
27.200001	57.216	-35.3358
27.600000	57.454	-36.3617
28.000000	57.616	-37.6646
28.500000	57.719	-39.0718
29.000000	57.793	-39.9528
29.500000	57.888	-40.5919
30.000000	57.979	-41.2791
30.400000	58.020	-41.7530
30.700001	58.038	-41.9365
31.100000	58.075	-41.9004
31.500000	58.154	-41.6899
32.000000	58.311	-41.5811
32.500000	58.472	-41.8652
33.000000	58.583	-42.2767
33.500000	58.665	-42.4347
34.000000	58.776	-42.3239
34.500000	58.938	-42.2860
35.000000	59.115	-42.5549
35.500000	59.266	-43.0411
36.000000	59.391	-43.5273
36.500000	59.511	-43.9471
37.000000	59.633	-44.3737
37.500000	59.749	-44.8476
38.200001	59.890	-45.5032
38.700001	59.979	-45.9110
39.500000	60.103	-46.3995
40.000000	60.178	-46.5254
40.599998	60.293	-46.5212
41.200001	60.444	-46.6051
41.799999	60.591	-46.9615
42.500000	60.705	-47.4882
43.099998	60.771	-47.6674
43.700001	60.860	-47.5959
44.400002	61.009	-47.5473
45.000000	61.142	-47.6522
45.500000	61.252	-47.7360
46.200001	61.429	-47.8584
46.799999	61.594	-48.1849
47.500000	61.737	-48.7136
48.200001	61.854	-48.8132
48.700001	61.990	-48.6609
49.400002	62.252	-48.8970
50.000000	62.427	-49.7762
50.799999	62.486	-50.8264
51.500000	62.499	-50.7849
52.200001	62.599	-50.3746
53.000000	62.753	-50.2373
53.799999	62.880	-50.1809
54.500000	63.005	-50.0369
55.200001	63.148	-50.0685
56.000000	63.285	-50.3263
57.000000	63.428	-50.5161
58.000000	63.599	-50.6638
59.000000	63.770	-50.9929
60.000000	63.915	-51.3233
60.799999	64.018	-51.4084
61.500000	64.123	-51.2953
62.200001	64.258	-51.1618
63.000000	64.423	-51.1838
64.000000	64.598	-51.3523
65.000000	64.745	-51.3826
66.000000	64.899	-51.2902
67.000000	65.061	-51.2922
68.000000	65.203	-51.4135
69.000000	65.325	-51.4797
70.000000	65.450	-51.4399
71.000000	65.595	-51.3350
72.000000	65.761	-51.2938
73.000000	65.926	-51.3590
74.000000	66.079	-51.4163
75.000000	66.228	-51.3947
76.199997	66.407	-51.3366
77.500000	66.589	-51.2814
78.800003	66.769	-51.2332
80.000000	66.926	-51.2767
81.199997	67.072	-51.3005
82.500000	67.236	-51.2376
83.800003	67.418	-51.1476
85.000000	67.588	-51.1288
86.199997	67.750	-51.1040
87.500000	67.921	-51.0367
88.500000	68.056	-50.9781
90.000000	68.259	-50.9380
91.199997	68.415	-50.9254
92.500000	68.580	-50.8623
93.800003	68.743	-50.7671
95.000000	68.889	-50.6591
96.199997	69.034	-50.5549
97.500000	69.193	-50.4865
98.800003	69.354	-50.4868
100.000000	69.503	-50.5298
101.500000	69.686	-50.5990
103.000000	69.851	-50.5819
104.400002	69.997	-50.3713
106.000000	70.180	-50.0135
107.500000	70.363	-49.8467
109.000000	70.533	-49.8481
110.599998	70.712	-49.8363
112.000000	70.877	-49.8009
113.800003	71.092	-49.7034
115.000000	71.230	-49.6094
117.199997	71.472	-49.4152
118.000000	71.558	-49.3671
120.599998	71.838	-49.2922
122.000000	71.991	-49.2443
124.099998	72.227	-49.0851
125.000000	72.329	-49.0057
126.500000	72.494	-48.8876
128.000000	72.653	-48.7897
131.500000	73.024	-48.7067
132.000000	73.078	-48.6986
134.000000	73.295	-48.6364
136.000000	73.509	-48.5446
138.000000	73.713	-48.4031
140.000000	73.916	-48.2631
143.000000	74.222	-48.1599
145.000000	74.423	-48.1245
147.500000	74.662	-48.0077
150.000000	74.898	-47.8297
152.500000	75.141	-47.7365
155.000000	75.385	-47.7314
157.500000	75.638	-47.6176
160.000000	75.897	-47.4736
162.500000	76.144	-47.3693
165.000000	76.380	-47.3062
167.500000	76.615	-47.2472
170.000000	76.851	-47.1901
172.500000	77.085	-47.1495
175.000000	77.318	-47.1201
177.500000	77.553	-47.0733
180.000000	77.787	-47.0220
182.500000	78.019	-46.9885
185.000000	78.248	-46.9624
187.500000	78.475	-46.9326
190.000000	78.700	-46.9036
192.500000	78.927	-46.8810
195.000000	79.154	-46.8636
197.500000	79.381	-46.8603
200.000000	79.606	-46.8857
203.000000	79.872	-46.9277
206.000000	80.136	-46.9512
209.000000	80.398	-46.9956
212.000000	80.659	-47.0546
214.000000	80.837	-47.0881
218.000000	81.194	-47.1370
220.000000	81.372	-47.1750
224.000000	81.723	-47.2996
227.000000	81.985	-47.4044
230.000000	82.247	-47.5183
233.000000	82.508	-47.6653
236.000000	82.767	-47.8315
240.000000	83.111	-48.0546
243.000000	83.371	-48.2292
247.000000	83.720	-48.4822
250.000000	83.981	-48.6901
254.000000	84.326	-48.9806
258.000000	84.671	-49.3051
262.000000	85.013	-49.6737
265.000000	85.270	-49.9629
269.000000	85.615	-50.3764
272.000000	85.872	-50.7133
276.000000	86.213	-51.1744
280.000000	86.558	-51.6530
285.000000	86.987	-52.3575
290.000000	87.412	-53.1506
295.000000	87.836	-53.9503
300.000000	88.268	-54.8041
304.000000	88.614	-55.5681
307.000000	88.873	-56.1918
311.000000	89.218	-57.0824
315.000000	89.561	-58.0398
320.000000	89.986	-59.3357
325.000000	90.407	-60.7500
330.000000	90.823	-62.3119
335.000000	91.227	-64.0410
340.000000	91.611	-65.9647
345.000000	91.963	-68.1223
350.000000	92.264	-70.5104
355.000000	92.489	-72.9995
360.000000	92.617	-75.2817
365.000000	92.662	-76.9093
370.000000	92.700	-77.5470
375.000000	92.839	-77.3375
382.000000	93.292	-76.8348
387.000000	93.738	-77.0828
395.000000	94.487	-78.8274
400.000000	94.925	-80.5459
406.000000	95.406	-83.0109
412.000000	95.843	-85.7543
418.000000	96.240	-88.6539
425.000000	96.660	-92.1478
431.000000	96.985	-95.2175
437.000000	97.276	-98.3240
444.000000	97.580	-101.9650
450.000000	97.814	-105.0959
455.000000	97.989	-107.7033
462.000000	98.205	-111.3296
468.000000	98.366	-114.4010
475.000000	98.528	-117.9269
482.000000	98.665	-121.3810
487.000000	98.749	-123.8003
494.000000	98.848	-127.1154
500.000000	98.919	-129.8890
508.000000	98.994	-133.4882
515.000000	99.044	-136.5394
522.000000	99.083	-139.5018
530.000000	99.115	-142.7899
538.000000	99.136	-145.9773
545.000000	99.147	-148.6894
552.000000	99.152	-151.3365
560.000000	99.151	-154.2938
570.000000	99.141	-157.9085
580.000000	99.120	-161.4550
590.000000	99.090	-164.9486
600.000000	99.051	-168.4094
608.000000	99.011	-171.1688
615.000000	98.969	-173.5770
622.000000	98.920	-175.9792
630.000000	98.856	-178.7216
640.000000	98.760	177.8552
650.000000	98.645	174.4372
660.000000	98.510	171.0134
670.000000	98.351	167.5966
680.000000	98.167	164.2059
690.000000	97.957	160.8582
700.000000	97.720	157.5805
710.000000	97.456	154.4018
720.000000	97.169	151.3363
730.000000	96.858	148.3934
740.000000	96.525	145.5903
750.000000	96.171	142.9472
762.000000	95.725	140.0073
775.000000	95.223	137.1210
788.000000	94.710	134.5286
800.000000	94.229	132.3801
812.000000	93.743	130.4683
825.000000	93.215	128.6600
838.000000	92.687	127.1095
850.000000	92.205	125.8939
862.000000	91.727	124.8685
875.000000	91.216	123.9650
885.000000	90.829	123.4073
900.000000	90.265	122.7578
912.000000	89.826	122.3669
925.000000	89.358	122.0699
938.000000	88.896	121.9167
950.000000	88.479	121.8841
962.000000	88.069	121.9324
975.000000	87.634	122.0631
988.000000	87.209	122.2682
1000.000000	86.825	122.5356
1015.000000	86.350	122.9531
1030.000000	85.875	123.4214
1044.000000	85.417	123.9136
1060.000000	84.847	124.7440
1075.000000	84.283	126.3413
1090.000000	83.835	128.6000
1106.000000	83.490	130.4999
1120.000000	83.170	131.7628
1138.000000	82.703	133.5272
1150.000000	82.378	134.9260
1172.000000	81.788	137.9640
1180.000000	81.580	139.2152
1206.000000	80.946	143.8288
1220.000000	80.639	146.6536
1241.000000	80.241	151.3268
1250.000000	80.100	153.4750
1265.000000	79.908	157.2169
1280.000000	79.778	161.1274
1315.000000	79.772	170.5811
1320.000000	79.812	171.9047
1340.000000	80.079	176.7582
1360.000000	80.409	-179.7322
1380.000000	80.553	-176.9448
1400.000000	80.637	-172.6588
1430.000000	81.238	-165.4487
1450.000000	81.811	-161.7745
1475.000000	82.575	-158.2747
1500.000000	83.362	-155.6768
1525.000000	84.162	-153.8346
1550.000000	84.970	-152.6851
1575.000000	85.780	-152.1899
1600.000000	86.588	-152.3304
1625.000000	87.387	-153.1033
1650.000000	88.171	-154.5263
1675.000000	88.933	-156.6138
1700.000000	89.660	-159.4083
1725.000000	90.331	-162.9091
1750.000000	90.925	-167.0734
1775.000000	91.416	-171.8551
1800.000000	91.786	-177.1451
1825.000000	92.020	177.2465
1850.000000	92.113	171.5457
1875.000000	92.069	165.9813
