* Measurement data measured by REW V5.20.13
* Source: Headset (KM-HIFI-384KHZ), MICROPHONE (Master Volume), L, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -13.0 dBFS with no timing reference
* Dated: Jul 20, 2023 3:26:39 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Supernova L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	99.304	-175.1388
20.299999	99.304	-175.7363
20.600000	99.309	-176.3394
20.900000	99.317	-176.9602
21.200001	99.322	-177.5923
21.400000	99.324	-178.0097
21.799999	99.325	-178.8202
22.000000	99.325	-179.2090
22.400000	99.327	-179.9566
22.700001	99.331	179.4955
23.000000	99.337	178.9443
23.299999	99.342	178.3836
23.600000	99.347	177.8136
24.000000	99.350	177.0466
24.299999	99.348	176.4743
24.700001	99.342	175.7245
25.000000	99.335	175.1765
25.400000	99.325	174.4679
25.799999	99.313	173.7838
26.200001	99.304	173.1130
26.500000	99.299	172.6056
26.900000	99.292	171.9073
27.200001	99.285	171.3653
27.600000	99.270	170.6360
28.000000	99.247	169.9408
28.500000	99.218	169.1675
29.000000	99.203	168.4615
29.500000	99.204	167.7083
30.000000	99.201	166.8515
30.400000	99.186	166.1550
30.700001	99.166	165.6812
31.100000	99.140	165.1548
31.500000	99.125	164.7245
32.000000	99.129	164.1993
32.500000	99.147	163.5639
33.000000	99.156	162.8179
33.500000	99.148	162.0518
34.000000	99.127	161.3345
34.500000	99.099	160.6844
35.000000	99.068	160.1159
35.500000	99.044	159.6281
36.000000	99.038	159.1386
36.500000	99.044	158.5153
37.000000	99.035	157.7204
37.500000	98.995	156.8946
38.200001	98.908	156.0325
38.700001	98.864	155.6279
39.500000	98.848	154.8677
40.000000	98.838	154.2238
40.599998	98.806	153.4407
41.200001	98.769	152.7742
41.799999	98.743	152.1600
42.500000	98.718	151.4001
43.099998	98.689	150.7433
43.700001	98.656	150.1310
44.400002	98.619	149.4579
45.000000	98.587	148.8959
45.500000	98.561	148.4404
46.200001	98.530	147.8115
46.799999	98.507	147.2460
47.500000	98.481	146.5302
48.200001	98.450	145.7792
48.700001	98.424	145.2433
49.400002	98.385	144.5159
50.000000	98.350	143.9268
50.799999	98.310	143.1807
51.500000	98.279	142.5244
52.200001	98.246	141.8617
53.000000	98.203	141.1431
53.799999	98.163	140.4594
54.500000	98.127	139.8666
55.200001	98.090	139.2926
56.000000	98.053	138.6441
57.000000	98.005	137.7992
58.000000	97.955	136.9814
59.000000	97.911	136.1651
60.000000	97.865	135.3317
60.799999	97.826	134.7002
61.500000	97.795	134.1575
62.200001	97.764	133.6060
63.000000	97.726	132.9768
64.000000	97.675	132.2205
65.000000	97.627	131.4862
66.000000	97.580	130.7526
67.000000	97.535	130.0534
68.000000	97.499	129.3542
69.000000	97.463	128.6049
70.000000	97.420	127.8750
71.000000	97.379	127.1767
72.000000	97.337	126.4584
73.000000	97.289	125.7524
74.000000	97.242	125.0787
75.000000	97.199	124.3897
76.199997	97.144	123.5373
77.500000	97.081	122.6483
78.800003	97.023	121.7919
80.000000	96.970	121.0082
81.199997	96.917	120.2465
82.500000	96.859	119.4547
83.800003	96.805	118.6721
85.000000	96.754	117.9453
86.199997	96.704	117.2182
87.500000	96.648	116.4371
88.500000	96.605	115.8483
90.000000	96.542	114.9815
91.199997	96.492	114.3020
92.500000	96.438	113.5800
93.800003	96.384	112.8677
95.000000	96.335	112.2134
96.199997	96.286	111.5615
97.500000	96.234	110.8631
98.800003	96.183	110.1757
100.000000	96.138	109.5560
101.500000	96.085	108.7885
103.000000	96.030	108.0212
104.400002	95.976	107.3164
106.000000	95.911	106.5309
107.500000	95.849	105.8212
109.000000	95.790	105.1261
110.599998	95.733	104.3997
112.000000	95.687	103.7690
113.800003	95.634	102.9545
115.000000	95.601	102.4060
117.199997	95.535	101.3914
118.000000	95.509	101.0294
120.599998	95.419	99.8603
122.000000	95.369	99.2484
124.099998	95.296	98.3542
125.000000	95.267	97.9789
126.500000	95.219	97.3652
128.000000	95.172	96.7680
131.500000	95.062	95.4210
132.000000	95.046	95.2305
134.000000	94.983	94.4696
136.000000	94.921	93.7154
138.000000	94.862	92.9725
140.000000	94.804	92.2422
143.000000	94.719	91.1747
145.000000	94.663	90.4781
147.500000	94.595	89.6154
150.000000	94.526	88.7743
152.500000	94.458	87.9579
155.000000	94.392	87.1544
157.500000	94.328	86.3607
160.000000	94.265	85.6006
162.500000	94.202	84.8547
165.000000	94.138	84.1198
167.500000	94.076	83.3825
170.000000	94.012	82.6803
172.500000	93.952	82.0129
175.000000	93.891	81.3456
177.500000	93.830	80.7157
180.000000	93.774	80.0975
182.500000	93.715	79.4799
185.000000	93.654	78.9143
187.500000	93.596	78.3901
190.000000	93.539	77.8664
192.500000	93.478	77.3589
195.000000	93.414	76.9102
197.500000	93.354	76.5348
200.000000	93.299	76.2205
203.000000	93.246	75.8850
206.000000	93.201	75.5727
209.000000	93.161	75.3344
212.000000	93.137	75.1974
214.000000	93.133	75.1407
218.000000	93.164	74.9994
220.000000	93.200	74.8520
224.000000	93.294	74.3123
227.000000	93.368	73.6991
230.000000	93.432	72.9306
233.000000	93.484	72.0210
236.000000	93.515	70.9954
240.000000	93.519	69.5557
243.000000	93.496	68.5020
247.000000	93.445	67.2292
250.000000	93.398	66.3984
254.000000	93.330	65.4319
258.000000	93.259	64.5817
262.000000	93.190	63.8282
265.000000	93.143	63.3336
269.000000	93.093	62.7490
272.000000	93.064	62.3383
276.000000	93.035	61.7790
280.000000	93.012	61.1790
285.000000	92.982	60.3773
290.000000	92.944	59.5476
295.000000	92.901	58.7347
300.000000	92.858	57.9635
304.000000	92.822	57.3854
307.000000	92.795	56.9717
311.000000	92.761	56.4455
315.000000	92.726	55.9489
320.000000	92.683	55.3573
325.000000	92.642	54.7918
330.000000	92.603	54.2490
335.000000	92.564	53.7145
340.000000	92.528	53.1931
345.000000	92.493	52.6945
350.000000	92.460	52.2286
355.000000	92.428	51.7893
360.000000	92.398	51.3630
365.000000	92.369	50.9420
370.000000	92.342	50.5229
375.000000	92.315	50.1107
382.000000	92.276	49.5667
387.000000	92.250	49.2091
395.000000	92.214	48.6773
400.000000	92.191	48.3522
406.000000	92.163	47.9674
412.000000	92.138	47.5888
418.000000	92.114	47.2163
425.000000	92.087	46.8041
431.000000	92.064	46.4887
437.000000	92.041	46.2013
444.000000	92.017	45.8703
450.000000	91.998	45.5812
