* Measurement data measured by REW V5.20.13
* Source: Headset (KM-HIFI-384KHZ), MICROPHONE (Master Volume), R, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -13.0 dBFS with no timing reference
* Dated: Jul 20, 2023 3:24:49 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Supernova R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	99.612	-175.8347
20.299999	99.622	-176.5110
20.600000	99.629	-177.1871
20.900000	99.633	-177.8499
21.200001	99.634	-178.4888
21.400000	99.635	-178.9013
21.799999	99.639	-179.7053
22.000000	99.641	179.8962
22.400000	99.645	179.0920
22.700001	99.645	178.4819
23.000000	99.642	177.8762
23.299999	99.634	177.2904
23.600000	99.625	176.7342
24.000000	99.615	176.0378
24.299999	99.611	175.5314
24.700001	99.611	174.8435
25.000000	99.612	174.3019
25.400000	99.610	173.5510
25.799999	99.601	172.8047
26.200001	99.590	172.0989
26.500000	99.584	171.5923
26.900000	99.582	170.9112
27.200001	99.584	170.3656
27.600000	99.581	169.5781
28.000000	99.564	168.7681
28.500000	99.521	167.8625
29.000000	99.476	167.1808
29.500000	99.456	166.6517
30.000000	99.465	166.0841
30.400000	99.479	165.5237
30.700001	99.485	165.0498
31.100000	99.483	164.3981
31.500000	99.471	163.7748
32.000000	99.450	163.0715
32.500000	99.433	162.4299
33.000000	99.424	161.7895
33.500000	99.419	161.0925
34.000000	99.408	160.3100
34.500000	99.379	159.4875
35.000000	99.329	158.7350
35.500000	99.274	158.1451
36.000000	99.237	157.6774
36.500000	99.226	157.1856
37.000000	99.223	156.5554
37.500000	99.208	155.8204
38.200001	99.162	154.8480
38.700001	99.128	154.2690
39.500000	99.094	153.3919
40.000000	99.077	152.8087
40.599998	99.052	152.1044
41.200001	99.024	151.4354
41.799999	98.999	150.7891
42.500000	98.970	150.0349
43.099998	98.944	149.3865
43.700001	98.916	148.7405
44.400002	98.881	147.9948
45.000000	98.850	147.3665
45.500000	98.824	146.8470
46.200001	98.789	146.1191
46.799999	98.757	145.5016
47.500000	98.719	144.8041
48.200001	98.685	144.1278
48.700001	98.662	143.6472
49.400002	98.632	142.9685
50.000000	98.605	142.3834
50.799999	98.567	141.6116
51.500000	98.533	140.9534
52.200001	98.498	140.3083
53.000000	98.458	139.5805
53.799999	98.417	138.8665
54.500000	98.381	138.2538
55.200001	98.347	137.6450
56.000000	98.308	136.9466
57.000000	98.260	136.0735
58.000000	98.211	135.2119
59.000000	98.163	134.3618
60.000000	98.115	133.5211
60.799999	98.075	132.8634
61.500000	98.041	132.3011
62.200001	98.008	131.7467
63.000000	97.969	131.1180
64.000000	97.922	130.3394
65.000000	97.874	129.5670
66.000000	97.825	128.7984
67.000000	97.777	128.0370
68.000000	97.729	127.2827
69.000000	97.681	126.5342
70.000000	97.633	125.7970
71.000000	97.586	125.0763
72.000000	97.540	124.3699
73.000000	97.495	123.6726
74.000000	97.450	122.9850
75.000000	97.405	122.3093
76.199997	97.351	121.5117
77.500000	97.295	120.6516
78.800003	97.237	119.7833
80.000000	97.182	118.9914
81.199997	97.127	118.2270
82.500000	97.071	117.4123
83.800003	97.017	116.5908
85.000000	96.965	115.8416
86.199997	96.912	115.1164
87.500000	96.857	114.3531
88.500000	96.816	113.7702
90.000000	96.757	112.8917
91.199997	96.709	112.1876
92.500000	96.655	111.4368
93.800003	96.601	110.7076
95.000000	96.552	110.0496
96.199997	96.504	109.3997
97.500000	96.453	108.6993
98.800003	96.403	108.0042
100.000000	96.356	107.3686
101.500000	96.299	106.5812
103.000000	96.243	105.8064
104.400002	96.192	105.0947
106.000000	96.136	104.2922
107.500000	96.083	103.5538
109.000000	96.030	102.8289
110.599998	95.974	102.0694
112.000000	95.925	101.4124
113.800003	95.865	100.5708
115.000000	95.825	100.0132
117.199997	95.753	99.0096
118.000000	95.727	98.6543
120.599998	95.643	97.5250
122.000000	95.598	96.9250
124.099998	95.530	96.0376
125.000000	95.501	95.6622
126.500000	95.455	95.0407
128.000000	95.410	94.4234
131.500000	95.306	93.0128
132.000000	95.291	92.8155
134.000000	95.235	92.0347
136.000000	95.179	91.2655
138.000000	95.123	90.5068
140.000000	95.067	89.7555
143.000000	94.986	88.6494
145.000000	94.934	87.9360
147.500000	94.869	87.0710
150.000000	94.805	86.2200
152.500000	94.743	85.3819
155.000000	94.682	84.5656
157.500000	94.623	83.7655
160.000000	94.564	82.9753
162.500000	94.506	82.2017
165.000000	94.450	81.4473
167.500000	94.394	80.7056
170.000000	94.341	79.9674
172.500000	94.290	79.2386
175.000000	94.238	78.5332
177.500000	94.186	77.8474
180.000000	94.133	77.1726
182.500000	94.082	76.5096
185.000000	94.032	75.8627
187.500000	93.982	75.2323
190.000000	93.933	74.6176
192.500000	93.884	74.0205
195.000000	93.835	73.4418
197.500000	93.786	72.8792
200.000000	93.737	72.3331
203.000000	93.678	71.7002
206.000000	93.619	71.0957
209.000000	93.560	70.5273
212.000000	93.503	70.0002
214.000000	93.466	69.6707
218.000000	93.395	69.0642
220.000000	93.362	68.7900
224.000000	93.301	68.3017
227.000000	93.261	67.9893
230.000000	93.228	67.7269
233.000000	93.206	67.5187
236.000000	93.201	67.3482
240.000000	93.223	67.0945
243.000000	93.258	66.8152
247.000000	93.316	66.2478
250.000000	93.357	65.6601
254.000000	93.393	64.7317
258.000000	93.400	63.7665
262.000000	93.386	62.8572
265.000000	93.368	62.2405
269.000000	93.346	61.5108
272.000000	93.336	61.0095
276.000000	93.333	60.3360
280.000000	93.334	59.5983
285.000000	93.325	58.5880
290.000000	93.299	57.5646
295.000000	93.260	56.5995
300.000000	93.214	55.7208
304.000000	93.175	55.0761
307.000000	93.146	54.6190
311.000000	93.106	54.0429
315.000000	93.067	53.5055
320.000000	93.021	52.8775
325.000000	92.977	52.2792
330.000000	92.936	51.6989
335.000000	92.897	51.1473
340.000000	92.860	50.6243
345.000000	92.824	50.1210
350.000000	92.790	49.6316
355.000000	92.758	49.1623
360.000000	92.727	48.7183
365.000000	92.697	48.2953
370.000000	92.667	47.8889
375.000000	92.638	47.4968
382.000000	92.600	46.9758
387.000000	92.573	46.6237
395.000000	92.535	46.0891
400.000000	92.514	45.7687
406.000000	92.491	45.3958
412.000000	92.470	45.0328
418.000000	92.449	44.6759
425.000000	92.424	44.2695
431.000000	92.404	43.9361
437.000000	92.383	43.6164
444.000000	92.360	43.2539
450.000000	92.340	42.9511
455.000000	92.324	42.7103
462.000000	92.302	42.3943
468.000000	92.283	42.1392
475.000000	92.262	41.8590
482.000000	92.242	41.6019
487.000000	92.228	41.4286
494.000000	92.209	41.1922
500.000000	92.194	40.9969
508.000000	92.177	40.7528
515.000000	92.162	40.5547
522.000000	92.148	40.3683
530.000000	92.133	40.1678
538.000000	92.119	39.9855
545.000000	92.107	39.8392
552.000000	92.095	39.7018
560.000000	92.082	39.5561
570.000000	92.068	39.3925
580.000000	92.055	39.2518
590.000000	92.042	39.1334
600.000000	92.031	39.0320
608.000000	92.024	38.9637
615.000000	92.018	38.9141
622.000000	92.012	38.8755
630.000000	92.007	38.8437
640.000000	92.001	38.8181
650.000000	91.998	38.8022
660.000000	91.996	38.7961
670.000000	91.994	38.8066
680.000000	91.994	38.8371
690.000000	91.995	38.8834
700.000000	91.999	38.9350
710.000000	92.002	38.9937
720.000000	92.006	39.0703
730.000000	92.012	39.1687
740.000000	92.019	39.2817
750.000000	92.026	39.4056
762.000000	92.034	39.5786
775.000000	92.048	39.8114
788.000000	92.066	40.0853
800.000000	92.089	40.3560
812.000000	92.117	40.6374
825.000000	92.155	40.9614
838.000000	92.200	41.2995
850.000000	92.247	41.6080
862.000000	92.297	41.9076
875.000000	92.357	42.2260
885.000000	92.406	42.4648
900.000000	92.484	42.8047
912.000000	92.551	43.0552
925.000000	92.629	43.3062
938.000000	92.711	43.5381
950.000000	92.789	43.7322
962.000000	92.870	43.9054
975.000000	92.960	44.0726
988.000000	93.052	44.2178
1000.000000	93.139	44.3308
1015.000000	93.249	44.4400
1030.000000	93.361	44.5099
1044.000000	93.468	44.5409
1060.000000	93.591	44.5361
1075.000000	93.705	44.4924
