* Measurement data measured by REW V5.20.13
* Source: EXCL: Headset (KM-HIFI-384KHZ), MICROPHONE (Master Volume), 0, volume: 1.000
* Format: 256k Log Swept Sine, 1 sweep at -13.0 dBFS with no timing reference
* Dated: Aug 12, 2023 5:04:40 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Tozo A1 L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	107.053	137.7436
20.299999	106.976	137.6045
20.600000	106.986	137.5711
20.900000	107.069	137.3521
21.200001	107.193	136.7621
21.400000	107.280	136.1345
21.799999	107.429	134.4198
22.000000	107.481	133.4024
22.400000	107.533	131.2080
22.700001	107.532	129.5511
23.000000	107.504	127.9565
23.299999	107.457	126.4625
23.600000	107.399	125.0889
24.000000	107.320	123.4557
24.299999	107.269	122.3686
24.700001	107.225	121.0557
25.000000	107.215	120.1154
25.400000	107.231	118.8307
25.799999	107.271	117.4311
26.200001	107.317	115.8964
26.500000	107.347	114.6813
26.900000	107.377	113.0305
27.200001	107.392	111.7994
27.600000	107.403	110.1866
28.000000	107.405	108.6035
28.500000	107.393	106.6522
29.000000	107.362	104.7407
29.500000	107.310	102.8989
30.000000	107.246	101.1392
30.400000	107.190	99.7773
30.700001	107.147	98.7707
31.100000	107.091	97.4361
31.500000	107.036	96.0999
32.000000	106.970	94.4172
32.500000	106.909	92.7181
33.000000	106.853	91.0168
33.500000	106.804	89.3325
34.000000	106.765	87.6668
34.500000	106.735	86.0045
35.000000	106.708	84.3436
35.500000	106.680	82.7106
36.000000	106.650	81.1318
36.500000	106.619	79.6009
37.000000	106.586	78.0947
37.500000	106.547	76.6068
38.200001	106.484	74.5607
38.700001	106.436	73.0975
39.500000	106.354	70.6902
40.000000	106.299	69.1594
40.599998	106.236	67.2958
41.200001	106.177	65.3651
41.799999	106.114	63.4118
42.500000	106.045	61.2361
43.099998	106.004	59.4215
43.700001	105.968	57.5697
44.400002	105.913	55.5122
45.000000	105.873	53.9259
45.500000	105.855	52.5893
46.200001	105.814	50.5633
46.799999	105.741	48.9042
47.500000	105.659	47.2244
48.200001	105.606	45.4293
48.700001	105.552	43.9951
49.400002	105.448	42.1328
50.000000	105.387	40.6799
50.799999	105.342	38.3459
51.500000	105.243	36.1002
52.200001	105.120	34.3352
53.000000	105.065	32.4868
53.799999	105.008	30.1394
54.500000	104.885	28.3524
55.200001	104.806	27.0974
56.000000	104.813	25.2811
57.000000	104.716	22.2353
58.000000	104.548	20.0714
59.000000	104.513	17.6832
60.000000	104.367	14.6145
60.799999	104.192	12.9171
61.500000	104.128	11.7020
62.200001	104.116	9.9998
63.000000	104.032	7.5830
64.000000	103.817	5.1532
65.000000	103.680	3.3983
66.000000	103.613	1.2208
67.000000	103.496	-1.1687
68.000000	103.364	-3.2875
69.000000	103.249	-5.3821
70.000000	103.118	-7.4186
71.000000	103.013	-9.2109
72.000000	102.968	-11.3206
73.000000	102.870	-14.1235
74.000000	102.616	-16.7926
75.000000	102.295	-18.1846
76.199997	102.174	-18.7185
77.500000	102.358	-21.5604
78.800003	102.202	-27.2092
80.000000	101.532	-30.3860
81.199997	100.973	-28.7624
82.500000	101.320	-26.2341
83.800003	102.051	-28.9531
85.000000	102.278	-35.3480
86.199997	101.906	-41.6801
87.500000	101.068	-45.2903
88.500000	100.412	-45.3340
90.000000	99.903	-42.8585
91.199997	99.998	-41.0736
92.500000	100.354	-40.8626
93.800003	100.710	-42.4498
95.000000	100.921	-44.9684
96.199997	101.001	-47.9692
97.500000	100.970	-51.4431
98.800003	100.852	-54.9689
100.000000	100.689	-58.1376
101.500000	100.432	-61.8939
103.000000	100.123	-65.4893
104.400002	99.802	-68.8986
106.000000	99.446	-73.0658
107.500000	99.192	-77.1635
109.000000	99.055	-81.0568
110.599998	98.999	-84.5173
112.000000	98.952	-86.8314
113.800003	98.815	-89.2297
115.000000	98.664	-90.8651
117.199997	98.326	-94.1865
118.000000	98.224	-95.3898
120.599998	98.031	-99.1604
122.000000	97.918	-101.0610
124.099998	97.655	-103.7596
125.000000	97.527	-105.0132
126.500000	97.324	-107.3119
128.000000	97.162	-109.7114
131.500000	96.875	-114.5565
132.000000	96.828	-115.1573
134.000000	96.608	-117.5883
136.000000	96.377	-120.2285
138.000000	96.177	-122.9062
140.000000	96.001	-125.3742
143.000000	95.706	-128.8513
145.000000	95.499	-131.2765
147.500000	95.269	-134.3608
150.000000	95.060	-137.3102
152.500000	94.849	-140.1942
155.000000	94.644	-143.0897
157.500000	94.449	-145.9181
160.000000	94.258	-148.6647
162.500000	94.067	-151.3634
165.000000	93.878	-154.0109
167.500000	93.690	-156.6086
170.000000	93.504	-159.1598
172.500000	93.324	-161.6461
175.000000	93.151	-164.0641
177.500000	92.989	-166.4528
180.000000	92.836	-168.8159
182.500000	92.692	-171.1330
185.000000	92.562	-173.4109
187.500000	92.450	-175.6825
190.000000	92.356	-177.9545
192.500000	92.272	179.7355
195.000000	92.188	177.4194
197.500000	92.103	175.1494
200.000000	92.021	172.9213
203.000000	91.934	170.2692
206.000000	91.872	167.5648
209.000000	91.830	164.7229
212.000000	91.795	161.7222
214.000000	91.766	159.6529
218.000000	91.688	155.4601
220.000000	91.638	153.3762
224.000000	91.525	149.3593
227.000000	91.438	146.5054
230.000000	91.362	143.7983
233.000000	91.305	141.1801
236.000000	91.273	138.5653
240.000000	91.275	134.9535
243.000000	91.294	132.1025
247.000000	91.322	128.1959
250.000000	91.347	125.1426
254.000000	91.351	120.7556
258.000000	91.281	116.2728
262.000000	91.171	112.1396
265.000000	91.103	109.3121
269.000000	91.049	105.6788
272.000000	91.025	102.9192
276.000000	90.993	99.1255
280.000000	90.942	95.2175
285.000000	90.851	90.1631
290.000000	90.761	84.8781
295.000000	90.719	79.5206
300.000000	90.729	74.5175
304.000000	90.723	70.8925
307.000000	90.690	68.2430
311.000000	90.625	64.5629
315.000000	90.580	60.7787
320.000000	90.553	56.3273
325.000000	90.532	52.1323
330.000000	90.567	47.9547
335.000000	90.654	43.6337
340.000000	90.757	38.8523
345.000000	90.839	33.7452
350.000000	90.882	28.4302
355.000000	90.893	23.1592
360.000000	90.883	17.9633
365.000000	90.868	12.9400
370.000000	90.862	7.9570
375.000000	90.846	2.9633
382.000000	90.802	-3.8484
387.000000	90.768	-8.5737
395.000000	90.705	-16.0147
400.000000	90.663	-20.5548
406.000000	90.624	-25.9981
412.000000	90.587	-31.5280
418.000000	90.557	-37.0987
425.000000	90.534	-43.5075
431.000000	90.518	-48.8853
437.000000	90.502	-54.2207
444.000000	90.492	-60.3772
450.000000	90.487	-65.6332
455.000000	90.488	-70.0415
462.000000	90.506	-76.2134
468.000000	90.534	-81.4675
475.000000	90.562	-87.5632
482.000000	90.592	-93.6765
487.000000	90.611	-98.0020
494.000000	90.621	-103.9840
500.000000	90.617	-109.0439
508.000000	90.602	-115.7109
515.000000	90.590	-121.5146
522.000000	90.577	-127.3279
530.000000	90.578	-133.9729
538.000000	90.604	-140.6433
545.000000	90.646	-146.4946
552.000000	90.694	-152.3451
560.000000	90.755	-159.0186
570.000000	90.845	-167.3232
580.000000	90.941	-175.5823
590.000000	91.037	176.1290
600.000000	91.142	167.7551
608.000000	91.226	161.0350
615.000000	91.291	155.1438
622.000000	91.349	149.2542
630.000000	91.403	142.5424
640.000000	91.457	134.1680
650.000000	91.496	125.7662
660.000000	91.532	117.2959
670.000000	91.570	108.8009
680.000000	91.606	100.3025
690.000000	91.637	91.8223
700.000000	91.659	83.3805
710.000000	91.668	75.0011
720.000000	91.661	66.7102
730.000000	91.636	58.5277
740.000000	91.592	50.4603
750.000000	91.530	42.5161
762.000000	91.438	33.1628
775.000000	91.329	23.2438
788.000000	91.224	13.5029
800.000000	91.139	4.6370
812.000000	91.068	-4.0936
825.000000	91.006	-13.3650
838.000000	90.958	-22.4722
850.000000	90.924	-30.7793
862.000000	90.900	-38.9939
875.000000	90.883	-47.7798
885.000000	90.873	-54.4583
900.000000	90.861	-64.3729
912.000000	90.856	-72.2249
925.000000	90.855	-80.6593
938.000000	90.863	-89.0315
950.000000	90.879	-96.7167
962.000000	90.906	-104.3728
975.000000	90.947	-112.6400
988.000000	91.000	-120.8809
1000.000000	91.057	-128.4652
1015.000000	91.135	-137.9142
1030.000000	91.215	-147.3215
1044.000000	91.290	-156.0493
1060.000000	91.375	-165.9482
1075.000000	91.457	-175.1552
1090.000000	91.544	175.7029
1106.000000	91.647	166.0073
1120.000000	91.745	157.5565
1138.000000	91.882	146.7241
1150.000000	91.980	139.5225
1172.000000	92.173	126.3635
1180.000000	92.246	121.5922
1206.000000	92.489	106.1304
1220.000000	92.617	97.8239
1241.000000	92.800	85.4458
1250.000000	92.878	80.1709
1265.000000	93.012	71.3711
1280.000000	93.152	62.5159
1315.000000	93.491	41.8596
1320.000000	93.539	38.9326
1340.000000	93.728	27.2391
1360.000000	93.917	15.5232
1380.000000	94.111	3.8059
1400.000000	94.303	-7.8977
1430.000000	94.571	-25.4463
1450.000000	94.710	-37.0801
1475.000000	94.839	-50.9313
1500.000000	94.991	-63.5039
1525.000000	95.146	-74.8501
1550.000000	95.271	-85.6777
1575.000000	95.380	-96.9896
1600.000000	95.423	-109.1736
1625.000000	95.444	-122.0496
1650.000000	95.499	-134.9939
1675.000000	95.570	-147.6946
1700.000000	95.646	-160.1770
1725.000000	95.729	-172.4537
1750.000000	95.821	175.4382
1775.000000	95.917	163.4684
1800.000000	96.010	151.6621
1825.000000	96.100	140.0247
1850.000000	96.194	128.5051
1875.000000	96.302	117.0712
1900.000000	96.425	105.7180
1925.000000	96.558	94.4633
1950.000000	96.701	83.3102
1975.000000	96.851	72.2369
2000.000000	97.010	61.2321
2030.000000	97.209	48.1272
2060.000000	97.413	35.1458
2090.000000	97.624	22.2407
2120.000000	97.838	9.4126
2140.000000	97.979	0.9229
2180.000000	98.255	-15.9401
2200.000000	98.391	-24.3230
2240.000000	98.664	-40.9836
2270.000000	98.868	-53.3879
2300.000000	99.073	-65.7188
2330.000000	99.281	-77.9771
2360.000000	99.489	-90.1604
2400.000000	99.767	-106.2861
2430.000000	99.974	-118.2925
2470.000000	100.246	-134.1855
2500.000000	100.444	-146.0195
2540.000000	100.699	-161.6858
2580.000000	100.944	-177.2263
2620.000000	101.178	167.3589
2650.000000	101.345	155.8826
2690.000000	101.560	140.6934
2720.000000	101.715	129.3860
2760.000000	101.912	114.4231
2800.000000	102.098	99.5852
2850.000000	102.313	81.1919
2900.000000	102.500	62.9709
2950.000000	102.652	44.9519
3000.000000	102.765	27.1716
3040.000000	102.827	13.1475
3070.000000	102.859	2.7578
3110.000000	102.882	-10.9126
3150.000000	102.885	-24.3604
3200.000000	102.867	-40.8357
3250.000000	102.825	-56.9175
3300.000000	102.763	-72.5928
3350.000000	102.685	-87.8594
3400.000000	102.591	-102.7344
3450.000000	102.472	-117.2456
3500.000000	102.318	-131.3618
3550.000000	102.154	-145.1355
3600.000000	102.014	-158.5813
3650.000000	101.900	-171.6714
3700.000000	101.792	175.5652
3750.000000	101.667	163.1575
3820.000000	101.463	146.2588
3870.000000	101.301	134.5691
3950.000000	101.014	116.6162
4000.000000	100.827	105.9070
4060.000000	100.604	93.6228
4120.000000	100.399	81.9375
4180.000000	100.222	70.8196
4250.000000	100.063	58.4573
4310.000000	99.968	48.2917
4370.000000	99.907	38.4517
4440.000000	99.874	27.3313
4500.000000	99.874	18.0796
4550.000000	99.893	10.5554
4620.000000	99.945	0.2888
4680.000000	100.013	-8.2898
4750.000000	100.120	-18.0698
4820.000000	100.251	-27.6370
4870.000000	100.358	-34.3577
4940.000000	100.525	-43.6318
5000.000000	100.678	-51.4702
5080.000000	100.891	-61.7881
5150.000000	101.076	-70.7017
5220.000000	101.249	-79.5090
5300.000000	101.420	-89.4236
5380.000000	101.553	-99.1333
5450.000000	101.630	-107.4067
5520.000000	101.671	-115.4097
5600.000000	101.672	-124.1272
5700.000000	101.619	-134.2190
5800.000000	101.527	-143.2439
5900.000000	101.434	-151.1025
6000.000000	101.379	-157.8179
6080.000000	101.390	-162.4692
6150.000000	101.455	-166.1211
6220.000000	101.578	-169.4971
6300.000000	101.799	-173.1816
6400.000000	102.187	-177.8621
6500.000000	102.666	176.9341
6600.000000	103.163	170.7861
6700.000000	103.567	163.5205
6800.000000	103.761	155.4238
6900.000000	103.668	147.2900
7000.000000	103.285	140.1411
7100.000000	102.685	134.7556
7200.000000	101.973	131.3984
