* Measurement data measured by REW V5.20.13
* Source: EXCL: Headset (KM-HIFI-384KHZ), MICROPHONE (Master Volume), 0, volume: 1.000
* Format: 256k Log Swept Sine, 1 sweep at -13.0 dBFS with no timing reference
* Dated: Aug 12, 2023 5:03:22 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Tozo A1 R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	106.856	138.1700
20.299999	106.858	136.7832
20.600000	106.860	135.4102
20.900000	106.861	134.0499
21.200001	106.861	132.7009
21.400000	106.861	131.8074
21.799999	106.859	130.0338
22.000000	106.858	129.1540
22.400000	106.855	127.4088
22.700001	106.852	126.1126
23.000000	106.849	124.8264
23.299999	106.846	123.5486
23.600000	106.842	122.2775
24.000000	106.837	120.5914
24.299999	106.831	119.3345
24.700001	106.822	117.6734
25.000000	106.814	116.4424
25.400000	106.801	114.8242
25.799999	106.789	113.2309
26.200001	106.778	111.6559
26.500000	106.769	110.4819
26.900000	106.758	108.9219
27.200001	106.749	107.7554
27.600000	106.736	106.2064
28.000000	106.721	104.6675
28.500000	106.701	102.7615
29.000000	106.679	100.8755
29.500000	106.656	99.0078
30.000000	106.633	97.1566
30.400000	106.613	95.6869
30.700001	106.598	94.5911
31.100000	106.577	93.1384
31.500000	106.557	91.6951
32.000000	106.530	89.9034
32.500000	106.503	88.1249
33.000000	106.475	86.3599
33.500000	106.446	84.6091
34.000000	106.417	82.8725
34.500000	106.387	81.1484
35.000000	106.357	79.4355
35.500000	106.326	77.7343
36.000000	106.294	76.0471
36.500000	106.262	74.3724
37.000000	106.229	72.7058
37.500000	106.197	71.0437
38.200001	106.148	68.7285
38.700001	106.112	67.0912
39.500000	106.052	64.5057
40.000000	106.016	62.9043
40.599998	105.972	60.9895
41.200001	105.927	59.0831
41.799999	105.879	57.1925
42.500000	105.823	55.0135
43.099998	105.775	53.1655
43.700001	105.727	51.3290
