* Measurement data measured by REW V5.20.13
* Source: EXCL: Headset (KM-HIFI-384KHZ), MICROPHONE (Master Volume), 0, volume: 1.000
* Format: 256k Log Swept Sine, 1 sweep at -13.0 dBFS with no timing reference
* Dated: Aug 12, 2023 12:33:40 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: Aug 12
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	101.288	-149.2501
20.299999	101.317	-149.9110
20.600000	101.350	-150.6008
20.900000	101.383	-151.3317
21.200001	101.410	-152.0985
21.400000	101.423	-152.6138
21.799999	101.438	-153.6163
22.000000	101.440	-154.0860
22.400000	101.441	-154.9405
22.700001	101.443	-155.5138
23.000000	101.448	-156.0471
23.299999	101.457	-156.5551
23.600000	101.468	-157.0438
24.000000	101.487	-157.6711
24.299999	101.506	-158.1343
24.700001	101.538	-158.7771
25.000000	101.564	-159.3098
25.400000	101.592	-160.1073
25.799999	101.600	-160.9583
26.200001	101.583	-161.7480
26.500000	101.561	-162.2325
26.900000	101.537	-162.7146
27.200001	101.533	-163.0008
27.600000	101.552	-163.3964
28.000000	101.588	-163.9263
28.500000	101.622	-164.7986
29.000000	101.626	-165.7223
29.500000	101.609	-166.5124
30.000000	101.600	-167.1617
30.400000	101.602	-167.6622
30.700001	101.606	-168.0569
31.100000	101.609	-168.6005
31.500000	101.605	-169.1262
32.000000	101.597	-169.7125
32.500000	101.595	-170.2388
33.000000	101.600	-170.7723
33.500000	101.604	-171.3446
34.000000	101.600	-171.9295
34.500000	101.589	-172.4860
35.000000	101.577	-173.0046
35.500000	101.567	-173.5077
36.000000	101.558	-174.0221
36.500000	101.548	-174.5546
37.000000	101.535	-175.0892
37.500000	101.520	-175.6058
38.200001	101.502	-176.2923
38.700001	101.494	-176.7759
39.500000	101.488	-177.5847
40.000000	101.484	-178.1211
40.599998	101.472	-178.7771
41.200001	101.449	-179.3840
41.799999	101.424	-179.8788
42.500000	101.411	179.6503
43.099998	101.418	179.1959
43.700001	101.422	178.6112
44.400002	101.400	177.8646
45.000000	101.360	177.3266
45.500000	101.327	176.9841
46.200001	101.298	176.5641
46.799999	101.281	176.1536
47.500000	101.256	175.6252
48.200001	101.225	175.1396
48.700001	101.207	174.8190
49.400002	101.188	174.3350
50.000000	101.168	173.8784
50.799999	101.130	173.3133
51.500000	101.100	172.8943
52.200001	101.081	172.4688
53.000000	101.062	171.9204
53.799999	101.038	171.3456
54.500000	101.014	170.8426
55.200001	100.988	170.3401
56.000000	100.956	169.7817
57.000000	100.914	169.1312
58.000000	100.878	168.5217
59.000000	100.845	167.9037
60.000000	100.805	167.2766
60.799999	100.767	166.8160
61.500000	100.732	166.4569
62.200001	100.700	166.1229
63.000000	100.666	165.7432
64.000000	100.625	165.2626
65.000000	100.589	164.7789
66.000000	100.556	164.2252
67.000000	100.510	163.6125
68.000000	100.452	163.0533
69.000000	100.393	162.5808
70.000000	100.341	162.1546
71.000000	100.294	161.7255
72.000000	100.248	161.2806
73.000000	100.199	160.8312
74.000000	100.149	160.3936
75.000000	100.098	159.9850
76.199997	100.041	159.5083
77.500000	99.979	158.9817
78.800003	99.914	158.4691
80.000000	99.852	157.9957
81.199997	99.784	157.5289
82.500000	99.710	157.0908
83.800003	99.645	156.6520
85.000000	99.584	156.2009
86.199997	99.518	155.7645
87.500000	99.445	155.3348
88.500000	99.389	155.0236
90.000000	99.307	154.5931
91.199997	99.245	154.2281
92.500000	99.172	153.8082
93.800003	99.094	153.4105
95.000000	99.022	153.0783
96.199997	98.954	152.7660
97.500000	98.881	152.4286
98.800003	98.807	152.1264
100.000000	98.740	151.8781
101.500000	98.658	151.5584
103.000000	98.573	151.2233
104.400002	98.489	150.8999
106.000000	98.391	150.5555
107.500000	98.305	150.2505
109.000000	98.223	149.9671
110.599998	98.136	149.6747
112.000000	98.057	149.4677
113.800003	97.955	149.2259
115.000000	97.885	149.0684
117.199997	97.765	148.7496
118.000000	97.722	148.6142
120.599998	97.582	148.1817
122.000000	97.506	148.0113
124.099998	97.395	147.8116
125.000000	97.347	147.7253
126.500000	97.266	147.5770
128.000000	97.186	147.4282
131.500000	97.000	147.1384
132.000000	96.974	147.1095
134.000000	96.872	146.9885
136.000000	96.764	146.8770
138.000000	96.656	146.7981
140.000000	96.551	146.7343
143.000000	96.398	146.6350
145.000000	96.294	146.5963
147.500000	96.170	146.6047
150.000000	96.050	146.6367
152.500000	95.927	146.6535
155.000000	95.801	146.6533
157.500000	95.670	146.6969
160.000000	95.545	146.8561
162.500000	95.435	147.0200
165.000000	95.332	147.0711
167.500000	95.215	147.0841
170.000000	95.102	147.2952
172.500000	95.006	147.4422
175.000000	94.898	147.5473
177.500000	94.791	147.6857
180.000000	94.677	147.8560
182.500000	94.563	148.1165
185.000000	94.471	148.3909
187.500000	94.392	148.6479
190.000000	94.314	148.9357
192.500000	94.230	149.2406
195.000000	94.146	149.5280
197.500000	94.061	149.8106
200.000000	93.977	150.1262
203.000000	93.876	150.5381
206.000000	93.774	150.9523
209.000000	93.680	151.3886
212.000000	93.588	151.8917
214.000000	93.517	152.3359
218.000000	93.379	153.3698
220.000000	93.353	153.7538
224.000000	93.360	153.8993
227.000000	93.285	153.8981
230.000000	93.181	154.3778
233.000000	93.127	155.0523
236.000000	93.105	155.7568
240.000000	93.098	156.3947
243.000000	93.089	156.6652
247.000000	93.061	157.0442
250.000000	93.035	157.4020
254.000000	92.982	157.9266
258.000000	92.915	158.3693
262.000000	92.861	158.7043
265.000000	92.819	159.0014
269.000000	92.751	159.4523
272.000000	92.704	159.7466
276.000000	92.663	160.1508
280.000000	92.633	160.6070
285.000000	92.584	161.1443
290.000000	92.541	161.6592
295.000000	92.498	162.1685
300.000000	92.454	162.6862
304.000000	92.419	163.0906
307.000000	92.395	163.3949
311.000000	92.371	163.7873
315.000000	92.353	164.1645
320.000000	92.330	164.6566
325.000000	92.302	165.1528
330.000000	92.271	165.6098
335.000000	92.245	166.0508
340.000000	92.222	166.4709
345.000000	92.202	166.8535
350.000000	92.188	167.2496
355.000000	92.177	167.6385
360.000000	92.163	168.0138
365.000000	92.149	168.3883
370.000000	92.138	168.7458
375.000000	92.126	169.0982
382.000000	92.098	169.5651
387.000000	92.082	169.8969
395.000000	92.060	170.4747
400.000000	92.040	170.7949
406.000000	92.020	171.1700
412.000000	92.002	171.5699
418.000000	91.988	171.9767
425.000000	91.967	172.4291
431.000000	91.941	172.8326
437.000000	91.917	173.2495
444.000000	91.886	173.7166
450.000000	91.856	174.1650
455.000000	91.828	174.6022
462.000000	91.794	175.3254
468.000000	91.779	176.0555
475.000000	91.774	177.0758
482.000000	91.836	178.3245
487.000000	91.966	179.1770
494.000000	92.243	179.4903
500.000000	92.409	178.6616
508.000000	92.384	177.4038
515.000000	92.270	176.9795
522.000000	92.174	177.0243
