* Measurement data measured by REW V5.20.13
* Source: EXCL: Headset (KM-HIFI-384KHZ), MICROPHONE (Master Volume), 0, volume: 1.000
* Format: 256k Log Swept Sine, 1 sweep at -13.0 dBFS with no timing reference
* Dated: Aug 12, 2023 12:33:18 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: Aug 12
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	101.169	-145.6222
20.299999	101.205	-146.5231
20.600000	101.221	-147.4359
20.900000	101.217	-148.2728
21.200001	101.206	-148.9648
21.400000	101.204	-149.3493
21.799999	101.222	-150.0266
22.000000	101.244	-150.3790
22.400000	101.303	-151.2366
22.700001	101.342	-152.0381
23.000000	101.360	-152.9143
23.299999	101.355	-153.7464
23.600000	101.335	-154.4441
24.000000	101.312	-155.1089
24.299999	101.316	-155.4757
24.700001	101.360	-155.9776
25.000000	101.409	-156.4831
25.400000	101.466	-157.3628
25.799999	101.491	-158.3332
26.200001	101.487	-159.1851
26.500000	101.479	-159.6877
26.900000	101.482	-160.2284
27.200001	101.498	-160.6292
27.600000	101.526	-161.2564
28.000000	101.540	-161.9833
28.500000	101.526	-162.8447
29.000000	101.498	-163.4654
29.500000	101.493	-163.9154
30.000000	101.517	-164.4363
30.400000	101.539	-164.9892
30.700001	101.547	-165.4612
31.100000	101.545	-166.0966
31.500000	101.532	-166.6836
32.000000	101.514	-167.3270
32.500000	101.503	-167.9074
33.000000	101.502	-168.4753
33.500000	101.507	-169.0641
34.000000	101.514	-169.6908
34.500000	101.516	-170.3357
35.000000	101.512	-170.9481
35.500000	101.508	-171.4967
36.000000	101.513	-172.0174
36.500000	101.522	-172.5754
37.000000	101.525	-173.1869
37.500000	101.515	-173.7932
38.200001	101.486	-174.5049
38.700001	101.471	-174.9156
39.500000	101.467	-175.5775
40.000000	101.468	-176.0596
40.599998	101.464	-176.6952
41.200001	101.448	-177.3402
41.799999	101.426	-177.9505
42.500000	101.398	-178.5924
43.099998	101.382	-179.0990
43.700001	101.376	-179.6208
44.400002	101.371	179.6959
45.000000	101.356	179.0751
45.500000	101.337	178.5963
46.200001	101.308	178.0323
46.799999	101.294	177.6036
47.500000	101.285	177.0777
48.200001	101.274	176.5223
48.700001	101.263	176.1346
49.400002	101.244	175.6157
50.000000	101.228	175.1876
50.799999	101.206	174.6434
51.500000	101.192	174.1585
52.200001	101.175	173.6165
53.000000	101.140	172.9824
53.799999	101.098	172.4407
54.500000	101.068	172.0097
55.200001	101.042	171.5560
56.000000	101.006	171.0500
57.000000	100.967	170.5106
58.000000	100.948	169.9382
59.000000	100.924	169.2315
60.000000	100.879	168.5226
60.799999	100.839	168.0275
61.500000	100.807	167.6127
62.200001	100.777	167.1842
63.000000	100.741	166.6906
64.000000	100.694	166.0919
65.000000	100.645	165.5229
66.000000	100.598	165.0238
67.000000	100.561	164.5641
68.000000	100.531	164.0607
69.000000	100.496	163.4996
70.000000	100.449	162.9276
71.000000	100.395	162.3887
72.000000	100.341	161.8718
73.000000	100.287	161.3646
74.000000	100.235	160.8826
75.000000	100.188	160.4133
76.199997	100.134	159.8803
77.500000	100.081	159.3162
78.800003	100.021	158.7371
80.000000	99.958	158.2505
81.199997	99.892	157.7755
82.500000	99.816	157.3073
83.800003	99.752	156.8691
85.000000	99.701	156.3777
86.199997	99.639	155.8448
87.500000	99.562	155.3344
88.500000	99.502	154.9967
90.000000	99.419	154.5316
