* Measurement data measured by REW V5.20.13
* Source: Headset (KM-HIFI-384KHZ), MICROPHONE (Master Volume), L, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -13.0 dBFS with no timing reference
* Dated: Jul 20, 2023 2:40:54 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: 7Hz Salnotes Zero L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	100.056	-150.2997
20.299999	100.130	-151.1316
20.600000	100.174	-152.2383
20.900000	100.165	-153.5030
21.200001	100.097	-154.7254
21.400000	100.029	-155.4166
21.799999	99.867	-156.4480
22.000000	99.789	-156.8018
22.400000	99.669	-157.3279
22.700001	99.613	-157.7176
23.000000	99.578	-158.2027
23.299999	99.554	-158.7840
23.600000	99.537	-159.4319
24.000000	99.527	-160.3593
24.299999	99.532	-161.1039
24.700001	99.553	-162.1940
25.000000	99.571	-163.0822
25.400000	99.588	-164.2897
25.799999	99.598	-165.3927
26.200001	99.618	-166.3286
26.500000	99.649	-166.9737
26.900000	99.708	-167.8845
27.200001	99.749	-168.6683
27.600000	99.773	-169.8161
28.000000	99.743	-170.8840
28.500000	99.644	-171.7479
29.000000	99.546	-171.9816
29.500000	99.500	-171.9111
30.000000	99.496	-171.9644
30.400000	99.490	-172.1723
30.700001	99.478	-172.3721
31.100000	99.457	-172.6303
31.500000	99.446	-172.9004
32.000000	99.456	-173.4300
32.500000	99.469	-174.3607
33.000000	99.443	-175.6397
33.500000	99.357	-176.9815
34.000000	99.231	-178.0895
34.500000	99.103	-178.8684
35.000000	98.998	-179.4027
35.500000	98.919	-179.8011
36.000000	98.860	179.9155
36.500000	98.822	179.7677
37.000000	98.812	179.7123
37.500000	98.830	179.6250
38.200001	98.868	179.2446
38.700001	98.870	178.8165
39.500000	98.811	178.2415
40.000000	98.764	178.0667
40.599998	98.729	177.9105
41.200001	98.713	177.5551
41.799999	98.686	176.9244
42.500000	98.609	176.0771
43.099998	98.524	175.5010
43.700001	98.453	175.0947
44.400002	98.407	174.7159
45.000000	98.399	174.3944
45.500000	98.412	174.0868
46.200001	98.445	173.5161
46.799999	98.460	172.8988
47.500000	98.437	172.2179
48.200001	98.383	171.7744
48.700001	98.340	171.6073
49.400002	98.285	171.4726
50.000000	98.243	171.3316
50.799999	98.173	170.9870
51.500000	98.079	170.6190
52.200001	97.967	170.3592
53.000000	97.861	170.1345
53.799999	97.779	169.7690
54.500000	97.712	169.3846
55.200001	97.659	169.0120
56.000000	97.615	168.5354
57.000000	97.556	168.0197
58.000000	97.522	167.7189
59.000000	97.491	167.3226
60.000000	97.414	167.0661
60.799999	97.352	167.0660
61.500000	97.310	167.0660
62.200001	97.273	166.9930
63.000000	97.232	166.8059
64.000000	97.174	166.4017
65.000000	97.095	165.9329
66.000000	97.007	165.6297
67.000000	96.948	165.4965
68.000000	96.922	165.2380
69.000000	96.876	164.8162
70.000000	96.807	164.5083
71.000000	96.746	164.2838
72.000000	96.691	164.0328
73.000000	96.639	163.7855
74.000000	96.592	163.5589
75.000000	96.550	163.3888
76.199997	96.505	163.2186
77.500000	96.445	163.0959
78.800003	96.382	163.0923
80.000000	96.323	163.0162
81.199997	96.249	162.8955
82.500000	96.168	162.7853
83.800003	96.097	162.6554
85.000000	96.033	162.5110
86.199997	95.973	162.4667
87.500000	95.932	162.4262
88.500000	95.897	162.3201
90.000000	95.827	162.2010
91.199997	95.763	162.1716
92.500000	95.694	162.1587
93.800003	95.623	162.1033
95.000000	95.553	162.0149
96.199997	95.485	161.9180
97.500000	95.418	161.8226
98.800003	95.361	161.8196
100.000000	95.327	161.9167
101.500000	95.302	162.0678
103.000000	95.267	162.1703
104.400002	95.210	162.2630
106.000000	95.134	162.3209
107.500000	95.062	162.2095
109.000000	94.984	162.0330
110.599998	94.911	161.9745
112.000000	94.870	162.0479
113.800003	94.832	162.2118
115.000000	94.810	162.3265
