* Measurement data measured by REW V5.20.13
* Source: Headset (KM-HIFI-384KHZ), MICROPHONE (Master Volume), R, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -13.0 dBFS with no timing reference
* Dated: Jul 20, 2023 2:38:35 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: 7Hz Salnotes Zero R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	99.944	-150.1420
20.299999	99.933	-150.7196
20.600000	99.932	-151.2570
20.900000	99.937	-151.8096
21.200001	99.942	-152.3915
21.400000	99.945	-152.7929
21.799999	99.950	-153.6467
22.000000	99.952	-154.1153
22.400000	99.949	-155.1762
22.700001	99.929	-156.0745
23.000000	99.885	-156.9955
23.299999	99.817	-157.8287
23.600000	99.737	-158.4903
24.000000	99.642	-159.0610
24.299999	99.603	-159.3365
24.700001	99.604	-159.7148
25.000000	99.635	-160.1461
25.400000	99.684	-160.9755
25.799999	99.717	-161.9787
26.200001	99.730	-162.9787
26.500000	99.735	-163.6745
26.900000	99.744	-164.5506
27.200001	99.751	-165.2042
27.600000	99.753	-166.0802
28.000000	99.739	-166.9001
28.500000	99.706	-167.7428
29.000000	99.677	-168.4145
29.500000	99.651	-169.0320
30.000000	99.614	-169.5788
30.400000	99.584	-169.8956
30.700001	99.574	-170.0799
31.100000	99.582	-170.3920
31.500000	99.600	-170.9295
32.000000	99.584	-171.9262
32.500000	99.492	-172.8778
33.000000	99.371	-173.2910
33.500000	99.312	-173.2992
34.000000	99.348	-173.4379
34.500000	99.406	-174.1743
35.000000	99.409	-175.2877
35.500000	99.348	-176.2636
36.000000	99.275	-176.8925
36.500000	99.223	-177.3479
37.000000	99.181	-177.8001
37.500000	99.132	-178.1642
38.200001	99.094	-178.3605
38.700001	99.122	-178.5401
39.500000	99.183	-179.5856
40.000000	99.161	179.4735
40.599998	99.071	178.5476
41.200001	98.975	178.0062
41.799999	98.910	177.6394
42.500000	98.867	177.2086
43.099998	98.850	176.8375
43.700001	98.854	176.4260
44.400002	98.874	175.7675
45.000000	98.873	175.0602
45.500000	98.849	174.4860
46.200001	98.789	173.8694
46.799999	98.735	173.5432
47.500000	98.685	173.2582
48.200001	98.642	172.8978
48.700001	98.601	172.5680
49.400002	98.520	172.1050
50.000000	98.437	171.8141
50.799999	98.344	171.5898
51.500000	98.301	171.4077
52.200001	98.293	171.0792
53.000000	98.300	170.4193
53.799999	98.282	169.6095
54.500000	98.245	169.0720
55.200001	98.221	168.7587
56.000000	98.221	168.4161
57.000000	98.200	167.8160
58.000000	98.112	167.2685
59.000000	97.966	167.0404
60.000000	97.830	167.2668
60.799999	97.774	167.3730
61.500000	97.732	167.2206
62.200001	97.677	167.0074
63.000000	97.623	166.8289
64.000000	97.591	166.5464
65.000000	97.572	166.1063
66.000000	97.531	165.6111
67.000000	97.456	165.3492
68.000000	97.396	165.3611
69.000000	97.355	165.2703
70.000000	97.294	164.9880
71.000000	97.200	164.6817
72.000000	97.091	164.5162
73.000000	97.004	164.5394
74.000000	96.966	164.5681
75.000000	96.963	164.3801
76.199997	96.943	163.7734
77.500000	96.832	163.1818
78.800003	96.714	163.1549
80.000000	96.654	163.1977
81.199997	96.615	163.1016
82.500000	96.583	162.8632
83.800003	96.546	162.4753
85.000000	96.481	162.1514
86.199997	96.406	162.0143
87.500000	96.326	161.9470
88.500000	96.261	161.9131
90.000000	96.164	161.9317
91.199997	96.105	161.9942
92.500000	96.062	162.0005
93.800003	96.030	161.9429
95.000000	96.002	161.8222
96.199997	95.964	161.6507
97.500000	95.903	161.4693
98.800003	95.833	161.3518
100.000000	95.768	161.2636
101.500000	95.694	161.1904
103.000000	95.632	161.1172
104.400002	95.571	161.0815
106.000000	95.502	161.1246
107.500000	95.433	161.2014
109.000000	95.365	161.2921
110.599998	95.294	161.3060
112.000000	95.233	161.2954
113.800003	95.164	161.2469
115.000000	95.124	161.2487
117.199997	95.077	161.2887
118.000000	95.063	161.2800
120.599998	94.997	161.2246
122.000000	94.950	161.2221
124.099998	94.876	161.2630
125.000000	94.849	161.2686
126.500000	94.800	161.2419
128.000000	94.747	161.2663
131.500000	94.641	161.4865
132.000000	94.623	161.5212
134.000000	94.542	161.7446
136.000000	94.473	162.0192
138.000000	94.416	162.1765
140.000000	94.364	162.2650
143.000000	94.292	162.3370
145.000000	94.246	162.4115
147.500000	94.193	162.4789
150.000000	94.137	162.5538
152.500000	94.079	162.6857
155.000000	94.022	162.8732
157.500000	93.972	163.0566
160.000000	93.921	163.1959
162.500000	93.865	163.3208
165.000000	93.806	163.4425
167.500000	93.750	163.6029
170.000000	93.703	163.8054
172.500000	93.661	164.0043
175.000000	93.616	164.1910
177.500000	93.574	164.3963
180.000000	93.539	164.5867
182.500000	93.500	164.7438
185.000000	93.456	164.8927
187.500000	93.415	165.0379
190.000000	93.379	165.1702
192.500000	93.346	165.3109
195.000000	93.315	165.4755
197.500000	93.284	165.6395
200.000000	93.253	165.8008
203.000000	93.214	166.0165
206.000000	93.169	166.2683
209.000000	93.121	166.5057
212.000000	93.079	166.6984
214.000000	93.055	166.8129
218.000000	93.005	167.0705
220.000000	92.978	167.2165
224.000000	92.925	167.5118
227.000000	92.888	167.7397
230.000000	92.853	167.9601
233.000000	92.822	168.1790
236.000000	92.793	168.3949
240.000000	92.753	168.6437
243.000000	92.723	168.8205
247.000000	92.682	169.0874
250.000000	92.656	169.2905
254.000000	92.625	169.5515
258.000000	92.592	169.8313
262.000000	92.555	170.1304
265.000000	92.527	170.3665
269.000000	92.492	170.6858
272.000000	92.469	170.9106
276.000000	92.441	171.1731
280.000000	92.415	171.4178
285.000000	92.383	171.7297
290.000000	92.347	172.0657
295.000000	92.316	172.4221
300.000000	92.288	172.7719
304.000000	92.265	173.0652
307.000000	92.247	173.2857
311.000000	92.221	173.5617
315.000000	92.195	173.8111
320.000000	92.165	174.1234
325.000000	92.138	174.4726
330.000000	92.114	174.8471
335.000000	92.091	175.2211
340.000000	92.072	175.5729
345.000000	92.057	175.8947
350.000000	92.046	176.1887
355.000000	92.036	176.4653
360.000000	92.028	176.7422
365.000000	92.021	177.0326
370.000000	92.015	177.3365
375.000000	92.008	177.6479
382.000000	91.992	178.0624
387.000000	91.979	178.3382
395.000000	91.957	178.7689
400.000000	91.941	179.0414
406.000000	91.921	179.3979
412.000000	91.900	179.7756
418.000000	91.879	-179.8524
425.000000	91.859	-179.4408
431.000000	91.847	-179.0951
437.000000	91.841	-178.7729
444.000000	91.840	-178.4434
450.000000	91.840	-178.1599
455.000000	91.841	-177.9063
462.000000	91.844	-177.5502
468.000000	91.845	-177.2515
475.000000	91.842	-176.8923
482.000000	91.832	-176.5312
487.000000	91.822	-176.2743
494.000000	91.806	-175.9067
500.000000	91.793	-175.5834
508.000000	91.776	-175.1438
515.000000	91.758	-174.7701
522.000000	91.744	-174.4224
530.000000	91.735	-174.0356
538.000000	91.729	-173.6354
545.000000	91.726	-173.2831
552.000000	91.728	-172.9382
560.000000	91.730	-172.5601
570.000000	91.732	-172.1026
580.000000	91.730	-171.6210
590.000000	91.723	-171.0951
600.000000	91.717	-170.5253
608.000000	91.715	-170.0898
615.000000	91.714	-169.7476
622.000000	91.716	-169.4247
630.000000	91.719	-169.0485
640.000000	91.724	-168.5461
650.000000	91.728	-168.0104
660.000000	91.727	-167.4419
670.000000	91.732	-166.8817
680.000000	91.745	-166.3650
690.000000	91.762	-165.8667
700.000000	91.780	-165.3733
710.000000	91.798	-164.8662
720.000000	91.813	-164.3171
730.000000	91.822	-163.7431
740.000000	91.829	-163.1683
750.000000	91.840	-162.5900
762.000000	91.867	-161.9106
775.000000	91.906	-161.2455
788.000000	91.953	-160.5933
800.000000	91.999	-159.9670
812.000000	92.043	-159.3046
825.000000	92.088	-158.5827
838.000000	92.133	-157.8893
850.000000	92.180	-157.2527
862.000000	92.232	-156.6153
875.000000	92.297	-155.9535
885.000000	92.352	-155.4683
900.000000	92.441	-154.7709
912.000000	92.516	-154.2335
925.000000	92.596	-153.6565
938.000000	92.674	-153.0795
950.000000	92.746	-152.5540
962.000000	92.824	-152.0586
975.000000	92.915	-151.5796
988.000000	93.011	-151.1747
1000.000000	93.105	-150.8485
1015.000000	93.225	-150.4903
1030.000000	93.345	-150.2467
1044.000000	93.444	-150.2193
1060.000000	93.498	-150.3195
1075.000000	93.496	-149.9814
1090.000000	93.538	-149.1258
1106.000000	93.655	-148.2856
1120.000000	93.772	-147.8096
1138.000000	93.913	-147.4134
1150.000000	94.004	-147.2217
1172.000000	94.167	-146.9761
1180.000000	94.227	-146.9099
1206.000000	94.419	-146.7409
1220.000000	94.517	-146.6730
1241.000000	94.650	-146.5762
1250.000000	94.702	-146.5323
1265.000000	94.783	-146.4595
1280.000000	94.858	-146.4015
1315.000000	95.017	-146.2864
1320.000000	95.039	-146.2679
1340.000000	95.129	-146.2069
1360.000000	95.222	-146.1672
1380.000000	95.320	-146.1349
1400.000000	95.422	-146.1029
1430.000000	95.574	-146.0661
1450.000000	95.674	-146.0344
1475.000000	95.791	-146.0089
1500.000000	95.899	-145.9471
1525.000000	96.002	-145.8786
1550.000000	96.101	-145.8524
1575.000000	96.198	-145.8111
1600.000000	96.291	-145.7513
1625.000000	96.383	-145.7124
1650.000000	96.478	-145.6886
1675.000000	96.573	-145.6632
1700.000000	96.669	-145.6357
1725.000000	96.768	-145.6156
1750.000000	96.872	-145.6132
1775.000000	96.983	-145.6351
1800.000000	97.096	-145.6764
1825.000000	97.207	-145.7190
1850.000000	97.314	-145.7558
1875.000000	97.421	-145.8041
1900.000000	97.529	-145.8784
1925.000000	97.640	-145.9739
1950.000000	97.751	-146.0816
1975.000000	97.861	-146.2026
2000.000000	97.970	-146.3394
2030.000000	98.095	-146.5184
2060.000000	98.216	-146.7034
2090.000000	98.338	-146.9091
2120.000000	98.465	-147.1637
2140.000000	98.551	-147.3559
2180.000000	98.725	-147.7642
2200.000000	98.811	-147.9928
2240.000000	98.979	-148.5159
2270.000000	99.097	-148.9380
2300.000000	99.207	-149.3790
2330.000000	99.312	-149.8468
2360.000000	99.413	-150.3441
2400.000000	99.547	-151.0465
2430.000000	99.645	-151.6076
2470.000000	99.771	-152.3881
2500.000000	99.863	-152.9900
2540.000000	99.982	-153.8341
2580.000000	100.099	-154.7113
2620.000000	100.213	-155.6277
2650.000000	100.292	-156.3322
2690.000000	100.387	-157.2773
2720.000000	100.450	-157.9974
2760.000000	100.521	-158.9699
2800.000000	100.581	-159.9437
2850.000000	100.641	-161.1655
2900.000000	100.686	-162.3824
2950.000000	100.713	-163.5574
3000.000000	100.724	-164.6779
3040.000000	100.722	-165.5187
3070.000000	100.715	-166.0964
3110.000000	100.700	-166.7798
3150.000000	100.684	-167.3578
3200.000000	100.680	-167.9473
3250.000000	100.709	-168.4655
3300.000000	100.777	-169.1144
3350.000000	100.863	-170.0742
3400.000000	100.932	-171.3449
3450.000000	100.961	-172.7733
3500.000000	100.948	-174.1808
3550.000000	100.909	-175.4854
3600.000000	100.858	-176.7087
3650.000000	100.793	-177.8307
3700.000000	100.710	-178.8145
3750.000000	100.619	-179.7450
3820.000000	100.495	179.0259
3870.000000	100.403	178.2165
3950.000000	100.253	177.0072
4000.000000	100.157	176.2924
4060.000000	100.039	175.4865
4120.000000	99.917	174.7278
4180.000000	99.792	174.0236
4250.000000	99.648	173.2610
4310.000000	99.530	172.6292
4370.000000	99.410	172.0302
4440.000000	99.255	171.3926
4500.000000	99.107	170.8949
4550.000000	98.975	170.5280
4620.000000	98.784	170.0991
4680.000000	98.619	169.8159
4750.000000	98.428	169.6162
4820.000000	98.240	169.5423
4870.000000	98.112	169.5474
4940.000000	97.943	169.6264
5000.000000	97.809	169.7426
5080.000000	97.647	169.9332
5150.000000	97.513	170.1232
5220.000000	97.385	170.3206
5300.000000	97.240	170.5584
5380.000000	97.092	170.8386
5450.000000	96.965	171.1169
5520.000000	96.841	171.4368
5600.000000	96.705	171.8730
5700.000000	96.544	172.5669
5800.000000	96.404	173.4847
5900.000000	96.312	174.4857
6000.000000	96.244	175.3206
6080.000000	96.181	175.9585
6150.000000	96.126	176.5751
6220.000000	96.077	177.2581
6300.000000	96.036	178.0993
6400.000000	96.016	179.1920
6500.000000	96.030	-179.6902
6600.000000	96.082	-178.5815
6700.000000	96.176	-177.5129
6800.000000	96.314	-176.5220
6900.000000	96.501	-175.6611
7000.000000	96.735	-174.9726
7100.000000	97.017	-174.5201
7200.000000	97.345	-174.3941
7300.000000	97.719	-174.7079
7400.000000	98.131	-175.5867
7500.000000	98.571	-177.1584
7620.000000	99.105	179.8550
7750.000000	99.624	175.0366
7880.000000	99.972	168.5145
8000.000000	100.040	161.2965
8120.000000	99.802	153.6282
8250.000000	99.201	145.8189
8380.000000	98.314	139.3952
8500.000000	97.331	135.0462
8620.000000	96.268	132.2148
8750.000000	95.096	130.6388
8850.000000	94.216	130.2914
9000.000000	92.972	130.8773
9120.000000	92.054	132.0908
9250.000000	91.137	133.9742
9380.000000	90.291	136.2990
9500.000000	89.568	138.7251
9620.000000	88.893	141.3540
9750.000000	88.204	144.3925
9880.000000	87.547	147.6200
10000.000000	86.955	150.7807
10150.000000	86.223	155.0427
10300.000000	85.512	159.7757
10440.000000	84.884	164.7648
10600.000000	84.227	171.2354
10750.000000	83.697	178.0806
10900.000000	83.281	-174.2451
11060.000000	83.024	-165.0476
11200.000000	83.047	-156.1844
11380.000000	83.604	-144.4120
11500.000000	84.360	-137.2968
11720.000000	86.249	-128.6289
11800.000000	86.955	-127.2592
12060.000000	88.815	-127.8157
12200.000000	89.497	-129.5655
12410.000000	90.261	-132.2130
12500.000000	90.546	-133.2470
12650.000000	91.011	-134.9723
12800.000000	91.481	-136.9627
13150.000000	92.491	-144.1159
13200.000000	92.604	-145.5028
13400.000000	92.904	-151.8506
13600.000000	92.892	-158.8863
13800.000000	92.558	-165.5851
14000.000000	91.971	-171.0247
14300.000000	90.875	-176.0273
14500.000000	90.167	-177.5375
14750.000000	89.434	-178.1528
15000.000000	88.918	-178.2377
15250.000000	88.618	-178.6615
15500.000000	88.480	179.6987
15750.000000	88.366	176.1094
16000.000000	88.070	170.4137
16250.000000	87.384	163.4948
16500.000000	86.215	157.0936
16750.000000	84.629	152.7883
17000.000000	82.794	151.2566
17250.000000	80.877	152.3474
17500.000000	79.014	155.4857
17750.000000	77.276	159.8614
18000.000000	75.627	164.8083
18250.000000	73.927	171.0979
18500.000000	72.295	179.6128
18750.000000	70.963	-171.2764
19000.000000	69.826	-162.4549
19250.000000	68.759	-153.6058
19500.000000	67.754	-144.6356
19750.000000	66.899	-136.6281
