* Measurement data measured by REW V5.20.13
* Source: Trace Arithmetic result A * B
* Format: Trace Arithmetic result A * B
* Dated: Sep 9, 2023 10:57:06 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Trace Arithmetic A times B A = EQ RMS Average 1 B = Delta 10dB
* Measurement: A times B
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)
20.000000	4.712
20.299999	4.689
20.600000	4.663
20.900000	4.639
21.200001	4.616
21.400000	4.602
21.799999	4.577
22.000000	4.564
22.400000	4.541
22.700001	4.524
23.000000	4.508
23.299999	4.493
23.600000	4.478
24.000000	4.459
24.299999	4.446
24.700001	4.428
25.000000	4.416
25.400000	4.401
25.799999	4.386
26.200001	4.371
26.500000	4.361
26.900000	4.347
27.200001	4.337
27.600000	4.324
28.000000	4.311
28.500000	4.295
29.000000	4.279
29.500000	4.264
30.000000	4.250
30.400000	4.237
30.700001	4.228
31.100000	4.216
31.500000	4.203
32.000000	4.188
32.500000	4.173
33.000000	4.158
33.500000	4.143
34.000000	4.127
34.500000	4.112
35.000000	4.097
35.500000	4.082
36.000000	4.067
36.500000	4.052
37.000000	4.037
37.500000	4.023
38.200001	4.004
38.700001	3.990
39.500000	3.967
40.000000	3.954
40.599998	3.938
41.200001	3.923
41.799999	3.908
42.500000	3.891
43.099998	3.877
43.700001	3.863
44.400002	3.847
45.000000	3.834
45.500000	3.823
46.200001	3.808
46.799999	3.795
47.500000	3.781
48.200001	3.768
48.700001	3.757
49.400002	3.744
50.000000	3.732
50.799999	3.717
51.500000	3.704
52.200001	3.691
53.000000	3.677
53.799999	3.662
54.500000	3.650
55.200001	3.637
56.000000	3.623
57.000000	3.605
58.000000	3.587
59.000000	3.569
60.000000	3.551
60.799999	3.537
61.500000	3.524
62.200001	3.511
63.000000	3.497
64.000000	3.479
65.000000	3.461
66.000000	3.443
67.000000	3.425
68.000000	3.407
69.000000	3.388
70.000000	3.370
71.000000	3.352
72.000000	3.333
73.000000	3.314
74.000000	3.296
75.000000	3.278
76.199997	3.256
77.500000	3.232
78.800003	3.209
80.000000	3.187
81.199997	3.166
82.500000	3.143
83.800003	3.120
85.000000	3.099
86.199997	3.079
87.500000	3.056
88.500000	3.039
90.000000	3.014
91.199997	2.993
92.500000	2.972
93.800003	2.950
95.000000	2.930
96.199997	2.910
97.500000	2.888
98.800003	2.866
100.000000	2.846
101.500000	2.820
103.000000	2.795
104.400002	2.771
106.000000	2.744
107.500000	2.719
109.000000	2.694
110.599998	2.667
112.000000	2.644
113.800003	2.614
115.000000	2.594
117.199997	2.557
118.000000	2.544
120.599998	2.502
122.000000	2.480
124.099998	2.447
125.000000	2.433
126.500000	2.410
128.000000	2.387
131.500000	2.334
132.000000	2.327
134.000000	2.298
136.000000	2.270
138.000000	2.243
140.000000	2.217
143.000000	2.178
145.000000	2.153
147.500000	2.123
150.000000	2.094
152.500000	2.065
